r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,projection_velocity_factor_frozen,pred_NEWTONIAN_UNCORRECTED,pred_NEWTONIAN_SOURCE_PROJECTION_CONTROL,pred_TPG_V6_UNCORRECTED,pred_TPG_V6_SOURCE_PROJECTION_CONTROL,pred_MOND_UNCORRECTED,pred_MOND_SOURCE_PROJECTION_CONTROL,construction_used_vobs_or_residual,scoring_used_vobs,claim_boundary
1.26,67.4,3.09,1.89,70.78,99.65,97.2602799194,111.298327636,113.511455039,1.03463120254,97.2602799194,100.628520372,111.298327636,115.152722563,113.511455039,117.442493229,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.37,68.3,2.71,2.47,73.73,97.83,97.0755045313,112.126816566,114.362643096,1.03463120254,97.0755045313,100.43734599,112.126816566,116.009903061,114.362643096,118.323158952,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.49,69.6,2.75,2.98,76.63,95.14,96.3384272759,112.518705134,114.757817583,1.03463120254,96.3384272759,99.6747428633,112.518705134,116.415363201,114.757817583,118.732018807,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.61,71.2,2.61,3.52,79.45,92.26,95.5346898776,112.823997896,115.053374412,1.03463120254,95.5346898776,98.8431710723,112.823997896,116.731228618,115.053374412,119.037811124,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.71,72.9,4.09,4.06,81.6,89.85,94.8518811094,113.0469873,115.260392977,1.03463120254,94.8518811094,98.1367158154,113.0469873,116.961940413,115.260392977,119.251998991,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.83,74.9,6.17,4.62,83.69,87.09,93.9820201954,113.246298336,115.431681897,1.03463120254,93.9820201954,97.2367305719,113.246298336,117.168153831,115.431681897,119.429219852,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.94,77,7.74,5.19,85.04,84.69,93.078000462,113.312232453,115.462881043,1.03463120254,93.078000462,96.301403548,113.312232453,117.236371325,115.462881043,119.461499462,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.06,79.2,5.36,5.77,86.25,82.25,92.1323390564,113.397088477,115.505396513,1.03463120254,92.1323390564,95.3229927507,113.397088477,117.324166016,115.505396513,119.505487294,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.18,81.4,6.34,6.34,87.49,79.96,91.3398421829,113.594161349,115.660334055,1.03463120254,91.3398421829,94.5030507575,113.594161349,117.528063758,115.660334055,119.665790509,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.29,83.6,2.03,6.95,88.91,78.04,90.9063565984,114.014510244,116.048572575,1.03463120254,90.9063565984,94.054553046,114.014510244,117.96296984,116.048572575,120.067474197,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.4,85.7,1.94,7.56,90.4,76.26,90.6319199841,114.556908768,116.562521133,1.03463120254,90.6319199841,93.7706123616,114.556908768,118.524152278,116.562521133,120.599221411,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.52,87.8,1.7,8.2,91.9,74.41,90.3650301278,115.15623401,117.130992375,1.03463120254,90.3650301278,93.4944797887,115.15623401,119.144232874,117.130992375,121.187379496,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.63,89.7,2.16,8.89,92.95,72.86,90.0826790787,115.653259665,117.598108204,1.03463120254,90.0826790787,93.2023505832,115.653259665,119.658471125,117.598108204,121.670672108,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.75,91.4,1.88,9.58,93.65,71.23,89.6021019843,116.021758712,117.928217152,1.03463120254,89.6021019843,92.7051305261,116.021758712,120.039731737,117.928217152,122.012213125,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.86,92.8,3.36,10.31,93.97,69.85,89.0886766093,116.276537642,118.145586586,1.03463120254,89.0886766093,92.173924613,116.276537642,120.303333968,118.145586586,122.237110324,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
2.98,94.1,1.4,11.11,94.1,68.43,88.4799555267,116.491750091,118.318948672,1.03463120254,88.4799555267,91.5441227872,116.491750091,120.525999482,118.318948672,122.416476148,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
3.09,95.2,5.51,11.94,93.98,67.21,87.867586003,116.622891855,118.41078842,1.03463120254,87.867586003,90.9105461706,116.622891855,120.661682843,118.41078842,122.511496417,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
3.2,96.1,6.23,12.77,93.74,66.06,87.2434136196,116.726947499,118.476266899,1.03463120254,87.2434136196,90.2647579469,116.726947499,120.76934206,118.476266899,122.579242495,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
4.52,97.4,2.3,19.31,88.08,55.57,80.0845598727,117.091315946,118.542421681,1.03463120254,80.0845598727,82.857984486,117.091315946,121.146329024,118.542421681,122.647688296,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
4.69,96.9,11.7,19.73,87.36,54.55,79.2978527452,117.119652451,118.561308107,1.03463120254,79.2978527452,82.0440327446,117.119652451,121.175646857,118.561308107,122.667228781,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
6.03,96.8,2.3,22.95,81.5,48.11,73.9461153138,117.230670364,118.813739094,1.03463120254,73.9461153138,76.5069582103,117.230670364,121.290509453,118.813739094,122.928401757,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
7.53,105,1.02,26.37,76.78,43.05,70.2870745586,118.203984735,120.265573958,1.03463120254,70.2870745586,72.7212004735,118.203984735,122.297530872,120.265573958,124.430515409,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
8.58,110,7.12,28.87,73,40.33,68.0920930065,118.608589122,121.138720648,1.03463120254,68.0920930065,70.4502040707,118.608589122,122.716147195,121.138720648,125.333900219,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
8.7,110,5.26,29.07,72.69,40.05,67.8953952783,118.686143427,121.272939647,1.03463120254,67.8953952783,70.2466944637,118.686143427,122.796387299,121.272939647,125.472767383,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
8.82,110,5.16,29.38,72.31,39.78,67.7145946602,118.776437411,121.419924105,1.03463120254,67.7145946602,70.0596325028,118.776437411,122.889808271,121.419924105,125.624842089,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
9.03,111,0.82,29.9,71.64,39.31,67.3932346011,118.917180342,121.662386943,1.03463120254,67.3932346011,69.7271433584,118.917180342,123.035425299,121.662386943,125.875701706,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
9.05,111,7.81,29.9,71.58,39.27,67.3450163709,118.909892392,121.66607162,1.03463120254,67.3450163709,69.6772552729,118.909892392,123.027884959,121.66607162,125.879513989,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
10.53,112,1.43,33.33,67.3,36.41,65.6011857362,120.121868365,123.624201326,1.03463120254,65.6011857362,67.8730336863,120.121868365,124.281833118,123.624201326,127.905456081,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
12.07,112,1.21,36.03,63.57,34,64.2489949338,121.388175792,125.708506912,1.03463120254,64.2489949338,66.4740148903,121.388175792,125.591994294,125.708506912,130.061943676,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
13.58,114,1.35,37.9,59.74,32.06,62.7720823296,122.021074038,127.214487481,1.03463120254,62.7720823296,64.9459550267,122.021074038,126.246810567,127.214487481,131.620078163,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
15.09,118,1.36,39.04,56.25,30.41,61.2657369171,122.259832892,128.374001283,1.03488224058,61.2657369171,63.4028230916,122.259832892,126.524529797,128.374001283,132.85197408,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
16.6,122,1.44,39.66,53.26,29,59.8325112293,122.292658636,129.350627153,1.04525362952,59.8325112293,62.5401495259,122.292658636,127.826845303,129.350627153,135.204212513,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
18.11,125,1.64,40.08,50.67,27.76,58.5624723693,122.295040554,130.294094289,1.05504091827,58.5624723693,61.7858046248,122.295040554,129.026271886,130.294094289,137.465600885,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
19.62,128,1.97,40.18,48.42,26.67,57.3112801288,122.108926464,131.060314758,1.04617971929,57.3112801288,59.9578989572,122.108926464,127.74788241,131.060314758,137.112643303,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
21.02,131,1.81,39.87,46.57,25.77,56.0255689842,121.580512361,131.447432725,1.03796403811,56.0255689842,58.1525258203,121.580512361,126.196199566,131.447432725,136.437708071,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
24.04,127,1.93,37.17,43.23,24.09,52.17523378,118.244391631,130.335385716,1.03166152318,52.17523378,53.8271811537,118.244391631,121.988189177,130.335385716,134.462002551,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
27.06,124,1.92,34.89,40.56,22.71,48.9988751912,115.235484013,129.448962658,1.08294976662,48.9988751912,53.0633204527,115.235484013,124.794240517,129.448962658,140.186723899,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
