Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
1280,NGC4700,_zz,2,4,Z,edgedisk,,,,,,,0.971,20.023,34.17,35.31,7.33,,,,,,,,,,,,,
1281,NGC4701,_dn,2,5,D,expdisk,,,,,,,,,,,,0.96,12.268,0.726,39.55,9.04,19.045,,,,,,,
1281,NGC4701,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.04,15.726
1283,NGC4710,_zn,2,4,Z,edgedisk,,,,,,,0.961,18.132,27.44,23.86,8.53,,,,,,,,,,,,,
1283,NGC4710,_zn,2,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.039,13.837
1284,NGC4713,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.98,11.727,0.65,-87.23,20.46,20.277,,,,,,,
1284,NGC4713,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.017,20.782,0.204,84.72,18.31,,
1284,NGC4713,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,18.204
1285,NGC4722,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.784,12.221,0.376,32.89,14.06,19.956,,,,,,,
1285,NGC4722,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.153,18.308,0.496,84.26,10.1,,
1285,NGC4722,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.063,14.959
1286,NGC4723,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.48,0.678,48.55,14.67,22.307,,,,,,,
1287,NGC4725,_bdbarf,3,5,B,sersic,0.148,10.831,0.802,26.05,10.14,2.212,,,,,,,,,,,,,,,,,,
1287,NGC4725,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.788,9.019,0.684,33.95,73.2,20.337,,,,,,,
1287,NGC4725,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.064,20.947,0.319,50.92,120.0,,
1288,NGC4731,_dbar,2,3,D,expdisk,,,,,,,,,,,,0.804,11.587,0.481,82.23,73.54,22.916,,,,,,,
1288,NGC4731,_dbar,2,3,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.196,20.632,0.171,-52.59,74.42,,
1289,NGC4733,_bdbar,3,5,B,sersic,0.102,14.013,0.688,98.03,7.54,2.087,,,,,,,,,,,,,,,,,,
1289,NGC4733,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.868,11.688,0.915,85.65,17.72,19.926,,,,,,,
1289,NGC4733,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.03,21.043,0.297,-87.5,24.66,,
1290,NGC4736,_bdd,3,4,B,sersic,0.42,8.378,0.963,7.53,19.1,1.814,,,,,,,,,,,,,,,,,,
1290,NGC4736,_bdd,3,4,D,expdisk,,,,,,,,,,,,0.211,8.989,0.829,-56.49,253.87,23.007,,,,,,,
1290,NGC4736,_bdd,3,4,D,expdisk,,,,,,,,,,,,0.369,8.524,0.732,-83.92,50.47,19.035,,,,,,,
1291,NGC4746,_dn,2,5,D,expdisk,,,,,,,,,,,,0.994,11.741,0.218,-60.45,12.68,19.251,,,,,,,
1291,NGC4746,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,17.322
1292,NGC4747,_bz,2,4,B,sersic,0.768,12.322,0.345,33.77,71.18,0.882,,,,,,,,,,,,,,,,,,
1292,NGC4747,_bz,2,4,Z,edgedisk,,,,,,,0.232,19.971,31.88,16.02,3.44,,,,,,,,,,,,,
1293,NGC4749,_zz,2,4,Z,edgedisk,,,,,,,0.702,16.679,-23.55,7.6,1.36,,,,,,,,,,,,,
1293,NGC4749,_zz,2,4,Z,edgedisk,,,,,,,0.298,19.857,-17.67,17.09,6.37,,,,,,,,,,,,,
1294,NGC4750,_bdd,3,5,B,sersic,0.044,13.911,0.605,65.03,1.29,0.95,,,,,,,,,,,,,,,,,,
1294,NGC4750,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.355,11.633,0.792,-13.68,26.89,20.776,,,,,,,
1294,NGC4750,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.602,11.057,0.723,-59.74,11.2,18.299,,,,,,,
1295,NGC4753,_bdbar,3,5,B,sersic,0.662,9.54,0.698,92.22,43.93,4.961,,,,,,,,,,,,,,,,,,
1295,NGC4753,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.259,10.582,0.542,82.2,52.85,21.193,,,,,,,
1295,NGC4753,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.079,21.04,0.421,-79.9,102.76,,
1296,NGC4754,_bdbar,3,5,B,sersic,0.349,11.134,0.79,15.8,8.09,3.12,,,,,,,,,,,,,,,,,,
1296,NGC4754,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.517,10.703,0.504,22.37,41.01,20.763,,,,,,,
1296,NGC4754,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.134,19.526,0.617,-36.04,36.95,,
1297,NGC4758,_zzn,3,4,Z,edgedisk,,,,,,,0.359,19.757,-19.72,14.07,3.56,,,,,,,,,,,,,
1297,NGC4758,_zzn,3,4,Z,edgedisk,,,,,,,0.628,21.548,-14.79,47.88,12.77,,,,,,,,,,,,,
1297,NGC4758,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.013,17.16
1298,NGC4762,_zzn,3,4,Z,edgedisk,,,,,,,0.406,17.682,30.24,18.92,4.08,,,,,,,,,,,,,
1298,NGC4762,_zzn,3,4,Z,edgedisk,,,,,,,0.536,20.061,22.68,72.89,16.88,,,,,,,,,,,,,
1298,NGC4762,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.058,13.082
1299,NGC4765,_dd,2,5,D,sersic,0.543,13.653,0.468,84.65,10.38,1.025,,,,,,,,,,,,,,,,,,
1299,NGC4765,_dd,2,5,D,expdisk,,,,,,,,,,,,0.458,13.835,0.683,55.38,11.59,21.15,,,,,,,
1300,NGC4771,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.767,11.732,0.237,-46.31,29.2,21.055,,,,,,,
1300,NGC4771,_ddn,3,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.227,20.769,0.24,-45.22,69.71,,
1300,NGC4771,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,16.948
1301,NGC4772,_bd,2,5,B,sersic,0.382,11.822,0.945,26.06,10.16,3.288,,,,,,,,,,,,,,,,,,
1301,NGC4772,_bd,2,5,D,expdisk,,,,,,,,,,,,0.618,11.299,0.522,-33.81,34.58,20.989,,,,,,,
1302,NGC4775,_dn,2,5,D,expdisk,,,,,,,,,,,,0.994,11.635,0.863,46.79,17.73,19.874,,,,,,,
1302,NGC4775,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,17.155
1303,NGC4779,_bdbarf,3,5,B,sersic,0.124,14.374,0.779,57.06,1.75,0.458,,,,,,,,,,,,,,,,,,
1303,NGC4779,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.789,12.361,0.802,68.86,19.32,20.787,,,,,,,
1303,NGC4779,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.087,20.385,0.358,4.88,21.75,,
1304,NGC4781,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.946,10.971,0.513,-69.17,25.46,19.996,,,,,,,
1304,NGC4781,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.054,19.629,0.259,73.11,24.63,,
1305,NGC4789A,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.81,0.523,40.72,27.16,23.975,,,,,,,
1306,NGC4790,_dn,2,5,D,expdisk,,,,,,,,,,,,0.974,12.096,0.728,86.17,13.89,19.805,,,,,,,
1306,NGC4790,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.026,16.028
1307,NGC4791,_dn,2,5,D,expdisk,,,,,,,,,,,,0.935,13.933,0.706,66.28,4.79,19.331,,,,,,,
1307,NGC4791,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.065,16.831
1308,NGC4793,_dn,2,5,D,expdisk,,,,,,,,,,,,0.974,11.223,0.549,49.18,10.47,18.317,,,,,,,
1308,NGC4793,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.026,15.161
1309,NGC4795,_bdbar,3,5,B,sersic,0.149,13.533,0.928,151.01,2.27,1.868,,,,,,,,,,,,,,,,,,
1309,NGC4795,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.726,11.809,0.723,-65.25,20.34,20.346,,,,,,,
1309,NGC4795,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.126,19.458,0.564,23.0,18.33,,
1310,NGC4799,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.687,12.763,0.328,88.22,7.14,19.028,,,,,,,
1310,NGC4799,_ddn,3,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.253,18.706,0.191,89.09,20.93,,
1310,NGC4799,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.06,15.414
1311,NGC4800,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.795,11.084,0.756,25.04,11.8,18.439,,,,,,,
1311,NGC4800,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.171,12.759,0.756,25.04,3.1,17.209,,,,,,,
1311,NGC4800,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.034,14.507
1312,NGC4802,_bdd,3,4,B,sersic,0.514,11.725,0.679,17.95,29.77,4.608,,,,,,,,,,,,,,,,,,
1312,NGC4802,_bdd,3,4,D,expdisk,,,,,,,,,,,,0.198,12.797,0.756,9.46,9.27,19.627,,,,,,,
1312,NGC4802,_bdd,3,4,D,expdisk,,,,,,,,,,,,0.288,12.392,0.756,9.46,23.67,21.258,,,,,,,
1313,NGC4806,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.723,0.847,23.07,9.0,19.491,,,,,,,
1314,NGC4808,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.976,11.361,0.401,-51.91,15.57,19.319,,,,,,,
1314,NGC4808,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.024,18.469,0.175,-61.16,9.66,,
1315,NGC4809,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.225,0.423,63.43,18.29,22.531,,,,,,,
1316,NGC4814,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.854,11.758,0.77,-51.36,10.3,18.818,,,,,,,
1316,NGC4814,_ddn,3,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.111,20.92,0.34,-73.22,41.05,,
1316,NGC4814,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.035,15.247
1317,NGC4818,_bdbar,3,5,B,sersic,0.173,12.327,0.611,7.21,1.3,3.903,,,,,,,,,,,,,,,,,,
1317,NGC4818,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.681,10.844,0.387,4.5,31.89,20.358,,,,,,,
1317,NGC4818,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.146,19.387,0.418,23.72,35.92,,
1318,NGC4826,_bdd,3,5,B,sersic,0.28,9.229,0.699,102.38,28.96,4.164,,,,,,,,,,,,,,,,,,
1318,NGC4826,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.679,8.273,0.554,-64.12,56.23,19.018,,,,,,,
1318,NGC4826,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.042,11.29,0.554,-64.12,17.38,19.486,,,,,,,
1319,NGC4845,_bdd,3,5,B,sersic,0.228,11.818,0.37,80.02,5.04,1.839,,,,,,,,,,,,,,,,,,
1319,NGC4845,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.403,11.196,0.256,79.74,57.96,22.007,,,,,,,
1319,NGC4845,_bdd,3,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.368,19.963,0.25,73.62,105.56,,
1320,NGC4856,_bdbar,3,5,B,sersic,0.328,11.244,0.678,40.18,8.55,2.418,,,,,,,,,,,,,,,,,,
1320,NGC4856,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.582,10.624,0.363,38.24,34.98,20.338,,,,,,,
1320,NGC4856,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.09,19.8,0.46,68.74,38.86,,
1321,NGC4866,_bd,2,5,B,sersic,0.227,12.101,0.733,83.28,6.59,2.953,,,,,,,,,,,,,,,,,,
1321,NGC4866,_bd,2,5,D,expdisk,,,,,,,,,,,,0.773,10.769,0.242,87.76,32.62,20.332,,,,,,,
1322,NGC4880,_bd,2,5,B,sersic,0.253,13.209,0.602,167.54,23.76,1.968,,,,,,,,,,,,,,,,,,
1322,NGC4880,_bd,2,5,D,expdisk,,,,,,,,,,,,0.747,12.035,0.793,-17.29,26.6,21.155,,,,,,,
1323,NGC4897,_bdbar,3,5,B,sersic,0.2,13.726,0.518,179.56,4.81,7.185,,,,,,,,,,,,,,,,,,
1323,NGC4897,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.615,12.519,0.821,-27.13,21.59,21.185,,,,,,,
1323,NGC4897,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.186,20.219,0.598,-1.86,24.1,,
1324,NGC4899,_bd,2,5,B,sersic,0.031,15.617,0.264,29.36,1.0,1.954,,,,,,,,,,,,,,,,,,
1324,NGC4899,_bd,2,5,D,expdisk,,,,,,,,,,,,0.969,11.864,0.591,15.22,17.26,20.045,,,,,,,
1325,NGC4900,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.96,11.105,0.948,-39.16,20.91,19.703,,,,,,,
1325,NGC4900,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.04,18.557,0.235,-39.14,12.64,,
1326,NGC4902,_bdbarf,3,5,B,sersic,0.061,13.586,0.698,80.31,3.36,1.258,,,,,,,,,,,,,,,,,,
1326,NGC4902,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.866,10.702,0.93,-78.65,22.59,19.467,,,,,,,
1326,NGC4902,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.073,19.197,0.349,67.95,24.0,,
1327,NGC4904,_dbar,2,5,B,expdisk,,,,,,,,,,,,0.852,11.903,0.709,26.26,21.19,20.53,,,,,,,
1327,NGC4904,_dbar,2,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.148,19.264,0.216,-46.61,25.97,,
1328,NGC4920,_dd,2,5,D,sersic,0.421,14.809,0.428,164.69,13.43,1.189,,,,,,,,,,,,,,,,,,
1328,NGC4920,_dd,2,5,D,expdisk,,,,,,,,,,,,0.579,14.462,0.759,-21.92,10.6,21.584,,,,,,,
1329,NGC4928,_bd,2,5,B,sersic,0.016,17.075,0.772,8.04,1.62,0.338,,,,,,,,,,,,,,,,,,
1329,NGC4928,_bd,2,5,D,expdisk,,,,,,,,,,,,0.984,12.629,0.71,28.26,8.9,19.372,,,,,,,
1330,NGC4941,_bdbarn,4,5,B,sersic,0.23,12.105,0.607,13.52,11.49,6.743,,,,,,,,,,,,,,,,,,
1330,NGC4941,_bdbarn,4,5,D,expdisk,,,,,,,,,,,,0.438,11.42,0.766,23.48,42.66,21.566,,,,,,,
1330,NGC4941,_bdbarn,4,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.307,21.115,0.412,16.34,110.43,,
1330,NGC4941,_bdbarn,4,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.025,14.531
1331,NGC4942,_dbarnf,3,5,D,expdisk,,,,,,,,,,,,0.976,13.02,0.759,-39.16,14.02,20.75,,,,,,,
1331,NGC4942,_dbarnf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.015,21.429,0.418,6.25,9.0,,
1331,NGC4942,_dbarnf,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.008,18.184
1332,NGC4948,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.948,12.778,0.391,-37.01,20.27,21.308,,,,,,,
1332,NGC4948,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.052,20.762,0.125,-38.33,25.5,,
1333,NGC4948A,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.969,13.692,0.817,26.31,16.05,21.715,,,,,,,
1333,NGC4948A,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.031,22.009,0.288,6.24,15.0,,
1334,NGC4951,_dn,2,5,D,expdisk,,,,,,,,,,,,0.914,11.647,0.337,-88.5,16.13,19.68,,,,,,,
1334,NGC4951,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.086,14.214
1335,NGC4958,_bzz,3,4,B,sersic,0.322,11.324,0.595,17.5,5.62,1.608,,,,,,,,,,,,,,,,,,
1335,NGC4958,_bzz,3,4,Z,edgedisk,,,,,,,0.428,18.283,12.51,13.93,9.24,,,,,,,,,,,,,
1335,NGC4958,_bzz,3,4,Z,edgedisk,,,,,,,0.249,21.372,6.59,63.75,26.9,,,,,,,,,,,,,
1336,NGC4961,_dn,2,5,D,expdisk,,,,,,,,,,,,0.987,13.262,0.702,-80.76,6.97,19.475,,,,,,,
1336,NGC4961,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.013,17.983
1337,NGC4965,_bd,2,5,B,sersic,0.073,15.067,0.486,117.54,16.76,1.772,,,,,,,,,,,,,,,,,,
1337,NGC4965,_bd,2,5,D,expdisk,,,,,,,,,,,,0.927,12.29,0.865,-35.89,25.72,21.337,,,,,,,
1338,NGC4980,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.907,13.373,0.513,-10.52,14.42,21.164,,,,,,,
1338,NGC4980,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.093,21.191,0.425,-33.69,17.53,,
1339,NGC4981,_bd,2,5,B,sersic,0.118,13.297,0.69,141.78,2.41,1.7,,,,,,,,,,,,,,,,,,
1339,NGC4981,_bd,2,5,D,expdisk,,,,,,,,,,,,0.882,11.106,0.616,-27.64,22.16,19.83,,,,,,,
1340,NGC4984,_bdbar,3,5,B,sersic,0.382,11.092,0.812,41.76,5.37,1.917,,,,,,,,,,,,,,,,,,
1340,NGC4984,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.372,11.111,0.59,24.64,49.8,21.592,,,,,,,
1340,NGC4984,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.246,20.035,0.697,-87.12,57.83,,
1341,NGC4995,_dbarfn,3,5,D,expdisk,,,,,,,,,,,,0.924,10.783,0.638,-85.82,21.49,19.44,,,,,,,
1341,NGC4995,_dbarfn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.041,19.462,0.387,33.72,18.0,,
1341,NGC4995,_dbarfn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.035,14.336
1342,NGC5002,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.945,13.983,0.6,-6.96,17.99,22.254,,,,,,,
1342,NGC5002,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.055,21.986,0.268,34.56,18.14,,
1343,NGC5005,_bdbar,3,5,B,sersic,0.152,11.0,0.558,66.3,4.91,1.999,,,,,,,,,,,,,,,,,,
1343,NGC5005,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.693,9.352,0.396,66.96,38.43,19.271,,,,,,,
1343,NGC5005,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.156,18.444,0.292,78.4,56.49,,
1344,NGC5012,_bd,2,5,B,sersic,0.07,14.093,0.724,13.37,2.0,1.367,,,,,,,,,,,,,,,,,,
1344,NGC5012,_bd,2,5,D,expdisk,,,,,,,,,,,,0.93,11.28,0.563,12.54,17.36,19.473,,,,,,,
1345,NGC5014,_bd,2,3,B,sersic,0.649,12.958,0.233,101.04,9.91,1.693,,,,,,,,,,,,,,,,,,
1345,NGC5014,_bd,2,3,D,expdisk,,,,,,,,,,,,0.351,13.622,0.318,-78.97,12.21,21.051,,,,,,,
1346,NGC5016,_dn,2,5,D,expdisk,,,,,,,,,,,,0.988,12.233,0.749,63.12,10.01,19.23,,,,,,,
1346,NGC5016,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.012,17.047
1347,NGC5018,_bd,2,3,B,sersic,0.883,10.177,0.708,94.12,28.4,5.453,,,,,,,,,,,,,,,,,,
1347,NGC5018,_bd,2,3,D,expdisk,,,,,,,,,,,,0.117,12.405,0.647,-66.03,18.85,20.777,,,,,,,
1348,NGC5022,_bz,2,5,B,sersic,0.582,12.092,0.319,24.62,68.18,13.639,,,,,,,,,,,,,,,,,,
1348,NGC5022,_bz,2,5,Z,edgedisk,,,,,,,0.418,19.209,22.82,14.4,4.06,,,,,,,,,,,,,
1349,NGC5023,_z,1,4,Z,edgedisk,,,,,,,1.0,20.722,27.8,38.21,8.78,,,,,,,,,,,,,
1350,NGC5033,_bdd,3,5,B,sersic,0.084,12.039,0.819,130.89,3.12,2.0,,,,,,,,,,,,,,,,,,
1350,NGC5033,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.439,10.242,0.535,-8.4,64.73,21.293,,,,,,,
1350,NGC5033,_bdd,3,5,D,expdisk,,,,,,,,,,,,0.477,10.153,0.401,-9.56,14.55,17.963,,,,,,,
1351,NGC5042,_dd,2,5,D,sersic,0.163,13.238,0.762,78.24,24.78,1.449,,,,,,,,,,,,,,,,,,
1351,NGC5042,_dd,2,5,D,expdisk,,,,,,,,,,,,0.837,11.46,0.564,15.87,35.93,21.233,,,,,,,
1352,NGC5054,_bd,2,5,B,sersic,0.141,12.154,0.64,156.79,5.04,0.726,,,,,,,,,,,,,,,,,,
1352,NGC5054,_bd,2,5,D,expdisk,,,,,,,,,,,,0.859,10.196,0.611,-23.37,36.03,19.974,,,,,,,
1353,NGC5055,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.17,9.876,0.556,-78.55,14.99,17.749,,,,,,,
1353,NGC5055,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.814,8.177,0.556,-78.55,73.57,19.507,,,,,,,
1353,NGC5055,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.016,12.459
1354,NGC5068,_ndbar,3,5,D,expdisk,,,,,,,,,,,,0.959,9.737,0.974,-80.86,59.69,20.612,,,,,,,
1354,NGC5068,_ndbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.04,20.489,0.274,-25.92,53.55,,
1354,NGC5068,_ndbar,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.001,17.221
1355,NGC5073,_bz,2,5,B,sersic,0.183,13.402,0.407,151.47,1.38,2.519,,,,,,,,,,,,,,,,,,
1355,NGC5073,_bz,2,5,Z,edgedisk,,,,,,,0.817,19.002,-30.38,22.26,5.56,,,,,,,,,,,,,
1356,NGC5078,_bz,2,5,B,sersic,0.803,9.639,0.437,146.91,59.09,3.788,,,,,,,,,,,,,,,,,,
1356,NGC5078,_bz,2,5,Z,edgedisk,,,,,,,0.197,17.479,-33.32,13.07,4.0,,,,,,,,,,,,,
1357,NGC5079,_dn,2,5,D,expdisk,,,,,,,,,,,,0.973,12.345,0.518,28.86,13.45,19.984,,,,,,,
1357,NGC5079,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.027,16.239
1358,NGC5084,_bzz,3,4,B,sersic,0.767,9.612,0.566,82.4,86.89,8.206,,,,,,,,,,,,,,,,,,
1358,NGC5084,_bzz,3,4,Z,edgedisk,,,,,,,0.102,18.523,82.16,19.66,3.51,,,,,,,,,,,,,
1358,NGC5084,_bzz,3,4,Z,edgedisk,,,,,,,0.13,21.377,58.38,121.73,13.4,,,,,,,,,,,,,
1359,NGC5085,_bd,2,5,B,sersic,0.051,13.656,0.753,47.16,6.63,1.109,,,,,,,,,,,,,,,,,,
1359,NGC5085,_bd,2,5,D,expdisk,,,,,,,,,,,,0.949,10.484,0.909,52.09,29.94,19.861,,,,,,,
1360,NGC5088,_dd,2,5,D,sersic,0.192,14.228,0.353,7.54,7.22,0.849,,,,,,,,,,,,,,,,,,
1360,NGC5088,_dd,2,5,D,expdisk,,,,,,,,,,,,0.808,12.663,0.343,-0.95,19.19,21.075,,,,,,,
1361,NGC5101,_bdbar,3,5,B,sersic,0.223,11.227,0.95,169.19,9.47,2.657,,,,,,,,,,,,,,,,,,
1361,NGC5101,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.606,10.134,0.927,-55.07,52.59,20.734,,,,,,,
1361,NGC5101,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.171,19.794,0.344,-58.27,75.58,,
1362,NGC5103,_zzn,3,4,Z,edgedisk,,,,,,,0.412,17.621,-40.92,4.27,2.6,,,,,,,,,,,,,
1362,NGC5103,_zzn,3,4,Z,edgedisk,,,,,,,0.444,20.505,-30.69,17.64,12.93,,,,,,,,,,,,,
1362,NGC5103,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.144,14.156
1363,NGC5105,_dn,2,5,D,expdisk,,,,,,,,,,,,0.989,12.959,0.742,-44.4,13.94,20.677,,,,,,,
1363,NGC5105,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.011,17.804
1364,NGC5107,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.937,13.672,0.352,-51.27,14.49,21.473,,,,,,,
1364,NGC5107,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.063,21.25,0.181,-58.51,19.5,,
1365,NGC5109,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.481,0.32,-28.13,12.69,20.994,,,,,,,
1366,NGC5112,_dbar,2,5,B,expdisk,,,,,,,,,,,,0.946,11.92,0.665,-60.34,34.07,21.577,,,,,,,
1366,NGC5112,_dbar,2,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.054,20.358,0.183,-53.08,26.63,,
1367,NGC5116,_dn,2,5,D,expdisk,,,,,,,,,,,,0.981,12.376,0.4,38.87,14.06,20.111,,,,,,,
1367,NGC5116,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.019,16.671
1368,NGC5117,_bdbarf,3,5,B,sersic,0.057,16.483,0.551,11.62,6.24,0.534,,,,,,,,,,,,,,,,,,
1368,NGC5117,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.79,13.619,0.539,-27.38,22.67,22.392,,,,,,,
1368,NGC5117,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.153,22.014,0.3,-27.38,37.5,,
1369,NGC5122,_zzn,3,4,Z,edgedisk,,,,,,,0.224,16.459,-62.26,1.08,1.0,,,,,,,,,,,,,
1369,NGC5122,_zzn,3,4,Z,edgedisk,,,,,,,0.637,18.972,-46.69,9.52,4.34,,,,,,,,,,,,,
1369,NGC5122,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.139,14.902
1370,NGC5134,_bdbarfn,4,5,B,sersic,0.066,13.646,0.775,152.93,5.39,0.815,,,,,,,,,,,,,,,,,,
1370,NGC5134,_bdbarfn,4,5,D,expdisk,,,,,,,,,,,,0.747,11.012,0.967,78.97,23.23,19.837,,,,,,,
1370,NGC5134,_bdbarfn,4,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.144,20.127,0.465,-27.36,42.0,,
1370,NGC5134,_bdbarfn,4,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.043,14.123
