Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
614,NGC1326A,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.979,13.88,0.765,76.05,20.32,22.415,,,,,,,
614,NGC1326A,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.021,23.073,0.348,46.57,16.5,,
615,NGC1326B,_z,1,4,Z,edgedisk,,,,,,,1.0,22.13,-52.21,39.12,13.7,,,,,,,,,,,,,
616,NGC1332,_b,1,5,B,sersic,1.0,9.535,0.456,115.1,42.92,4.052,,,,,,,,,,,,,,,,,,
617,NGC1337,_bd,2,5,B,sersic,0.079,14.363,0.569,162.89,17.64,1.101,,,,,,,,,,,,,,,,,,
617,NGC1337,_bd,2,5,D,expdisk,,,,,,,,,,,,0.921,11.693,0.245,-31.49,42.4,21.825,,,,,,,
618,NGC1338,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.925,12.507,0.866,40.51,10.95,19.699,,,,,,,
618,NGC1338,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.075,17.656,0.208,-39.28,6.5,,
619,NGC1339,_b,1,5,B,sersic,1.0,11.087,0.7,174.66,22.34,5.734,,,,,,,,,,,,,,,,,,
620,NGC1341,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.859,12.297,0.96,18.57,11.08,19.515,,,,,,,
620,NGC1341,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.141,19.203,0.229,-27.82,19.85,,
621,NGC1345,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.785,13.696,0.846,-74.1,11.09,20.915,,,,,,,
621,NGC1345,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.215,19.145,0.35,21.19,10.58,,
622,NGC1347,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.368,0.91,-15.56,13.26,20.975,,,,,,,
