galaxy,profile,zone,radius_min_arcsec,radius_max_arcsec,real,imag,amplitude,phase_rad
NGC1672,stellar_m1,3,75.66492901427335,98.84321435356463,-0.0992163200010225,-0.03283389214630125,0.10450809838486318,-2.8220045183430886
NGC1672,stellar_m1,4,98.84321435356463,158.15217282627142,-0.07977075256082082,0.18532521638889113,0.20176424062184314,1.977262780813239
NGC1672,stellar_m2,0,0.23022695031246512,23.070742886501186,-0.06746652799763743,0.0012431592060677583,0.06747798044449482,3.1231684278967693
NGC1672,stellar_m2,1,23.070742886501186,53.64323810944412,-0.04785863154193633,0.21237264688673904,0.21769839172292102,1.7924459206548922
NGC1672,stellar_m2,2,53.64323810944412,75.66492901427335,-0.06094722515047127,0.39549045279575357,0.40015904651292394,1.7236989238332021
NGC1672,stellar_m2,3,75.66492901427335,98.84321435356463,-0.17752328494330633,0.4483903819048153,0.4822535134986664,1.9477738989710291
NGC1672,stellar_m2,4,98.84321435356463,158.15217282627142,-0.21138842835526134,0.17642534306316146,0.27533791841564736,2.446105738341856
NGC1672,co_m1,0,0.23022695031246512,23.070742886501186,-0.013152553755176582,-0.009739248940089512,0.01636589869820305,-2.504209982142071
NGC1672,co_m1,1,23.070742886501186,53.64323810944412,0.1327786296415624,-0.029188437728932873,0.13594899553342416,-0.21638607524986006
NGC1672,co_m1,2,53.64323810944412,75.66492901427335,-0.09818789910779115,-0.1289054437446182,0.1620415902112748,-2.221746536778869
NGC1672,co_m1,3,75.66492901427335,98.84321435356463,-0.08992570164660779,-0.10114092730469455,0.13533705698251394,-2.2975637823069444
NGC1672,co_m1,4,98.84321435356463,158.15217282627142,0.12580973343233948,0.5540024528666179,0.5681080942994436,1.3474912253186953
NGC1672,co_m2,0,0.23022695031246512,23.070742886501186,0.05416771081855615,-0.028340649092528654,0.061133732802018316,-0.4820363732249648
NGC1672,co_m2,1,23.070742886501186,53.64323810944412,0.24505402375146243,0.4322949138781264,0.49692088617976105,1.0550951622172866
NGC1672,co_m2,2,53.64323810944412,75.66492901427335,-0.05291744833665312,0.49620858567714776,0.49902226086436025,1.6770383394363728
NGC1672,co_m2,3,75.66492901427335,98.84321435356463,-0.298421818883142,0.6514707305504455,0.7165679972964561,2.0003442916837786
NGC1672,co_m2,4,98.84321435356463,158.15217282627142,-0.6817473265062144,0.6244054103850608,0.9244790607236635,2.400067705077316
NGC7496,stellar_m1,0,0.1467037567947435,18.53323470885813,-0.1064333629223668,-0.013463078695922687,0.10728147664409196,-3.015767868706324
NGC7496,stellar_m1,1,18.53323470885813,34.19133182881502,-0.031148219967087786,0.00642336947900793,0.03180363631067896,2.9382240472847463
NGC7496,stellar_m1,2,34.19133182881502,41.82045132063463,-0.0012768995050992118,-0.08867687649560646,0.08868606935343998,-1.5851947958638268
NGC7496,stellar_m1,3,41.82045132063463,51.132048441312584,-0.01315915314156103,-0.13168660972709115,0.13234245914602868,-1.6703934931911222
NGC7496,stellar_m1,4,51.132048441312584,83.91493169556972,-0.15920700390723552,-0.11555937122228162,0.19672528655566268,-2.5137317853561725
NGC7496,stellar_m2,0,0.1467037567947435,18.53323470885813,-0.05950250908848994,0.15452501050561687,0.1655854083534743,1.938363670020917
NGC7496,stellar_m2,1,18.53323470885813,34.19133182881502,-0.06981911528473428,0.2679355529602655,0.2768829525255505,1.8257092219534314
NGC7496,stellar_m2,2,34.19133182881502,41.82045132063463,0.022081955964205188,0.3278476601780526,0.3285904762214343,1.5035435845123997
NGC7496,stellar_m2,3,41.82045132063463,51.132048441312584,0.03921576734543747,0.3351171307539165,0.33740386443138004,1.4543050636370798
