galaxy,split,coarse_formula_family,dominant_intake_family,weight_intake_status,n_points,rmse_l2_weight_intake,rmse_single_matched_family,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_mixture_proxy,intake_minus_old_l2_proxy,intake_minus_single_matched,intake_minus_tpg_v6,intake_minus_mond,intake_beats_old_l2_proxy,intake_beats_single_matched,intake_beats_tpg_v6,intake_beats_mond,dominant_intake_matches_coarse_family
UGC02259,holdout,K_exponential_disk,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,8,15.926795760580907,19.573338345039396,16.43514083306515,13.66144175213647,l2_weight_intake_endpoint_preflight_not_validation,15.453884580549186,0.47291118003172095,-3.646542584458489,-0.5083450724842447,2.2653540084444366,False,True,True,False,False
UGC03580,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,47,26.623336512958982,53.98299406241329,25.49452615076704,27.172706555031343,l2_weight_intake_endpoint_preflight_not_validation,47.927084251790035,-21.303747738831053,-27.359657549454308,1.1288103621919419,-0.5493700420723613,True,True,False,True,False
UGC04305,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,22,57.46023051372418,26.808062784312273,23.999621706482884,26.588364190715332,l2_weight_intake_endpoint_preflight_not_validation,31.0454822763056,26.41474823741858,30.652167729411904,33.46060880724129,30.871866323008845,False,False,False,False,False
UGC04499,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,9,5.397304499008665,8.071013668884772,6.040634191372928,8.985021588452573,l2_weight_intake_endpoint_preflight_not_validation,9.236407431834207,-3.8391029328255426,-2.6737091698761075,-0.6433296923642633,-3.5877170894439088,True,True,True,True,False
UGC05414,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,6,7.455645261144433,9.440201402889352,6.4008126343112375,8.261884143933315,l2_weight_intake_endpoint_preflight_not_validation,15.266440388278756,-7.810795127134323,-1.9845561417449193,1.0548326268331953,-0.8062388827888824,True,True,False,True,False
UGC05716,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,5.702170825248938,4.212043634396867,5.844868825954693,5.605647282808069,l2_weight_intake_endpoint_preflight_not_validation,3.9917294431077943,1.710441382141144,1.4901271908520712,-0.14269800070575478,0.09652354244086947,False,False,True,False,False
UGC05829,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,11,6.220924516996659,7.720215953585758,6.222677845510406,8.606905396927852,l2_weight_intake_endpoint_preflight_not_validation,10.76247324648818,-4.54154872949152,-1.4992914365890995,-0.0017533285137467658,-2.385980879931193,True,True,True,True,False
UGC05986,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,15,16.856878883305757,15.662107914873872,17.532159853325275,15.059299363743824,l2_weight_intake_endpoint_preflight_not_validation,13.945836414912607,2.91104246839315,1.194770968431886,-0.6752809700195179,1.7975795195619337,False,False,True,False,True
UGC06818,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,8,11.90895045377944,13.901550076257113,12.386120759877572,13.66362183441789,l2_weight_intake_endpoint_preflight_not_validation,15.762229546173607,-3.8532790923941675,-1.9925996224776732,-0.4771703060981327,-1.7546713806384506,True,True,True,True,False
UGC06917,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,11,7.341476384447996,4.9226251653474105,6.430936477869006,4.61507933369384,l2_weight_intake_endpoint_preflight_not_validation,3.720900338876371,3.6205760455716254,2.4188512191005858,0.9105399065789905,2.726397050754156,False,False,False,False,False
UGC06983,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,17,12.385460782501298,9.70055392147702,11.036839059186455,9.148970751386091,l2_weight_intake_endpoint_preflight_not_validation,10.110482894618606,2.2749778878826916,2.6849068610242774,1.3486217233148423,3.2364900311152063,False,False,False,False,False
UGC07151,holdout,K_exponential_disk,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,11,4.641822879680751,3.9908842627101606,4.3119123214161394,5.615951252005322,l2_weight_intake_endpoint_preflight_not_validation,7.605794172487359,-2.963971292806608,0.6509386169705902,0.32991055826461135,-0.9741283723245715,True,False,False,True,False
UGC07261,holdout,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,7,4.120854225707304,5.956232149170297,4.296839337715027,4.6168185611277694,l2_weight_intake_endpoint_preflight_not_validation,5.405932942847409,-1.285078717140105,-1.8353779234629934,-0.17598511200772293,-0.4959643354204655,True,True,True,True,False
UGC07577,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,9,11.543046063508982,17.124297895456632,10.601721967205515,13.125766123408509,l2_weight_intake_endpoint_preflight_not_validation,43.47007794262976,-31.927031879120776,-5.58125183194765,0.9413240963034664,-1.5827200598995272,True,True,False,True,False
UGC07603,holdout,K_exponential_disk,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,8.654986419079288,11.387173267934267,9.318897295784359,6.8156573361002755,l2_weight_intake_endpoint_preflight_not_validation,3.564611564444469,5.090374854634819,-2.7321868488549796,-0.6639108767050708,1.8393290829790123,False,True,True,False,False
UGC08699,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,41,14.866158341353142,12.627055841271439,15.184307759904634,13.478161966003247,l2_weight_intake_endpoint_preflight_not_validation,11.993051940038056,2.873106401315086,2.239102500081703,-0.31814941855149215,1.3879963753498945,False,False,True,False,False
UGC11914,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,65,33.17967170999526,23.229579108902147,33.820143068839116,30.19760108867859,l2_weight_intake_endpoint_preflight_not_validation,23.70976365799283,9.469908052002431,9.950092601093115,-0.640471358843854,2.982070621316673,False,False,True,False,False
UGC12506,holdout,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,31,40.90589445157975,44.999238791738094,40.697842583379504,38.12269540109571,l2_weight_intake_endpoint_preflight_not_validation,43.74308275965163,-2.8371883080718803,-4.093344340158346,0.20805186820024346,2.7831990504840363,True,True,False,False,False
UGCA444,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,36,3.7481718465386815,7.622534837373528,3.0580094444767805,4.92757139254757,l2_weight_intake_endpoint_preflight_not_validation,20.94928433467335,-17.20111248813467,-3.8743629908348463,0.690162402061901,-1.1793995460088884,True,True,False,True,False
D512-2,train,K_scale_tail_spiral,K_compact_finite,UNINFORMATIVE_EQUAL_FALLBACK,4,54.680307650513306,6.808960055926971,2.5139498188497846,6.561883790113319,l2_weight_intake_endpoint_preflight_not_validation,16.521480553693618,38.15882709681969,47.87134759458633,52.16635783166352,48.118423860399986,False,False,False,False,False
D564-8,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,6,2.653460866271324,9.336622485938781,3.399294537690645,7.16409055590109,l2_weight_intake_endpoint_preflight_not_validation,21.297877090196582,-18.64441622392526,-6.683161619667457,-0.7458336714193212,-4.510629689629766,True,True,True,True,False
D631-7,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,16,10.517806429660139,10.943013951197013,10.35809255392164,10.521817679771978,l2_weight_intake_endpoint_preflight_not_validation,12.442880225983757,-1.925073796323618,-0.42520752153687447,0.1597138757384986,-0.004011250111839004,True,True,False,True,False
DDO064,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,14,5.443535706033468,5.443535706033468,2.7332917850477236,3.548332793859171,l2_weight_intake_endpoint_preflight_not_validation,20.453439998316096,-15.009904292282627,0.0,2.7102439209857443,1.8952029121742968,True,False,False,False,True
DDO154,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,3.3375595690290205,4.184305567259078,3.544983778635305,4.451832612674567,l2_weight_intake_endpoint_preflight_not_validation,7.633250388489297,-4.295690819460276,-0.8467459982300576,-0.20742420960628438,-1.1142730436455461,True,True,True,True,False
DDO161,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,31,13.723814218849023,15.881667823431446,13.579219703882607,18.569662825271475,l2_weight_intake_endpoint_preflight_not_validation,16.433360060866608,-2.709545842017585,-2.1578536045824226,0.14459451496641584,-4.845848606422452,True,True,False,True,False
DDO168,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,10,7.120768721744281,8.993591610956091,6.727638673752554,7.879974549733663,l2_weight_intake_endpoint_preflight_not_validation,13.61048665711576,-6.48971793537148,-1.8728228892118102,0.39313004799172724,-0.7592058279893816,True,True,False,True,False
DDO170,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,8,7.504501016528399,10.159584119881025,7.480201139884626,14.370201282342645,l2_weight_intake_endpoint_preflight_not_validation,10.690170923600466,-3.185669907072066,-2.6550831033526254,0.024299876643773644,-6.865700265814246,True,True,False,True,False
ESO079-G014,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,15,12.186790566897495,13.175386122165875,12.522654026496923,11.397542407404476,l2_weight_intake_endpoint_preflight_not_validation,11.49375675421414,0.6930338126833551,-0.9885955552683807,-0.33586345959942854,0.7892481594930185,False,True,True,False,False
ESO444-G084,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,7,13.024005605195304,9.653687321801225,13.917114692092932,10.513209179623457,l2_weight_intake_endpoint_preflight_not_validation,6.474140648501736,6.549864956693568,3.370318283394079,-0.8931090868976277,2.510796425571847,False,False,True,False,False
ESO563-G021,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,30,47.62781180262277,49.05425860593719,47.72714916375959,44.48667176928297,l2_weight_intake_endpoint_preflight_not_validation,48.602521434929635,-0.9747096323068618,-1.4264468033144198,-0.09933736113681846,3.141140033339802,True,True,True,False,False
F563-V1,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,6,24.185722088310527,26.964419023751876,23.66949222725619,29.338957960123544,l2_weight_intake_endpoint_preflight_not_validation,29.059262793121295,-4.873540704810768,-2.7786969354413493,0.5162298610543381,-5.153235871813017,True,True,False,True,False
F563-V2,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,10,25.186946416897033,23.80775763175782,26.238947803350438,23.428832485173935,l2_weight_intake_endpoint_preflight_not_validation,22.000639165705795,3.186307251191238,1.3791887851392133,-1.052001386453405,1.7581139317230985,False,False,True,False,True
F565-V2,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,7,11.698062166805126,9.108198192477284,11.960771688430881,6.916649069723871,l2_weight_intake_endpoint_preflight_not_validation,7.298641930167393,4.3994202366377335,2.5898639743278427,-0.2627095216257551,4.781413097081256,False,False,True,False,False
F567-2,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,5,16.22869903613856,16.22869903613856,14.016635993218337,19.406231954265397,l2_weight_intake_endpoint_preflight_not_validation,19.29995436912092,-3.071255332982357,0.0,2.2120630429202244,-3.177532918126836,True,False,False,True,True
F568-3,train,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,18,7.860002856544251,11.251672319569533,9.11490703879206,7.976415983117765,l2_weight_intake_endpoint_preflight_not_validation,7.4579823900800575,0.40202046646419376,-3.3916694630252815,-1.2549041822478086,-0.11641312657351399,False,True,True,True,False
F568-V1,train,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,15,27.488531570335322,33.68872136932015,29.877210479611758,25.762065140172663,l2_weight_intake_endpoint_preflight_not_validation,29.470265532976914,-1.9817339626415915,-6.200189798984827,-2.388678909276436,1.7264664301626595,True,True,True,False,False
F571-8,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,13,29.758271974218054,30.469049603845086,30.175376192122503,28.290592925853005,l2_weight_intake_endpoint_preflight_not_validation,29.57083750426168,0.1874344699563757,-0.7107776296270316,-0.4171042179044484,1.4676790483650493,False,True,True,False,False
F571-V1,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,7,3.5769628763078303,3.7041860848067847,3.5735232878164758,6.360130039546406,l2_weight_intake_endpoint_preflight_not_validation,3.3561203110652684,0.22084256524256185,-0.1272232084989544,0.003439588491354506,-2.7831671632385757,False,True,False,True,False
F574-1,train,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,14,9.943790587801379,15.653160782256908,11.820788616096635,8.776912560877792,l2_weight_intake_endpoint_preflight_not_validation,12.249371508539417,-2.3055809207380378,-5.709370194455529,-1.8769980282952563,1.1668780269235874,True,True,True,False,False
F574-2,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,5,35.20922291232126,35.20922291232126,32.6388165436646,38.74115873241575,l2_weight_intake_endpoint_preflight_not_validation,37.18124216123043,-1.9720192489091701,0.0,2.5704063686566556,-3.531935820094489,True,False,False,True,True
F579-V1,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,14,18.3734345340946,20.704633861715262,19.63941142103888,18.38890176475787,l2_weight_intake_endpoint_preflight_not_validation,18.262130457466213,0.11130407662838593,-2.331199327620663,-1.26597688694428,-0.01546723066326905,False,True,True,True,False
F583-1,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,25,10.359993146223937,10.359993146223937,13.297286773674033,10.320140273858495,l2_weight_intake_endpoint_preflight_not_validation,7.493925717442195,2.866067428781742,0.0,-2.937293627450096,0.03985287236544188,False,False,True,False,True
F583-4,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,4.070396257323441,1.8163548767334206,2.089348476842753,5.381087823103697,l2_weight_intake_endpoint_preflight_not_validation,6.545574644890307,-2.4751783875668654,2.254041380590021,1.9810477804806883,-1.3106915657802558,True,False,False,True,False
KK98-251,train,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,15,9.438586192012098,13.610025806267119,8.181219377823203,10.870651981388162,l2_weight_intake_endpoint_preflight_not_validation,27.27761826842789,-17.83903207641579,-4.171439614255021,1.2573668141888952,-1.4320657893760647,True,True,False,True,False
NGC0055,train,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,21,12.15629174276546,15.50707161929844,13.646013162608714,17.518196226309797,l2_weight_intake_endpoint_preflight_not_validation,15.747113066781669,-3.5908213240162095,-3.3507798765329806,-1.4897214198432547,-5.361904483544338,True,True,True,True,False
NGC0100,train,K_exponential_disk,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,21,7.66544892858323,8.856389899016648,7.537919334963079,6.061732881040405,l2_weight_intake_endpoint_preflight_not_validation,7.051391273420865,0.6140576551623651,-1.1909409704334175,0.12752959362015126,1.6037160475428252,False,True,False,False,True
NGC0247,train,K_exponential_disk,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,26,4.632925839593893,6.561795274843639,3.866312004062215,5.475417572666649,l2_weight_intake_endpoint_preflight_not_validation,4.70072411234,-0.06779827274610639,-1.9288694352497453,0.7666138355316781,-0.8424917330727562,True,True,False,True,True
NGC0289,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,28,13.01907117049023,11.257300859223461,13.44827134683854,23.595309185371484,l2_weight_intake_endpoint_preflight_not_validation,11.839576462163318,1.1794947083269118,1.761770311266769,-0.42920017634831,-10.576238014881254,False,False,True,True,False
NGC0300,train,K_exponential_disk,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,25,9.176325389390442,13.615448943697162,9.83189803567648,5.607034629923943,l2_weight_intake_endpoint_preflight_not_validation,9.70796649527256,-0.5316411058821178,-4.43912355430672,-0.6555726462860374,3.569290759466499,True,True,True,False,True
NGC0801,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,13,31.515891501543546,30.338225611407932,31.348134413644825,35.306528941160416,l2_weight_intake_endpoint_preflight_not_validation,30.72121358329897,0.7946779182445773,1.1776658901356143,0.16775708789872112,-3.7906374396168694,False,False,False,True,False
NGC0891,train,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,18,31.76658393864167,36.117714962740685,29.637636010909365,32.67571266789567,l2_weight_intake_endpoint_preflight_not_validation,34.36029562506972,-2.5937116864280476,-4.351131024099015,2.1289479277323053,-0.9091287292539967,True,True,False,True,False
NGC1003,train,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,36,11.250705560607548,10.239711077957573,11.228797331872782,8.233924992844548,l2_weight_intake_endpoint_preflight_not_validation,11.37678035751164,-0.12607479690409207,1.0109944826499753,0.021908228734766055,3.016780567763,True,False,False,False,True
NGC1090,train,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,24,17.324246875179945,13.765926902112863,15.259685358845738,18.764009439287914,l2_weight_intake_endpoint_preflight_not_validation,14.251781803652817,3.0724650715271284,3.558319973067082,2.064561516334207,-1.4397625641079692,False,False,False,True,False
NGC1705,train,K_scale_tail_spiral,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,14,28.548680919648444,17.353386930958422,20.59864390810048,16.95201559286103,l2_weight_intake_endpoint_preflight_not_validation,14.28599856276315,14.262682356885295,11.195293988690022,7.950037011547963,11.596665326787413,False,False,False,False,False
