radius_arcsec,vrot_app_kms,e_app_kms,vrot_rec_kms,e_rec_kms,vrot_ave_kms,e_ave_kms,inclination_deg,pa_deg,radius_kpc,x_R_over_RHI,delta_pa_deg,delta_i_deg,twist_kernel_sin2_delta_pa,inclination_kernel_sin2_delta_i,uses_vobs_or_residual,source_id,extraction_status,orientation_kernel_upper,gamma_profile_bound,max_fractional_v2_attenuation_bound
110,112.0,7.0,118,10,115,10,82,346,9.599310885968812,0.6010928961748635,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
120,108.0,7.0,114,10,111,7,82,346,10.471975511965978,0.655737704918033,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
130,108.0,7.0,113,10,110,7,82,347,11.34464013796314,0.7103825136612023,1.0,0.0,0.0003045864904521,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0003045864904521,0.0003000627302095886,0.0003000627302095886
141,111.0,7.0,112,7,111,7,82,347,12.304571226560023,0.7704918032786887,1.0,0.0,0.0003045864904521,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0003045864904521,0.0003000627302095886,0.0003000627302095886
151,108.0,7.0,110,7,109,7,82,347,13.177235852557189,0.8251366120218582,1.0,0.0,0.0003045864904521,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0003045864904521,0.0003000627302095886,0.0003000627302095886
161,106.0,5.0,109,7,108,7,82,347,14.049900478554353,0.8797814207650275,1.0,0.0,0.0003045864904521,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0003045864904521,0.0003000627302095886,0.0003000627302095886
172,109.0,7.0,109,7,109,7,82,347,15.009831567151233,0.9398907103825138,1.0,0.0,0.0003045864904521,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0003045864904521,0.0003000627302095886,0.0003000627302095886
183,112.0,7.0,110,7,111,7,82,348,15.969762655748116,1.0000000000000002,2.0,0.0,0.0012179748700878,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0012179748700878,0.001199885340622777,0.001199885340622777
194,108.0,5.0,111,8,110,8,82,348,16.929693744344995,1.0601092896174864,2.0,0.0,0.0012179748700878,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0012179748700878,0.001199885340622777,0.001199885340622777
205,106.0,5.0,111,8,109,8,82,348,17.889624832941877,1.1202185792349728,2.0,0.0,0.0012179748700878,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0012179748700878,0.001199885340622777,0.001199885340622777
217,107.0,7.0,112,8,110,8,82,348,18.936822384138473,1.1857923497267762,2.0,0.0,0.0012179748700878,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0012179748700878,0.001199885340622777,0.001199885340622777
229,,,112,10,112,10,82,348,19.984019935335073,1.2513661202185795,2.0,0.0,0.0012179748700878,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0012179748700878,0.001199885340622777,0.001199885340622777
241,,,113,13,113,10,82,349,21.03121748653167,1.3169398907103829,3.0,0.0,0.0027390523158633,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0027390523158633,0.0026983715359959154,0.0026983715359959154
