galaxy,split,formula_family,sparc_hi_ready,sparc_mhi_1e9_msun,sparc_rhi_kpc,s4g_scale_ready,s4g_bar_ready,s4g_compact_component_ready,dustpedia_any_match,dustpedia_hi_match,dustpedia_physical_match,dustpedia_dust_profile_match,phangs_sample_match,phangs_muse_ready,phangs_alma_ready,q_tail_candidate,q_expdisk_scale_candidate,q_bar_candidate,q_compact_candidate,q_memory_candidate,l4_velocity_field_candidate,source_expansion_status,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
F579-V1,train,K_thick_flared,True,2.245,20.96,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F583-1,train,K_scale_tail_spiral,True,2.126,15.65,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F583-4,train,K_thick_flared,True,0.641,7.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
IC2574,holdout,K_scale_tail_spiral,True,1.036,10.81,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
IC4202,holdout,K_compact_finite,True,12.326,32.13,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
KK98-251,train,K_scale_tail_spiral,True,0.115,2.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0024,holdout,K_thick_flared,True,0.676,7.29,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0055,train,K_scale_tail_spiral,True,1.565,10.24,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0100,train,K_exponential_disk,True,1.99,16.36,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0247,train,K_exponential_disk,True,1.746,12.79,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0289,train,K_thick_flared,True,27.469,49.51,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0300,train,K_exponential_disk,True,0.936,9.2,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0801,train,K_thick_flared,True,23.201,44.99,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC0891,train,K_compact_finite,True,4.462,18.16,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC1003,train,K_scale_tail_spiral,True,5.88,33.33,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC1090,train,K_thick_flared,True,8.783,30.49,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC1705,train,K_scale_tail_spiral,True,0.139,2.36,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2366,train,K_scale_tail_spiral,True,0.647,6.94,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2403,train,K_exponential_disk,True,3.199,15.11,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2683,holdout,K_thick_flared,True,1.406,13.79,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2841,train,K_compact_finite,True,9.775,45.12,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2903,train,K_thick_flared,True,2.552,13.76,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2915,train,K_scale_tail_spiral,True,0.508,7.16,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2955,train,K_compact_finite,True,28.949,40.34,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2976,train,K_thick_flared,True,0.172,3.04,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC2998,train,K_thick_flared,True,23.451,43.58,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3109,train,K_scale_tail_spiral,True,0.477,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3198,train,K_thick_flared,True,10.869,35.66,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3521,train,K_thick_flared,True,4.154,18.85,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3726,holdout,K_thick_flared,True,6.473,22.2,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3741,train,K_scale_tail_spiral,True,0.182,4.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3769,train,K_thick_flared,True,5.529,22.57,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3877,train,K_thick_flared,True,1.483,11.47,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3893,train,K_thick_flared,True,5.799,20.84,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3917,train,K_exponential_disk,True,1.888,14.08,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3949,holdout,K_thick_flared,True,3.371,13.72,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3953,train,K_thick_flared,True,2.832,17.38,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3972,holdout,K_thick_flared,True,1.214,10.05,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC3992,train,K_thick_flared,True,16.599,32.75,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4010,train,K_exponential_disk,True,2.832,17.59,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4013,holdout,K_compact_finite,True,2.967,31.35,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4051,train,K_thick_flared,True,2.697,15.13,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4068,train,K_scale_tail_spiral,True,0.154,3.18,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4085,train,K_thick_flared,True,1.349,10.16,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4088,holdout,K_thick_flared,True,8.226,22.25,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4100,train,K_thick_flared,True,3.102,18.06,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4138,train,K_compact_finite,True,1.483,18.58,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4157,train,K_thick_flared,True,8.226,24.09,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4183,holdout,K_exponential_disk,True,3.506,16.07,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,True,0.486,5.84,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4217,train,K_compact_finite,True,2.562,16.7,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4389,holdout,K_thick_flared,True,0.539,6.81,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC4559,train,K_exponential_disk,True,5.811,21.16,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5005,train,K_compact_finite,True,1.28,10.41,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5033,train,K_compact_finite,True,11.314,29.53,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5055,train,K_thick_flared,True,11.722,35.06,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5371,train,K_thick_flared,True,11.18,30.03,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5585,train,K_exponential_disk,True,1.683,10.92,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5907,holdout,K_thick_flared,False,21.025,0.0,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC5985,holdout,K_compact_finite,True,11.586,39.5,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6015,train,K_exponential_disk,True,5.834,21.43,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6195,train,K_compact_finite,True,20.907,40.89,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6503,train,K_exponential_disk,True,1.744,14.05,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6674,train,K_compact_finite,True,32.165,50.02,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6789,holdout,K_scale_tail_spiral,True,0.017,0.97,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC6946,holdout,K_compact_finite,True,5.67,21.25,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC7331,holdout,K_thick_flared,True,11.067,27.01,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC7793,train,K_exponential_disk,True,0.861,7.35,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
NGC7814,train,K_compact_finite,True,1.07,12.15,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
PGC51017,train,K_scale_tail_spiral,True,0.201,4.29,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC00128,train,K_scale_tail_spiral,True,7.431,31.27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC00191,train,K_scale_tail_spiral,True,1.343,10.03,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC00634,train,K_scale_tail_spiral,True,3.663,16.78,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,True,1.807,11.57,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,True,0.428,6.23,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC01230,train,K_scale_tail_spiral,True,6.43,26.29,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC01281,train,K_exponential_disk,True,0.294,5.26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,True,0.477,6.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02259,holdout,K_exponential_disk,True,0.494,7.28,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02455,train,K_scale_tail_spiral,True,0.803,7.11,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02487,train,K_compact_finite,True,17.963,40.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02885,train,K_compact_finite,True,40.075,74.24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02916,train,K_compact_finite,True,23.273,34.24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC02953,train,K_compact_finite,True,7.678,24.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC03205,train,K_compact_finite,True,9.677,28.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC03546,train,K_compact_finite,True,2.675,18.37,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC03580,holdout,K_compact_finite,True,4.37,19.97,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC04278,train,K_exponential_disk,True,1.116,8.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,True,0.69,7.41,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC04325,train,K_scale_tail_spiral,True,0.678,6.61,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC04483,train,K_scale_tail_spiral,True,0.032,1.46,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,True,1.1,8.67,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05005,train,K_scale_tail_spiral,True,3.093,21.61,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05253,train,K_compact_finite,True,16.396,36.64,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,True,0.574,6.65,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,True,1.094,10.64,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05721,train,K_scale_tail_spiral,True,0.562,6.74,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05750,train,K_exponential_disk,True,1.099,16.79,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
