baryonic_sensitivity,radius_kpc,radius_over_bar,inside_source_support,q_required,q_morph_prefrozen,q_response_fraction,q_post_open_scaled_diagnostic
vbar_alpha4.35_h0.3_km_s,6.71951130826849,1.856218593444334,False,1.0887236322847786,0.1983492473126655,0.1821851215780196,0.858644289597455
vbar_alpha4.35_h0.3_km_s,6.959493854992364,1.9225121146387745,False,1.182805603262258,0.1983492473126655,0.16769386851533746,0.858644289597455
vbar_alpha4.35_h0.3_km_s,7.199476401716239,1.9888056358332151,False,0.9917759499266812,0.1983492473126655,0.19999400804922607,0.858644289597455
vbar_alpha4.35_h0.3_km_s,7.439458948440113,2.0550991570276556,False,0.925891250730069,0.1983492473126655,0.2142252096628695,0.858644289597455
vbar_alpha4.35_h0.3_km_s,7.679441495163988,2.121392678222096,False,0.8394458662522772,0.1983492473126655,0.23628593014365495,0.858644289597455
vbar_alpha4.35_h0.3_km_s,7.919424041887862,2.1876861994165364,False,0.8805682035705811,0.1983492473126655,0.22525143027920724,0.858644289597455
vbar_alpha4.35_h0.3_km_s,8.159406588611738,2.2539797206109773,False,0.8862707312290166,0.1983492473126655,0.2238020960453123,0.858644289597455
vbar_alpha4.35_h0.3_km_s,8.399389135335612,2.3202732418054177,False,0.9926782236450917,0.1983492473126655,0.1998122277572803,0.858644289597455
vbar_alpha4.35_h0.5_km_s,3.839720747581994,1.060696339111048,True,0.4041119346443842,0.1948407983258244,0.4821456176425054,0.8470551375636403
vbar_alpha4.35_h0.5_km_s,4.079703294305869,1.1269898603054886,True,0.5752676071564244,0.1954079802767588,0.3396818764794873,0.8495209167515747
vbar_alpha4.35_h0.5_km_s,4.319685841029743,1.193283381499929,True,0.587591267266599,0.1959538693642558,0.33348669437483075,0.8518941268804462
vbar_alpha4.35_h0.5_km_s,4.559668387753618,1.2595769026943695,True,0.6052388910612647,0.1962237128995601,0.32420869808199015,0.8530672505531156
vbar_alpha4.35_h0.5_km_s,4.7996509344774925,1.32587042388881,True,0.6653967034517638,0.1964935564348643,0.2953028703261506,0.8542403742257847
vbar_alpha4.35_h0.5_km_s,5.039633481201367,1.3921639450832506,True,0.7649683347219045,0.1966917549579629,0.25712404818621404,0.8551020268092824
vbar_alpha4.35_h0.5_km_s,5.2796160279252415,1.458457466277691,True,0.8696459659568387,0.1968591148216046,0.2263669614163137,0.8558296107318374
vbar_alpha4.35_h0.5_km_s,5.519598574649116,1.5247509874721314,True,0.9463307884844461,0.1970327443410862,0.20820705269098896,0.8565844514929785
vbar_alpha4.35_h0.5_km_s,5.7595811213729915,1.591044508666572,True,0.8212175458326212,0.1972218516845706,0.24015786399766956,0.8574065808838753
vbar_alpha4.35_h0.5_km_s,5.999563668096866,1.6573380298610128,True,1.004370869214231,0.1974109590280551,0.19655185656917695,0.8582287102747728
vbar_alpha4.35_h0.5_km_s,6.239546214820741,1.7236315510554532,True,1.061432188573419,0.1977450905615264,0.18630025798190536,0.8596813209932711
vbar_alpha4.35_h0.5_km_s,6.479528761544615,1.7899250722498936,True,0.9977469933681145,0.1981078530270057,0.19855519920761583,0.861258402450234
vbar_alpha4.35_h0.5_km_s,6.71951130826849,1.856218593444334,False,1.1208419946584596,0.1983492473126655,0.17696450370161768,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,6.959493854992364,1.9225121146387745,False,1.1956391596904559,0.1983492473126655,0.16589390344492982,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,7.199476401716239,1.9888056358332151,False,0.9819531732501432,0.1983492473126655,0.20199460902616578,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,7.439458948440113,2.0550991570276556,False,0.9205926516436753,0.1983492473126655,0.2154582126617263,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,7.679441495163988,2.121392678222096,False,0.8620943764400235,0.1983492473126655,0.23007834493914578,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,7.919424041887862,2.1876861994165364,False,0.8919757965268797,0.1983492473126655,0.2223706608239658,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,8.159406588611738,2.2539797206109773,False,0.8803603421714381,0.1983492473126655,0.22530461427127724,0.8623078452343099
vbar_alpha4.35_h0.5_km_s,8.399389135335612,2.3202732418054177,False,0.9832515148545544,0.1983492473126655,0.20172788377753573,0.8623078452343099
vbar_alpha5.50_h0.1_km_s,3.839720747581994,1.060696339111048,True,0.36420078082360585,0.1948407983258244,0.5349818248198431,0.8270240694469743
vbar_alpha5.50_h0.1_km_s,4.079703294305869,1.1269898603054886,True,0.5965881384149783,0.1954079802767588,0.32754251667812373,0.8294315381558338
vbar_alpha5.50_h0.1_km_s,4.319685841029743,1.193283381499929,True,0.7306606489786076,0.1959538693642558,0.268187248948168,0.8317486268687095
