galaxy,disposition,n_rows,radial_edge_rows,median_cosi,inclination_gate,minimum_radial_edge_rows_gate,source_sector_gate,profile_support_gate,body_rank,standard_rank,combined_rank,complement_dimension,rank_gate,source_sector_counts,radial_edges_arcsec
NGC6186,CONFIRMATORY_UNTOUCHED,1849,180,0.39519307017326355,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.17692428827285767, 15.534080314636231, 23.61197509765625, 28.455991363525392, 33.254400634765624, 47.03640365600586]"
NGC6301,CONFIRMATORY_UNTOUCHED,1849,192,0.5520610809326172,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.6854753494262695, 14.054043388366699, 20.045242309570312, 25.06645278930664, 29.28717956542969, 43.43307113647461]"
NGC6310,SOURCE_ONLY_GATE_FAILED,1849,27,0.09998603910207748,False,False,False,False,,,,,False,,
NGC6314,SOURCE_ONLY_GATE_FAILED,1849,69,0.4660908877849579,True,False,False,False,,,,,False,,
NGC6361,SOURCE_ONLY_GATE_FAILED,1849,163,0.2049691379070282,False,True,False,False,,,,,False,,
NGC6394,SOURCE_ONLY_GATE_FAILED,1849,83,0.33827507495880127,False,False,False,False,,,,,False,,
NGC6478,SOURCE_ONLY_GATE_FAILED,1849,166,0.2660965025424957,False,True,False,False,,,,,False,,
NGC7738,SOURCE_ONLY_GATE_FAILED,1849,76,0.47426334023475647,True,False,False,False,,,,,False,,
NGC7819,SOURCE_ONLY_GATE_FAILED,1849,76,0.5272887945175171,True,False,False,False,,,,,False,,
UGC00809,SOURCE_ONLY_GATE_FAILED,1849,21,0.1733909696340561,False,False,False,False,,,,,False,,
UGC03253,SOURCE_ONLY_GATE_FAILED,1849,46,0.5132693648338318,True,False,False,False,,,,,False,,
UGC03539,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,False,,,,,False,,
UGC03969,SOURCE_ONLY_GATE_FAILED,1849,77,0.2106945663690567,False,False,False,False,,,,,False,,
UGC03973,SOURCE_ONLY_GATE_FAILED,1849,134,0.8093953132629395,True,True,False,False,,,,,False,"[6, 6, 6, 5, 6]","[0.8898985981941223, 10.04357681274414, 14.123649978637696, 17.566611480712893, 21.256465911865234, 25.59528350830078]"
UGC04029,SOURCE_ONLY_GATE_FAILED,1849,94,0.08848387748003006,False,False,False,False,,,,,False,,
UGC04132,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,148,0.26778241991996765,False,True,False,False,,,,,False,,
UGC04280,SOURCE_ONLY_GATE_FAILED,1849,32,0.17828448116779327,False,False,False,False,,,,,False,,
UGC04461,SOURCE_ONLY_GATE_FAILED,1849,60,0.2617904841899872,False,False,False,False,,,,,False,,
UGC05108,SOURCE_ONLY_GATE_FAILED,1849,55,0.337316632270813,False,False,False,False,,,,,False,,
UGC05111,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,108,0.07774106413125992,False,False,False,False,,,,,False,,
UGC05244,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,False,,,,,False,,
UGC05359,SOURCE_ONLY_GATE_FAILED,1849,66,0.34413647651672363,True,False,False,False,,,,,False,,
UGC05498NED01,SOURCE_ONLY_GATE_FAILED,1849,0,0.09608875960111618,False,False,False,False,,,,,False,,
UGC05598,SOURCE_ONLY_GATE_FAILED,1849,43,0.23141762614250183,False,False,False,False,,,,,False,,
UGC06312,SOURCE_ONLY_GATE_FAILED,1849,0,0.36982616782188416,True,False,False,False,,,,,False,,
UGC07012,SOURCE_ONLY_GATE_FAILED,1849,46,0.5199195742607117,True,False,False,False,,,,,False,,
UGC08107,SOURCE_ONLY_GATE_FAILED,1849,99,0.420350581407547,True,False,False,False,,,,,False,,
UGC08250,SOURCE_ONLY_GATE_FAILED,1849,0,0.15983796119689941,False,False,False,False,,,,,False,,
UGC08267,SOURCE_ONLY_GATE_FAILED,1849,65,0.20874769985675812,False,False,False,False,,,,,False,,
UGC09067,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,77,0.40348049998283386,True,False,False,False,,,,,False,,
UGC09476,SOURCE_ONLY_GATE_FAILED,1849,210,0.6158844232559204,True,True,False,False,,,,,False,"[6, 6, 6, 6, 4]","[0.11222101002931595, 14.042794990539551, 20.86215705871582, 25.608318328857422, 31.550285720825197, 46.501224517822266]"
UGC09537,SOURCE_ONLY_GATE_FAILED,1849,104,0.10267936438322067,False,False,False,False,,,,,False,,
UGC09542,SOURCE_ONLY_GATE_FAILED,1849,89,0.26443997025489807,False,False,False,False,,,,,False,,
UGC09665,SOURCE_ONLY_GATE_FAILED,1849,93,0.15547996759414673,False,False,False,False,,,,,False,,
UGC09759,SOURCE_ONLY_GATE_FAILED,1849,61,0.4839906394481659,True,False,False,False,,,,,False,,
UGC09873,SOURCE_ONLY_GATE_FAILED,1849,28,0.17646586894989014,False,False,False,False,,,,,False,,
UGC09892,SOURCE_ONLY_GATE_FAILED,1849,66,0.1651117354631424,False,False,False,False,,,,,False,,
UGC09919,SOURCE_ONLY_GATE_FAILED,1849,0,6.123234262925839e-17,False,False,False,False,,,,,False,,
UGC10043,SOURCE_ONLY_GATE_FAILED,1849,92,0.045193083584308624,False,False,False,False,,,,,False,,
UGC10123,SOURCE_ONLY_GATE_FAILED,1849,105,0.1119774580001831,False,False,False,False,,,,,False,,
UGC10205,SOURCE_ONLY_GATE_FAILED,1849,68,0.5543351769447327,True,False,False,False,,,,,False,,
UGC10331,SOURCE_ONLY_GATE_FAILED,1849,0,0.20654895901679993,False,False,False,False,,,,,False,,
UGC10380,SOURCE_ONLY_GATE_FAILED,1849,47,0.07952716946601868,False,False,False,False,,,,,False,,
UGC10384,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,72,0.16156673431396484,False,False,False,False,,,,,False,,
UGC10710,SOURCE_ONLY_GATE_FAILED,1849,79,0.2084357589483261,False,False,False,False,,,,,False,,
