scenario,radial_index,radius_lo_arcsec,radius_hi_arcsec,baseline_q_shape_proxy,q_mean,q_std,q_p025,q_p16,q_median,q_p84,q_p975,positive_probability,baseline_sign_probability,conditional_sign_stable_95,v03_systematic_equal_weight_std,measurement_to_v03_systematic_std_ratio,mean_star_clipped_fraction,mean_h2_clipped_fraction,mean_hi_clipped_fraction,n_draws
star_only,4,45,55,-0.03995552359,-0.04103984619,0.06154591348,-0.1321091756,-0.09194853442,-0.05045981451,0.005818277585,0.1473264615,0.1796875,0.8203125,False,0.02408441543,2.555424841,0.006914307057,0,0,256
star_only,5,55,65,-0.09911625705,-0.08376331729,0.08501257205,-0.2144629854,-0.1609240769,-0.09481644616,-0.00309465226,0.09162022849,0.1484375,0.8515625,False,0.02866274089,2.965961015,0.006914307057,0,0,256
star_plus_co_correlated_control,0,5,15,-0.06029140892,-0.05965000305,0.0029562584,-0.06508165094,-0.0627041716,-0.05969096976,-0.05667921361,-0.05388590649,0,1,True,0.03442097744,0.08588537048,0.006914307057,0.03162350598,0,256
star_plus_co_correlated_control,1,15,25,-0.03613661107,-0.03529850098,0.005078802948,-0.04509643312,-0.03997397732,-0.03566645468,-0.03058533733,-0.02568434139,0,1,True,0.03137915301,0.1618527736,0.006914307057,0.03162350598,0,256
star_plus_co_correlated_control,2,25,35,0.03472632034,0.03355996686,0.004925091079,0.02402967156,0.02863332397,0.03358964808,0.03871591672,0.04279726535,1,1,True,0.03218840634,0.15300823,0.006914307057,0.03162350598,0,256
star_plus_co_correlated_control,3,35,45,0.0246084571,0.02652688629,0.01201441101,0.001210088378,0.01690232103,0.02643436929,0.03888189969,0.04746750394,0.98046875,0.98046875,True,0.02379352876,0.5049444804,0.006914307057,0.03162350598,0,256
star_plus_co_correlated_control,4,45,55,-0.03995552359,-0.04129967942,0.06209199575,-0.1350405598,-0.09382943695,-0.05055318972,0.005139801666,0.149545894,0.171875,0.828125,False,0.02408441543,2.578098519,0.006914307057,0.03162350598,0,256
star_plus_co_correlated_control,5,55,65,-0.09911625705,-0.0847590958,0.08582168393,-0.2223506078,-0.1646756014,-0.09415465853,-0.005061979937,0.08901733389,0.1484375,0.8515625,False,0.02866274089,2.994189714,0.006914307057,0.03162350598,0,256
star_plus_co_independent,0,5,15,-0.06029140892,-0.05962686761,0.002708875157,-0.06412983116,-0.06235900662,-0.05975096471,-0.05703587264,-0.05380380812,0,1,True,0.03442097744,0.07869837985,0.006914307057,0.002894671315,0,256
star_plus_co_independent,1,15,25,-0.03613661107,-0.03513166446,0.004787775301,-0.04481619436,-0.03962175756,-0.03486834543,-0.03082002248,-0.02631432503,0,1,True,0.03137915301,0.1525782197,0.006914307057,0.002894671315,0,256
star_plus_co_independent,2,25,35,0.03472632034,0.03330907366,0.004394678018,0.02476111893,0.0292597567,0.03361261881,0.03746120711,0.04147080392,1,1,True,0.03218840634,0.1365298416,0.006914307057,0.002894671315,0,256
star_plus_co_independent,3,35,45,0.0246084571,0.026946804,0.0126049405,0.004609706929,0.01582952105,0.02697564853,0.03920712371,0.05107930736,0.98046875,0.98046875,True,0.02379352876,0.5297633918,0.006914307057,0.002894671315,0,256
star_plus_co_independent,4,45,55,-0.03995552359,-0.04186620839,0.061588628,-0.1354805134,-0.09171554931,-0.05158915164,0.007555572384,0.1422702269,0.1796875,0.8203125,False,0.02408441543,2.557198375,0.006914307057,0.002894671315,0,256
star_plus_co_independent,5,55,65,-0.09911625705,-0.08476030629,0.08465726732,-0.2190288564,-0.1596491648,-0.09619530898,-0.003794512056,0.09131752554,0.14453125,0.85546875,False,0.02866274089,2.953564966,0.006914307057,0.002894671315,0,256
