geometry_variant,geometry_variant_class,stellar_psf_scenario,h2_conversion_factor,radial_index,radius_lo_arcsec,radius_hi_arcsec,n_pixels_total,delta_uv,q_shape_proxy
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,5,55,65,121,0.962552237393,-0.0683988826316
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,0,5,15,17,0.793582170376,-0.061533287229
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,1,15,25,43,0.938669104831,-0.0084891553131
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,2,25,35,60,0.818634727489,0.0580425663171
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,3,35,45,76,0.933858023479,0.0194959370327
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,4,45,55,105,0.986334633764,-0.0225012661091
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1,5,55,65,121,0.962552237393,-0.0779452950773
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,0,5,15,17,0.793582170376,-0.0608033992667
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,1,15,25,43,0.938669104831,-0.00826816351334
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,2,25,35,60,0.818634727489,0.0583063512625
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,3,35,45,76,0.933858023479,0.0218744090228
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,4,45,55,105,0.986334633764,-0.0243109267935
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,5,55,65,121,0.962552237393,-0.0850201488201
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,0,5,15,17,0.793354087904,-0.0628037110429
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,1,15,25,43,0.937099407597,-0.00826640066077
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,2,25,35,60,0.818208496699,0.0582234028888
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,3,35,45,76,0.93443951605,0.016317191794
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,4,45,55,105,0.985637324371,-0.0211222355137
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,5,55,65,121,0.96194385482,-0.0681489145457
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,0,5,15,17,0.793354087904,-0.0615071236555
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,1,15,25,43,0.937099407597,-0.00875610807747
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,2,25,35,60,0.818208496699,0.0581393833369
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,3,35,45,76,0.93443951605,0.0194789120436
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,4,45,55,105,0.985637324371,-0.0242154364876
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1,5,55,65,121,0.96194385482,-0.077687815228
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,0,5,15,17,0.793354087904,-0.0607769986656
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,1,15,25,43,0.937099407597,-0.00852065243833
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,2,25,35,60,0.818208496699,0.0584015101618
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,3,35,45,76,0.93443951605,0.0218572147313
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,4,45,55,105,0.985637324371,-0.0260113780347
s4g_global_pa_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,5,55,65,121,0.96194385482,-0.0847592176165
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,0,5,15,20,0.76133460756,-0.029934932904
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,1,15,25,41,0.756155277773,-0.0370450147991
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,2,25,35,59,0.984545753727,-0.00064722300922
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,3,35,45,82,0.97250093489,-0.0113283804529
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,4,45,55,103,0.985855061038,-0.0377029909808
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,5,55,65,112,0.99901914538,-0.0494710959054
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,0,5,15,20,0.76133460756,-0.0273268856186
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,1,15,25,41,0.756155277773,-0.0359951398927
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,2,25,35,59,0.984545753727,-0.00486115817769
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,3,35,45,82,0.97250093489,-0.0126166725445
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,4,45,55,103,0.985855061038,-0.043505219766
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1,5,55,65,112,0.99901914538,-0.0582616548402
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,0,5,15,20,0.76133460756,-0.0258550250398
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,1,15,25,41,0.756155277773,-0.0366005979208
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,2,25,35,59,0.984545753727,-0.00585576329959
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,3,35,45,82,0.97250093489,-0.0133816598485
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,4,45,55,103,0.985855061038,-0.0470296220963
s4g_global_pa_plus_1sigma,photometric_control,psf_0arcsec_primary,1.3,5,55,65,112,0.99901914538,-0.0658706834329
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,0,5,15,20,0.761628463981,-0.0299038975056
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,1,15,25,41,0.75672464977,-0.0370177277757
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,2,25,35,59,0.984699234108,-0.000621490294633
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,3,35,45,82,0.97237791524,-0.0113244012136
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,4,45,55,103,0.985772942658,-0.0379861382264
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,0.7,5,55,65,112,0.999071355631,-0.0496137390892
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,0,5,15,20,0.761628463981,-0.0272954265299
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,1,15,25,41,0.75672464977,-0.0359650318042
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,2,25,35,59,0.984699234108,-0.00482899404701
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,3,35,45,82,0.97237791524,-0.0126125799162
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,4,45,55,103,0.985772942658,-0.0437972907107
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1,5,55,65,112,0.999071355631,-0.0584088149775
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,0,5,15,20,0.761628463981,-0.0258233270194
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,1,15,25,41,0.75672464977,-0.0365698633062
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,2,25,35,59,0.984699234108,-0.00582087031689
