galaxy,ra_deg,dec_deg,target_redshift,cone_radius_arcmin,foreground_candidate_count,foreground_inverse_angle_weight,background_redshift_control_count,stellar_crowding_control_count,path_disturbance_class,query_status
NGC4068,181.013605,52.590569,0.0006940541735520611,10.0,0,0.0,15,6,P0,OK
NGC4085,181.34471018458,50.35294669817,0.002484803984187378,10.0,0,0.0,21,11,P0,OK
NGC4088,181.39259587247997,50.53918444941,0.0025015238741155077,10.0,0,0.0,16,10,P0,OK
NGC4100,181.53584166666664,49.58231111111112,0.003588918509133565,10.0,0,0.0,22,10,P0,OK
NGC4138,182.37417142376998,43.68524003889,0.003187,10.0,0,0.0,16,5,P0,OK
NGC4157,182.76818749999995,50.484680555555556,0.0025516852254872102,10.0,0,0.0,27,22,P0,OK
NGC4183,183.32025,43.69826944444444,0.003093588644057288,10.0,0,0.0,22,8,P0,OK
NGC4214,183.91322499999998,36.32688888888889,0.0009811597769049385,10.0,1,1.1178239690864162,18,50,P3,OK
NGC4217,183.96208333333334,47.09178888888889,0.003441632562935615,10.0,1,0.02140928942704511,12,15,P1,OK
NGC4389,186.39624166666667,45.68466944444444,0.002391177779050624,10.0,0,0.0,21,12,P0,OK
NGC4559,188.99016786248998,27.9599609106,0.002722252692032301,10.0,0,0.0,12,13,P0,OK
NGC5005,197.7346333333333,37.05894166666666,0.003160510729745436,10.0,0,0.0,11,20,P0,OK
NGC5033,198.36472916666668,36.593650000000004,0.002763,10.0,1,0.04512515998799143,22,25,P1,OK
NGC5055,198.95530912246997,42.02936891003,0.0016692136110929567,10.0,1,0.015962824457434053,18,57,P1,OK
NGC5371,208.91641071525999,40.46177239072,0.00853000022471,10.0,0,0.0,8,37,P0,OK
NGC5585,214.95084999999997,56.72905000000001,0.0010106992084504007,10.0,0,0.0,19,31,P0,OK
NGC5907,228.9736958333333,56.32885,0.002227353059658377,10.0,0,0.0,14,87,P0,OK
NGC5985,234.90439405924002,59.33200469074,0.008441442919521647,10.0,0,0.0,20,40,P0,OK
NGC6015,237.85515690996,62.31006475510999,0.002782459939715265,10.0,0,0.0,13,7,P0,OK
NGC6503,267.36008658002993,70.14433448116,9.340230865118038e-05,10.0,0,0.0,3,3,P0,OK
NGC7793,359.45730835243995,-32.59102820854,0.000756809748325038,10.0,0,0.0,16,226,P0,OK
UGC00191,5.021669999999999,10.88,0.003823281938242662,10.0,0,0.0,10,3,P0,OK
UGC00634,15.354878,7.625991,0.00739913939195791,10.0,0,0.0,14,6,P0,OK
UGC00891,20.328750000000003,12.41194,0.002147122193679518,10.0,0,0.0,13,3,P0,OK
UGC04305,124.77077692938,70.72030191957,0.000524,10.0,0,0.0,6,26,P0,OK
UGC04483,129.2625,69.77528,0.0005204954462456612,10.0,0,0.0,1,8,P0,OK
UGC04499,129.42287083333332,51.65238333333334,0.002297,10.0,0,0.0,16,14,P0,OK
UGC05764,159.1797619096,31.547274778899993,0.0019432311040572525,10.0,0,0.0,15,12,P0,OK
UGC05829,160.678279,34.449276,0.002096981178050905,10.0,0,0.0,25,11,P0,OK
UGC05918,162.401718,65.533631,0.001131,10.0,0,0.0,9,4,P0,OK
UGC06399,170.84675022386,50.89263974548,0.002645326497899836,10.0,0,0.0,34,13,P0,OK
UGC06446,171.66860698457,53.746670149799996,0.002153807852793177,10.0,0,0.0,33,4,P0,OK
UGC06628,175.02395741416,45.94215299886,0.002835,10.0,0,0.0,19,8,P0,OK
UGC06667,175.6096208333333,51.59800555555556,0.0032542091980369836,10.0,0,0.0,21,6,P0,OK
UGC06818,177.6957403704,45.80732891991,0.0026954950819555457,10.0,0,0.0,16,5,P0,OK
UGC06917,179.119866,50.428336999999985,0.0030434000277372864,10.0,0,0.0,21,5,P0,OK
UGC06930,179.32240716595,49.28351930958,0.002628,10.0,0,0.0,14,9,P0,OK
UGC06983,179.78639166666665,52.70778611111111,0.003612352371503924,10.0,0,0.0,27,4,P0,OK
UGC07089,181.490609,43.143356,0.002578438977688835,10.0,0,0.0,24,12,P0,OK
UGC07125,182.17297499999995,36.80229722222222,0.003582223221107128,10.0,0,0.0,20,6,P0,OK
UGC07559,186.773192,37.141774,0.0007274343077980916,10.0,0,0.0,13,12,P0,OK
UGC07577,186.92041999999998,43.49556,0.0006503278846752281,10.0,0,0.0,22,8,P0,OK
UGC07608,187.183659,43.22383,0.001791,10.0,0,0.0,18,3,P0,OK
UGC07690,188.112056,42.704121,0.001788,10.0,0,0.0,25,9,P0,OK
UGC08837,208.690007,53.905573,0.00046709882392104163,10.0,0,0.0,17,8,P0,OK
UGC09992,235.44939,67.25426,0.001424,10.0,0,0.0,1,6,P0,OK
UGC10310,244.07458352836997,47.04531357629,0.002378,10.0,0,0.0,10,6,P0,OK
UGC12732,355.16608,26.236419999999995,0.0024881479397533823,10.0,0,0.0,8,12,P0,OK
