galaxy,split,formula_family,s4g_scale_ready,q_expdisk_scale_candidate,rmse_matched_family,rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond,matched_family_rank,rmse_tau_source_normalized_l2,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond,source_norm_minus_tpg_v6,source_norm_minus_mond,repair_status,projection_reason,inclusion_lane,allowed_use,matched_minus_wrong_mean
NGC3198,train,K_thick_flared,True,True,7.680393768171026,13.186518430436294,7.704000492040528,11.179050056995646,True,True,True,1,8.589538972633525,True,False,True,0.8855384805929969,-2.5895110843621207,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-5.506124662265268
NGC3521,train,K_thick_flared,True,True,7.247916089313718,16.12850318349133,7.110920589361769,6.814883835390855,True,False,False,2,7.662669930066072,True,False,False,0.5517493407043021,0.8477860946752163,NEEDS_VERTICAL_GEOMETRY_SOURCE,large_distance_error;vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.88058709417761
NGC3726,holdout,K_thick_flared,True,True,22.32780920265615,26.68986153139954,23.631876746434497,26.325344741169783,True,True,True,2,30.763713247983883,False,False,False,7.131836501549387,4.4383685068141006,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-4.362052328743388
NGC3769,train,K_thick_flared,True,True,10.512927499323023,15.81809169696382,11.2553126000523,15.980528592616563,True,True,True,2,10.123778307132865,True,True,True,-1.1315342929194347,-5.856750285483699,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-5.3051641976407975
NGC3877,train,K_thick_flared,True,True,22.08734115885114,29.054377223358,22.419419150236873,23.91875443404216,True,True,True,2,24.120790630752257,True,False,False,1.701371480515384,0.2020361967100967,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-6.9670360645068605
NGC3893,train,K_thick_flared,True,True,8.268422939237203,9.843076276171802,7.421761571780209,6.883534927974165,True,False,False,2,7.114050257620094,False,True,False,-0.3077113141601151,0.2305153296459288,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-1.574653336934599
NGC3917,train,K_exponential_disk,True,True,8.631088151285468,13.57175782726017,6.899654025227952,6.637702160319162,True,False,False,3,6.344424028275229,True,True,True,-0.5552299969527228,-0.293278132043933,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-4.940669675974702
NGC3949,holdout,K_thick_flared,True,True,8.55319084358932,22.645530043633567,8.950158230683527,11.297904622428334,True,True,True,2,14.278198381956717,True,False,False,5.328040151273189,2.980293759528383,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-14.092339200044247
NGC3953,train,K_thick_flared,True,True,10.55383538687841,13.573063796246238,10.449994650865388,10.343662263567392,True,False,False,2,12.95910383637102,False,False,False,2.5091091855056327,2.615441572803629,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-3.0192284093678285
NGC3972,holdout,K_thick_flared,True,True,8.593962113335323,19.977775866378973,7.806428086864266,6.774747860896815,True,False,False,2,6.2340971172068835,True,True,True,-1.5723309696573828,-0.5406507436899313,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-11.38381375304365
NGC3992,train,K_thick_flared,True,True,23.63875115028724,22.094294615044948,21.62991458359259,18.53931925672739,False,False,False,3,17.761796679129066,True,True,True,-3.868117904463524,-0.7775225775983223,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,1.5444565352422934
NGC4010,train,K_exponential_disk,True,True,9.44159669812727,22.95697576374381,10.799199499954586,11.798351296716527,True,True,True,1,9.932460406363989,True,True,True,-0.8667390935905974,-1.8658908903525404,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-13.51537906561654
NGC4013,holdout,K_compact_finite,True,True,16.99356852880305,11.668540793425578,12.273912532057183,14.334222058319126,False,False,False,4,14.81874150518288,False,False,False,2.5448289731256963,0.4845194468637537,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,5.325027735377471
NGC4051,train,K_thick_flared,True,True,22.321198124489968,30.767138064171817,23.162699244292835,25.364933901873997,True,True,True,2,28.466324311962765,True,False,False,5.30362506766993,3.1013904100887686,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-8.44593993968185
NGC4068,train,K_scale_tail_spiral,True,True,14.042724437389454,67.42956671973123,9.789559083112076,11.389697947293712,True,False,False,3,8.573124294138381,True,True,True,-1.2164347889736948,-2.8165736531553307,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-53.386842282341775
NGC4085,train,K_thick_flared,True,True,20.992615149075316,38.08639234794842,21.45520895763762,23.247876990413115,True,True,True,2,23.741881611012484,True,False,False,2.2866726533748647,0.4940046205993695,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-17.093777198873102
NGC4088,holdout,K_thick_flared,True,True,37.811387707787695,42.53175206180385,38.98773649865968,42.18384581680386,True,True,True,2,46.85966664941952,False,False,False,7.871930150759837,4.675820832615656,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-4.720364354016155
NGC4100,train,K_thick_flared,True,True,11.777571748634417,12.316135202300249,10.799906207475212,9.873831807311648,True,False,False,2,9.799859959410952,False,True,True,-1.00004624806426,-0.0739718479006956,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-0.5385634536658319
NGC4138,train,K_compact_finite,True,True,19.73416456468443,9.763873637930764,9.51519890085038,10.185247994852606,False,False,False,4,12.918201669881585,False,False,False,3.403002769031202,2.732953675028977,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,9.970290926753666
NGC4157,train,K_thick_flared,True,True,18.880739807305662,22.153823927512928,20.2163892812284,23.480615178680974,True,True,True,2,25.532379733063955,False,False,False,5.315990451835553,2.0517645543829808,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-3.2730841202072654
NGC4183,holdout,K_exponential_disk,True,True,6.224581287933666,13.760210864515452,6.489693491114096,10.354993594406714,True,True,True,2,7.558387908968416,True,False,True,1.0686944178543198,-2.7966056854382986,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-7.535629576581786
NGC4214,holdout,K_scale_tail_spiral,True,True,15.405984093871057,39.05954643661913,17.991047303306434,15.27888150484993,True,True,False,1,17.044465945022218,True,True,False,-0.9465813582842166,1.7655844401722884,NEEDS_INCLINATION_PROJECTION_REVIEW,low_inclination,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-23.653562342748074
NGC4217,train,K_compact_finite,True,True,55.742715665520755,51.93585552015994,52.35219166022327,55.35556407681141,False,False,False,4,57.96890166557413,False,False,False,5.6167100053508605,2.613337588762718,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,3.8068601453608153
NGC4389,holdout,K_thick_flared,True,True,45.987913835499185,67.05818976545275,46.55692853885728,48.50110279830857,True,True,True,2,42.89236494586057,True,True,True,-3.664563592996707,-5.608737852448002,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-21.070275929953567
NGC4559,train,K_exponential_disk,True,True,11.77662416508168,21.660621605894303,15.385306161864646,18.985298676354127,True,True,True,1,19.459496772054983,True,False,False,4.074190610190337,0.4741980957008564,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-9.883997440812623
NGC5005,train,K_compact_finite,True,True,21.343997411839407,12.450697289878413,12.48174663132076,13.97796581666026,False,False,False,4,12.889270640147767,True,False,True,0.4075240088270089,-1.088695176512493,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,8.893300121960994
NGC5033,train,K_compact_finite,True,True,13.873279524642212,16.274136032718875,15.138788047327507,15.295974840608451,True,True,True,1,14.258779297036629,True,True,True,-0.880008750290882,-1.0371955435718263,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-2.4008565080766626
NGC5055,train,K_thick_flared,True,True,22.108380900027967,24.581270741334595,23.304882018533657,29.486670612228213,True,True,True,2,35.739545327270385,False,False,False,12.434663308736727,6.2528747150421715,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-2.4728898413066283
NGC5371,train,K_thick_flared,True,True,40.21600953254555,42.48484612892555,41.66572118681593,44.87169677347413,True,True,True,2,50.67300302653316,False,False,False,9.00728183971723,5.801306253059032,NEEDS_VERTICAL_GEOMETRY_SOURCE,large_distance_error;vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-2.268836596379998
NGC5585,train,K_exponential_disk,True,True,7.261200623297494,27.27650447257778,7.910184029247681,8.365260361585127,True,True,True,1,8.709508700759846,True,False,False,0.7993246715121654,0.3442483391747188,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-20.015303849280286
NGC5907,holdout,K_thick_flared,True,True,16.383392586061934,17.603432862968834,16.785509985459306,18.59536481497724,True,True,True,1,18.12563150413482,False,False,True,1.340121518675513,-0.4697333108424217,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-1.2200402769069
NGC5985,holdout,K_compact_finite,True,True,66.20241092491683,73.62210136086749,72.28739039126062,69.40357999391347,True,True,True,1,66.26970189398078,True,True,True,-6.017688497279835,-3.133878099932687,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-7.419690435950656
NGC6015,train,K_exponential_disk,True,True,15.74229513884599,13.978281082308056,13.450865436024902,10.82252972156713,False,False,False,4,12.170669800782326,True,True,False,-1.2801956352425758,1.3481400792151952,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,1.764014056537933
NGC6503,train,K_exponential_disk,True,True,12.32563825173506,10.887281107338143,7.537023161651215,4.239120184630891,False,False,False,3,5.642089302695609,False,True,False,-1.8949338589556053,1.4029691180647186,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,1.4383571443969156
NGC7793,train,K_exponential_disk,True,True,5.760806077336799,34.734869094752156,5.722342289485416,6.0568332273601175,True,False,True,2,7.098143247560454,True,False,False,1.375800958075038,1.0413100202003367,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,-28.974063017415357
UGC00191,train,K_scale_tail_spiral,True,True,5.7232425165237695,47.902662765195,7.100447637659804,7.303541150664803,True,True,True,1,8.27784498258083,False,False,False,1.177397344921025,0.9743038319160268,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-42.17942024867123
UGC00634,train,K_scale_tail_spiral,True,True,6.473523239737815,14.698694218593266,8.17927394861286,2.390542422509193,True,True,False,1,9.031070992958256,True,False,False,0.8517970443453962,6.640528570449063,NEEDS_INCLINATION_PROJECTION_REVIEW,large_distance_error;low_inclination;low_manifest_confidence,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.225170978855452
UGC00891,holdout,K_scale_tail_spiral,True,True,7.225333270873022,30.708551410992673,5.958365558298525,7.682081654505746,True,False,True,3,5.800341847564401,True,True,True,-0.158023710734124,-1.8817398069413445,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-23.48321814011965
UGC04305,holdout,K_scale_tail_spiral,True,True,26.808062784312273,54.97638920038208,23.999621706482884,26.588364190715332,True,False,False,3,24.4571786712252,True,False,True,0.4575569647423165,-2.1311855194901312,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-28.168326416069807
UGC04483,train,K_scale_tail_spiral,True,True,10.054495276935254,93.21784442133296,3.798705980303068,5.284251656234046,True,False,False,3,3.1823713837494165,True,True,True,-0.6163345965536515,-2.1018802724846295,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-83.1633491443977
UGC04499,holdout,K_scale_tail_spiral,True,True,8.071013668884772,26.68581754275577,6.040634191372928,8.985021588452573,True,False,True,3,5.155001881811114,True,True,True,-0.8856323095618137,-3.830019706641459,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-18.614803873870997
UGC05764,train,K_scale_tail_spiral,True,True,6.982946574188482,51.259193880630136,10.69204900722308,8.472754908677588,True,True,True,1,11.860516521606366,False,False,False,1.168467514383286,3.3877616129287773,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-44.276247306441654
UGC05829,holdout,K_scale_tail_spiral,True,True,7.720215953585758,33.67899383994406,6.222677845510406,8.606905396927852,True,False,True,3,6.227226938214504,False,False,True,0.0045490927040985,-2.3796784587133475,NEEDS_INCLINATION_PROJECTION_REVIEW,large_distance_error;low_inclination,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-25.958777886358305
UGC05918,train,K_scale_tail_spiral,True,True,3.820573804610818,44.42210980539513,3.852091274673392,4.343347077626917,True,True,True,1,4.491921906583633,True,False,False,0.6398306319102405,0.1485748289567157,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-40.601536000784314
UGC06399,train,K_scale_tail_spiral,True,True,4.496852360136039,26.811459274367895,6.570667508689696,4.007206920083819,True,True,False,1,7.952489537630323,False,False,False,1.3818220289406271,3.945282617546504,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-22.314606914231856
UGC06446,train,K_scale_tail_spiral,True,True,9.608036252006082,26.3334798535363,11.600558614682592,9.277034813965724,True,True,False,1,12.550265898865495,True,False,False,0.9497072841829048,3.2732310848997734,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-16.725443601530216
UGC06628,train,K_scale_tail_spiral,True,True,32.76752603659018,51.59834501008165,30.52936844963153,33.51825732954061,True,False,True,3,29.663832242561337,True,True,True,-0.8655362070701926,-3.8544250869792727,NEEDS_INCLINATION_PROJECTION_REVIEW,large_distance_error;low_inclination;low_manifest_confidence,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-18.830818973491468
UGC06667,train,K_scale_tail_spiral,True,True,18.254026493374933,35.9316027991122,21.777818607382592,16.71485279097738,True,True,False,1,22.656664188276945,True,False,False,0.8788455808943532,5.941811397299567,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-17.677576305737265
UGC06818,holdout,K_scale_tail_spiral,True,True,13.901550076257111,35.32162467560686,12.386120759877572,13.66362183441789,True,False,False,3,11.71582777531337,True,True,True,-0.6702929845642025,-1.9477940591045204,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-21.420074599349753
UGC06917,holdout,K_scale_tail_spiral,True,True,4.9226251653474105,19.600525137391724,6.430936477869006,4.61507933369384,True,True,False,1,7.395836693036465,False,False,False,0.964900215167459,2.7807573593426245,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,-14.677899972044314
UGC06930,train,K_exponential_disk,True,True,6.7704197733511,15.319710280159526,7.129942401878801,10.61535991106732,True,True,True,2,6.872796055537011,False,True,True,-0.2571463463417904,-3.7425638555303102,NEEDS_INCLINATION_PROJECTION_REVIEW,low_inclination,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.549290506808426
UGC06983,holdout,K_scale_tail_spiral,True,True,9.70055392147702,17.79810167119724,11.036839059186455,9.148970751386091,True,True,False,1,12.05583373951825,True,False,False,1.0189946803317955,2.9068629881321595,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.09754774972022
UGC07089,train,K_exponential_disk,True,True,8.347194825643959,29.909915872873057,11.854626156035648,15.11002549298317,True,True,True,1,12.4475641290059,True,False,True,0.5929379729702529,-2.6624613639772683,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-21.562721047229097
UGC07125,train,K_scale_tail_spiral,True,True,25.49714427081561,30.944057449885737,23.50738158433897,30.74421689899473,True,False,True,3,23.056094445831963,False,True,True,-0.4512871385070056,-7.688122453162762,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-5.446913179070126
UGC07559,train,K_scale_tail_spiral,True,True,12.843255511283772,65.31979461327889,8.085663881075234,10.48876346756678,True,False,False,3,7.211280459836526,True,True,True,-0.8743834212387087,-3.277483007730253,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-52.476539101995115
UGC07577,holdout,K_scale_tail_spiral,True,True,17.124297895456632,86.65882470152344,10.601721967205515,13.125766123408509,True,False,False,3,9.985146362222364,True,True,True,-0.6165756049831526,-3.140619761186146,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,-69.53452680606681
UGC07608,train,K_scale_tail_spiral,True,True,7.4459557613823,43.0062526897704,11.086952972273936,7.643350201540864,True,True,True,1,11.786042668864171,False,False,False,0.6990896965902351,4.142692467323307,NEEDS_INCLINATION_PROJECTION_REVIEW,large_distance_error;low_inclination,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-35.5602969283881
UGC07690,train,K_scale_tail_spiral,True,True,6.725261998780935,41.52227662248696,4.60175903715822,6.229715228813062,True,False,False,3,3.896978107726095,True,True,True,-0.704780929432125,-2.3327371210869674,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-34.797014623706026
UGC08837,train,K_scale_tail_spiral,True,True,15.524572119525873,50.51465170334075,11.823039060545453,14.631810600470736,True,False,False,3,10.350894681275118,True,True,True,-1.4721443792703344,-4.280915919195618,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-34.99007958381488
UGC09992,train,K_scale_tail_spiral,True,True,15.979683756952904,53.45150288271761,12.419100947372682,15.349374013313271,True,False,False,3,11.468541277699986,True,True,True,-0.950559669672696,-3.880832735613287,NEEDS_INCLINATION_PROJECTION_REVIEW,large_distance_error;low_inclination;low_manifest_confidence,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-37.47181912576471
