galaxy,split,source_disturbance_class,source_disturbance_basis,theta1,main_disturber,asymmetry_3p6,observation_disturbance_class,observation_disturbance_basis,inclination_deg,missing_source_fields,endpoint_blind,dark_discrepancy_used,foreground_candidate_count,foreground_inverse_angle_weight,background_redshift_control_count,stellar_crowding_control_count,path_disturbance_class,query_status,path_disturbance_basis,combined_class
IC2574,train,S1,0<Theta1<=1,1.0,,0.4900000095367431,O0,inclination=75;missing_fields=1,75.0,1,True,False,0,0.0,0,23,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC2903,train,S2,1<Theta1<=2,1.7000000476837158,,0.5600000023841858,O0,inclination=66;missing_fields=0,66.0,0,True,False,0,0.0,10,79,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
NGC2976,holdout,S3,Theta1>2,2.9000000953674316,,0.8500000238418579,O0,inclination=61;missing_fields=1,61.0,1,True,False,0,0.0,1,5,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC3198,train,S3,A3.6>=0.6 proxy,,,0.8399999737739563,O0,inclination=73;missing_fields=1,73.0,1,True,False,0,0.0,18,162,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC3521,train,S3,Theta1>2,2.200000047683716,,0.9300000071525574,O0,inclination=75;missing_fields=1,75.0,1,True,False,2,0.2541273156516371,35,84,P2,OK,SIMBAD 10arcmin cone; foreground_n=2; inverse_angle_weight=0.254127,S3-P2-O0
NGC3726,holdout,S3,A3.6>=0.6 proxy,,,0.9900000095367432,O0,inclination=53;missing_fields=1,53.0,1,True,False,1,0.6636040825370075,21,8,P2,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=0.663604,S3-P2-O0
NGC3769,train,S3,A3.6>=0.6 proxy,,,0.800000011920929,O0,inclination=70;missing_fields=0,70.0,0,True,False,0,0.0,14,7,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC3877,train,S3,A3.6>=0.6 proxy,,,0.8399999737739563,O1,inclination=76;missing_fields=1,76.0,1,True,False,0,0.0,24,10,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O1
NGC3893,train,S3,A3.6>=0.6 proxy,,,0.7099999785423279,O0,inclination=49;missing_fields=1,49.0,1,True,False,0,0.0,15,14,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC3917,train,S1,0.2<=A3.6<0.4 proxy,,,0.2000000029802322,O1,inclination=79;missing_fields=1,79.0,1,True,False,0,0.0,22,5,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O1
NGC3949,train,S1,0.2<=A3.6<0.4 proxy,,,0.209999993443489,O0,inclination=55;missing_fields=1,55.0,1,True,False,0,0.0,17,10,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC3953,train,S3,A3.6>=0.6 proxy,,,0.7799999713897705,O0,inclination=62;missing_fields=0,62.0,0,True,False,0,0.0,16,18,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC3972,train,S2,0.4<=A3.6<0.6 proxy,,,0.4399999976158142,O1,inclination=77;missing_fields=1,77.0,1,True,False,0,0.0,22,116,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O1
NGC3992,train,S2,0.4<=A3.6<0.6 proxy,,,0.4300000071525574,O0,inclination=56;missing_fields=0,56.0,0,True,False,0,0.0,15,16,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
NGC4010,train,S3,A3.6>=0.6 proxy,,,0.7599999904632568,O3,inclination=89;missing_fields=1,89.0,1,True,False,0,0.0,21,13,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O3
NGC4013,train,S3,A3.6>=0.6 proxy,,,0.800000011920929,O3,inclination=89;missing_fields=1,89.0,1,True,False,0,0.0,27,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O3
NGC4051,holdout,S1,0.2<=A3.6<0.4 proxy,,,0.3199999928474426,O2,inclination=49;missing_fields=4,49.0,4,True,False,0,0.0,19,9,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O2
NGC4068,holdout,S0,Theta1<=0,-0.5,,0.3000000119209289,O0,inclination=44;missing_fields=1,44.0,1,True,False,0,0.0,15,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC4085,holdout,S0,A3.6<0.2 proxy,,,0.1800000071525573,O2,inclination=82;missing_fields=1,82.0,1,True,False,0,0.0,21,11,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O2
NGC4088,train,S1,0.2<=A3.6<0.4 proxy,,,0.3000000119209289,O0,inclination=69;missing_fields=1,69.0,1,True,False,0,0.0,16,10,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC4100,train,S3,A3.6>=0.6 proxy,,,0.6000000238418579,O0,inclination=73;missing_fields=1,73.0,1,True,False,0,0.0,22,10,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC4138,train,S1,0.2<=A3.6<0.4 proxy,,,0.3300000131130218,O0,inclination=53;missing_fields=1,53.0,1,True,False,0,0.0,16,5,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC4157,train,S3,A3.6>=0.6 proxy,,,1.0,O2,inclination=82;missing_fields=1,82.0,1,True,False,0,0.0,27,22,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O2
NGC4183,train,S3,A3.6>=0.6 proxy,,,0.8299999833106995,O2,inclination=82;missing_fields=1,82.0,1,True,False,0,0.0,22,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O2
NGC4214,train,S2,1<Theta1<=2,1.2000000476837158,,0.9900000095367432,O3,inclination=15;missing_fields=0,15.0,0,True,False,1,1.1178239690864162,18,50,P3,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=1.117824,S2-P3-O3
NGC4217,train,S1,0.2<=A3.6<0.4 proxy,,,0.3600000143051147,O3,inclination=86;missing_fields=1,86.0,1,True,False,1,0.0214092894270451,12,15,P1,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=0.021409,S1-P1-O3
NGC4389,train,S0,A3.6<0.2 proxy,,,0.1899999976158142,O0,inclination=50;missing_fields=0,50.0,0,True,False,0,0.0,21,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC4559,train,S0,Theta1<=0,-0.4000000059604645,,0.9700000286102296,O0,inclination=67;missing_fields=0,67.0,0,True,False,0,0.0,12,13,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC5005,holdout,S1,0.2<=A3.6<0.4 proxy,,,0.2199999988079071,O0,inclination=68;missing_fields=0,68.0,0,True,False,0,0.0,11,20,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC5033,train,S3,A3.6>=0.6 proxy,,,0.9300000071525574,O0,inclination=66;missing_fields=1,66.0,1,True,False,1,0.0451251599879914,22,25,P1,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=0.045125,S3-P1-O0
NGC5055,train,S0,Theta1<=0,-0.1000000014901161,,0.5600000023841858,O0,inclination=55;missing_fields=1,55.0,1,True,False,1,0.015962824457434,18,57,P1,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=0.015963,S0-P1-O0
NGC5371,train,S3,A3.6>=0.6 proxy,,,0.8700000047683716,O0,inclination=53;missing_fields=1,53.0,1,True,False,0,0.0,8,37,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC5585,train,S0,Theta1<=0,-0.800000011920929,,1.0,O0,inclination=51;missing_fields=1,51.0,1,True,False,0,0.0,19,31,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC5907,holdout,S3,A3.6>=0.6 proxy,,,1.0,O3,inclination=88;missing_fields=2,88.0,2,True,False,0,0.0,14,87,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O3
NGC5985,holdout,S3,A3.6>=0.6 proxy,,,0.9800000190734864,O0,inclination=60;missing_fields=1,60.0,1,True,False,0,0.0,20,40,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC6015,train,S3,A3.6>=0.6 proxy,,,0.9800000190734864,O0,inclination=60;missing_fields=1,60.0,1,True,False,0,0.0,13,7,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
NGC6503,holdout,S0,Theta1<=0,-1.100000023841858,,0.9900000095367432,O0,inclination=74;missing_fields=1,74.0,1,True,False,0,0.0,3,3,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC7793,holdout,S1,0<Theta1<=1,0.2000000029802322,,0.8100000023841858,O0,inclination=47;missing_fields=1,47.0,1,True,False,0,0.0,16,226,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC00191,train,S0,A3.6<0.2 proxy,,,0.1800000071525573,O0,inclination=45;missing_fields=0,45.0,0,True,False,0,0.0,10,3,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC00634,holdout,S0,A3.6<0.2 proxy,,,0.1099999994039535,O0,inclination=37;missing_fields=1,37.0,1,True,False,0,0.0,14,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC00891,holdout,S2,0.4<=A3.6<0.6 proxy,,,0.4099999964237213,O0,inclination=60;missing_fields=1,60.0,1,True,False,0,0.0,13,3,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
UGC04305,train,S2,0.4<=A3.6<0.6 proxy,,,0.4900000095367431,O0,inclination=40;missing_fields=1,40.0,1,True,False,0,0.0,6,26,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
UGC04483,train,S1,0<Theta1<=1,0.6000000238418579,,0.699999988079071,O0,inclination=58;missing_fields=1,58.0,1,True,False,0,0.0,1,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC04499,train,S1,0.2<=A3.6<0.4 proxy,,,0.2300000041723251,O0,inclination=50;missing_fields=1,50.0,1,True,False,0,0.0,16,14,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC05764,train,S0,A3.6<0.2 proxy,,,0.1400000005960464,O0,inclination=60;missing_fields=1,60.0,1,True,False,0,0.0,15,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC05829,train,S3,A3.6>=0.6 proxy,,,0.6800000071525574,O0,inclination=34;missing_fields=1,34.0,1,True,False,0,0.0,25,11,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
UGC05918,train,S2,0.4<=A3.6<0.6 proxy,,,0.4799999892711639,O0,inclination=46;missing_fields=1,46.0,1,True,False,0,0.0,9,4,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
UGC06399,train,S1,0.2<=A3.6<0.4 proxy,,,0.3700000047683716,O0,inclination=75;missing_fields=1,75.0,1,True,False,0,0.0,34,13,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC06446,train,S1,0.2<=A3.6<0.4 proxy,,,0.3899999856948852,O0,inclination=51;missing_fields=1,51.0,1,True,False,0,0.0,33,4,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC06628,train,S1,0.2<=A3.6<0.4 proxy,,,0.25,O2,inclination=20;missing_fields=0,20.0,0,True,False,0,0.0,19,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O2
UGC06667,train,S1,0.2<=A3.6<0.4 proxy,,,0.2300000041723251,O3,inclination=89;missing_fields=1,89.0,1,True,False,0,0.0,21,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O3
UGC06818,train,S1,0.2<=A3.6<0.4 proxy,,,0.2599999904632568,O0,inclination=75;missing_fields=1,75.0,1,True,False,0,0.0,16,5,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC06917,holdout,S2,0.4<=A3.6<0.6 proxy,,,0.5199999809265137,O0,inclination=56;missing_fields=0,56.0,0,True,False,0,0.0,21,5,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
UGC06930,holdout,S0,A3.6<0.2 proxy,,,0.1800000071525573,O0,inclination=32;missing_fields=0,32.0,0,True,False,0,0.0,14,9,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC06983,train,S1,0.2<=A3.6<0.4 proxy,,,0.2300000041723251,O0,inclination=49;missing_fields=0,49.0,0,True,False,0,0.0,27,4,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
UGC07089,train,S1,0.2<=A3.6<0.4 proxy,,,0.2800000011920929,O1,inclination=80;missing_fields=1,80.0,1,True,False,0,0.0,24,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O1
UGC07125,train,S0,A3.6<0.2 proxy,,,0.1899999976158142,O3,inclination=90;missing_fields=1,90.0,1,True,False,0,0.0,20,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O3
UGC07559,holdout,S3,A3.6>=0.6 proxy,,,0.8899999856948853,O0,inclination=61;missing_fields=1,61.0,1,True,False,0,0.0,13,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
UGC07577,train,S2,0.4<=A3.6<0.6 proxy,,,0.5099999904632568,O0,inclination=63;missing_fields=1,63.0,1,True,False,0,0.0,22,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
UGC07608,holdout,S2,0.4<=A3.6<0.6 proxy,,,0.4699999988079071,O2,inclination=25;missing_fields=1,25.0,1,True,False,0,0.0,18,3,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O2
UGC07690,train,S0,Theta1<=0,-0.5,,0.25,O0,inclination=41;missing_fields=1,41.0,1,True,False,0,0.0,25,9,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC08837,train,S3,A3.6>=0.6 proxy,,,0.6899999976158142,O1,inclination=80;missing_fields=1,80.0,1,True,False,0,0.0,17,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O1
UGC09992,train,S0,Theta1<=0,-1.2000000476837158,,0.4799999892711639,O0,inclination=30;missing_fields=1,30.0,1,True,False,0,0.0,1,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
UGC10310,holdout,S3,A3.6>=0.6 proxy,,,0.8299999833106995,O0,inclination=34;missing_fields=1,34.0,1,True,False,0,0.0,10,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O0
UGC12732,train,S2,0.4<=A3.6<0.6 proxy,,,0.4099999964237213,O0,inclination=39;missing_fields=0,39.0,0,True,False,0,0.0,8,12,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
