galaxy,budget_factor,source_budget,capacity_bits_per_profile_use,active_modes,sampled_modes,water_level,max_whitened_gain,min_whitened_gain
DDO_53,2.0,0.38499790133738165,0.4504105466170233,3,12,0.7291966224049162,1.4691661931848543,0.6028638120080374
DDO_70,0.5,0.09301812133412446,0.1888718636088931,2,23,0.3827402798555565,1.7713200135655145,0.7005551251283313
DDO_70,1.0,0.18603624266824892,0.3566410730298384,4,23,0.41508978603957103,1.7713200135655145,0.7005551251283313
DDO_70,2.0,0.37207248533649784,0.6633188139569277,5,23,0.45893788631406585,1.7713200135655145,0.7005551251283313
DDO_87,0.5,0.08972403411724061,0.5454824754880752,3,33,0.14487149004980088,3.446191921451124,0.16087494594883073
DDO_87,1.0,0.17944806823448123,0.9608382872263107,5,33,0.1663143367695042,3.446191921451124,0.16087494594883073
DDO_87,2.0,0.35889613646896246,1.6708485771661992,7,33,0.19767020222896547,3.446191921451124,0.16087494594883073
F564-V3,0.5,0.09148351559365964,0.03057334978260119,1,10,2.204526649994561,0.6879324863820018,0.08356237398067268
F564-V3,1.0,0.18296703118731927,0.059903405836718486,1,10,2.2960101655882204,0.6879324863820018,0.08356237398067268
F564-V3,2.0,0.36593406237463855,0.11616818837798311,2,10,2.391893767862036,0.6879324863820018,0.08356237398067268
HARO_36,0.5,0.09306990643567926,0.044069093181402945,1,9,1.5704289367056363,0.822729319433257,0.20231316484197512
HARO_36,1.0,0.18613981287135853,0.08560019401821094,1,9,1.6634988431413156,0.822729319433257,0.20231316484197512
HARO_36,2.0,0.37227962574271706,0.16211148979601472,1,9,1.849638656012674,0.822729319433257,0.20231316484197512
NGC_1569,0.5,0.09673548870514108,0.07635770459346357,1,22,0.963076362517584,1.0743742666513263,0.5158973001334433
NGC_1569,1.0,0.19347097741028216,0.14709199955479113,3,22,1.0066496333808321,1.0743742666513263,0.5158973001334433
NGC_1569,2.0,0.3869419548205643,0.2817509849921368,4,22,1.0626249935672556,1.0743742666513263,0.5158973001334433
NGC_3738,0.5,0.09562731692821269,0.1349146886829867,1,11,0.5605932094998414,1.4665249354946595,0.6239131533385356
NGC_3738,1.0,0.19125463385642538,0.2485279150385201,1,11,0.6562205264280541,1.4665249354946595,0.6239131533385356
NGC_3738,2.0,0.38250926771285076,0.43493249018045244,2,11,0.8060331212066156,1.4665249354946595,0.6239131533385356
UGC_8508,0.5,0.09256288720133021,0.13233581597781088,1,24,0.5522455525288135,1.4749283948841179,0.11301650084828835
UGC_8508,1.0,0.18512577440266043,0.2486161733119716,3,24,0.5921792783314683,1.4749283948841179,0.11301650084828835
UGC_8508,2.0,0.37025154880532085,0.46335270850519666,4,24,0.649253518412279,1.4749283948841179,0.11301650084828835
