radius_inner_kpc,radius_outer_kpc,radius_kpc,hi_plus_helium_mass_msun,cumulative_hi_plus_helium_mass_msun,surface_density_msun_kpc2,n_signal_pixels
28.0,29.0,28.5,0.0,862043913.9493848,0.0,0
29.0,30.0,29.5,0.0,862043913.9493848,0.0,0
30.0,31.0,30.5,0.0,862043913.9493848,0.0,0
31.0,32.0,31.5,0.0,862043913.9493848,0.0,0
32.0,33.0,32.5,0.0,862043913.9493848,0.0,0
33.0,34.0,33.5,0.0,862043913.9493848,0.0,0
34.0,35.0,34.5,0.0,862043913.9493848,0.0,0
35.0,36.0,35.5,0.0,862043913.9493848,0.0,0
36.0,37.0,36.5,0.0,862043913.9493848,0.0,0
37.0,38.0,37.5,183130.31243322114,862227044.261818,777.2291854322754,2
38.0,39.0,38.5,548038.0659448161,862775082.3277628,2265.531615523106,5
39.0,40.0,39.5,322858.29983634327,863097940.6275992,1300.8732743594758,3
40.0,41.0,40.5,0.0,863097940.6275992,0.0,0
41.0,42.0,41.5,0.0,863097940.6275992,0.0,0
42.0,43.0,42.5,0.0,863097940.6275992,0.0,0
43.0,44.0,43.5,0.0,863097940.6275992,0.0,0
44.0,45.0,44.5,0.0,863097940.6275992,0.0,0
45.0,46.0,45.5,0.0,863097940.6275992,0.0,0
46.0,47.0,46.5,0.0,863097940.6275992,0.0,0
47.0,48.0,47.5,0.0,863097940.6275992,0.0,0
48.0,49.0,48.5,0.0,863097940.6275992,0.0,0
49.0,50.0,49.5,0.0,863097940.6275992,0.0,0
50.0,51.0,50.5,0.0,863097940.6275992,0.0,0
51.0,52.0,51.5,0.0,863097940.6275992,0.0,0
52.0,53.0,52.5,0.0,863097940.6275992,0.0,0
53.0,54.0,53.5,0.0,863097940.6275992,0.0,0
54.0,55.0,54.5,0.0,863097940.6275992,0.0,0
55.0,56.0,55.5,0.0,863097940.6275992,0.0,0
56.0,57.0,56.5,0.0,863097940.6275992,0.0,0
57.0,58.0,57.5,0.0,863097940.6275992,0.0,0
58.0,59.0,58.5,0.0,863097940.6275992,0.0,0
59.0,60.0,59.5,271535.0352144025,863369475.6628137,726.3217323866223,2
60.0,61.0,60.5,315362.83483919414,863684838.4976529,829.6124633410038,3
61.0,62.0,61.5,334340.94428272516,864019179.4419357,865.2359993594744,3
62.0,63.0,62.5,245800.87170411588,864264980.3136398,625.9267799681094,4
63.0,64.0,63.5,348640.7130429351,864613621.0266827,873.8250841553725,3
64.0,65.0,64.5,311535.28669040016,864925156.3133731,768.71908254772,3
65.0,66.0,65.5,341889.51527678175,865267045.8286499,830.7390282075096,3
66.0,67.0,66.5,74152.89040756036,865341198.7190574,177.47066244984694,2
67.0,68.0,67.5,0.0,865341198.7190574,0.0,0
68.0,69.0,68.5,0.0,865341198.7190574,0.0,0
69.0,70.0,69.5,0.0,865341198.7190574,0.0,0
70.0,71.0,70.5,0.0,865341198.7190574,0.0,0
71.0,72.0,71.5,0.0,865341198.7190574,0.0,0
72.0,73.0,72.5,0.0,865341198.7190574,0.0,0
73.0,74.0,73.5,0.0,865341198.7190574,0.0,0
74.0,75.0,74.5,0.0,865341198.7190574,0.0,0
75.0,76.0,75.5,114341.75433275168,865455540.4733902,241.03384640869632,2
76.0,77.0,76.5,0.0,865455540.4733902,0.0,0
77.0,78.0,77.5,264938.4557932276,865720478.9291835,544.0808368338809,4
78.0,79.0,78.5,699910.4079150793,866420389.3370986,1419.0344094413974,7
79.0,80.0,79.5,881392.8678955862,867301782.2049942,1764.5035437927604,9
80.0,81.0,80.5,462745.76188504597,867764527.9668792,914.885408681121,4
81.0,82.0,81.5,169202.44230622184,867933730.4091855,330.42214817492567,2
82.0,83.0,82.5,0.0,867933730.4091855,0.0,0
83.0,84.0,83.5,0.0,867933730.4091855,0.0,0
84.0,85.0,84.5,16131.534016373711,867949861.9432019,30.38359027646073,1
85.0,86.0,85.5,0.0,867949861.9432019,0.0,0
86.0,87.0,86.5,0.0,867949861.9432019,0.0,0
87.0,88.0,87.5,0.0,867949861.9432019,0.0,0
88.0,89.0,88.5,0.0,867949861.9432019,0.0,0
89.0,90.0,89.5,188446.3950440067,868138308.3382459,335.1081036771141,2
90.0,91.0,90.5,513909.395206548,868652217.7334524,903.7703928009779,5
91.0,92.0,91.5,562970.8769867467,869215188.6104392,979.2305780242632,7
92.0,93.0,92.5,262575.31725827255,869477763.9276974,451.785510006235,3
93.0,94.0,93.5,521699.8413015639,869999463.768999,888.033246560441,4
94.0,95.0,94.5,336815.30776695546,870336279.0767659,567.2573665622117,2
95.0,96.0,95.5,338463.16021966963,870674742.2369856,564.0637173137652,2
96.0,97.0,96.5,229215.03859915287,870903957.2755847,378.0384085394277,4
97.0,98.0,97.5,0.0,870903957.2755847,0.0,0
98.0,99.0,98.5,0.0,870903957.2755847,0.0,0
99.0,100.0,99.5,0.0,870903957.2755847,0.0,0
100.0,101.0,100.5,0.0,870903957.2755847,0.0,0
101.0,102.0,101.5,0.0,870903957.2755847,0.0,0
102.0,103.0,102.5,0.0,870903957.2755847,0.0,0
103.0,104.0,103.5,0.0,870903957.2755847,0.0,0
104.0,105.0,104.5,0.0,870903957.2755847,0.0,0
105.0,106.0,105.5,0.0,870903957.2755847,0.0,0
106.0,107.0,106.5,0.0,870903957.2755847,0.0,0
107.0,108.0,107.5,0.0,870903957.2755847,0.0,0
108.0,109.0,108.5,0.0,870903957.2755847,0.0,0
109.0,110.0,109.5,0.0,870903957.2755847,0.0,0
110.0,111.0,110.5,0.0,870903957.2755847,0.0,0
111.0,112.0,111.5,0.0,870903957.2755847,0.0,0
112.0,113.0,112.5,0.0,870903957.2755847,0.0,0
113.0,114.0,113.5,0.0,870903957.2755847,0.0,0
114.0,115.0,114.5,0.0,870903957.2755847,0.0,0
115.0,116.0,115.5,0.0,870903957.2755847,0.0,0
116.0,117.0,116.5,0.0,870903957.2755847,0.0,0
117.0,118.0,117.5,0.0,870903957.2755847,0.0,0
118.0,119.0,118.5,115806.00729173244,871019763.2828764,155.5366962043485,1
119.0,120.0,119.5,292315.6154556261,871312078.898332,389.3177836210254,4
120.0,121.0,120.5,17088.38188985767,871329167.2802218,22.57012819263794,1
121.0,122.0,121.5,0.0,871329167.2802218,0.0,0
122.0,123.0,122.5,0.0,871329167.2802218,0.0,0
123.0,124.0,123.5,0.0,871329167.2802218,0.0,0
124.0,125.0,124.5,0.0,871329167.2802218,0.0,0
125.0,126.0,125.5,0.0,871329167.2802218,0.0,0
126.0,127.0,126.5,23945.948304684174,871353113.2285265,30.1273995234267,1
127.0,128.0,127.5,230201.02427624978,871583314.2528027,287.35396798731415,3
128.0,129.0,128.5,364666.03506549384,871947980.2878683,451.6607164077493,4
129.0,130.0,129.5,195516.54210132133,872143496.8299695,240.28898943366764,2
130.0,131.0,130.5,0.0,872143496.8299695,0.0,0
131.0,132.0,131.5,0.0,872143496.8299695,0.0,0
132.0,133.0,132.5,81730.59920522997,872225227.4291748,98.17229332358401,1
133.0,134.0,133.5,93904.24823084203,872319131.6774056,111.95000212184927,1
134.0,135.0,134.5,21713.303266554936,872340844.9806721,25.6935282210083,1
135.0,136.0,135.5,55682.34270438427,872396527.3233765,65.40310025342946,1
136.0,137.0,136.5,39362.35289367506,872435889.6762702,45.89533358795572,1
137.0,138.0,137.5,284051.6017244703,872719941.2779948,328.7870291463258,3
138.0,139.0,138.5,354860.5375302971,873074801.815525,407.7820119580782,3
139.0,140.0,139.5,185044.1648350472,873259845.9803602,211.11608260795154,2
140.0,141.0,140.5,0.0,873259845.9803602,0.0,0
141.0,142.0,141.5,0.0,873259845.9803602,0.0,0
142.0,143.0,142.5,0.0,873259845.9803602,0.0,0
143.0,144.0,143.5,0.0,873259845.9803602,0.0,0
144.0,145.0,144.5,0.0,873259845.9803602,0.0,0
145.0,146.0,145.5,0.0,873259845.9803602,0.0,0
146.0,147.0,146.5,0.0,873259845.9803602,0.0,0
147.0,148.0,147.5,0.0,873259845.9803602,0.0,0
148.0,149.0,148.5,0.0,873259845.9803602,0.0,0
149.0,150.0,149.5,62061.48518246879,873321907.4655427,66.06951265828981,1
150.0,151.0,150.5,108706.72243080482,873430614.1879735,114.95822074539007,2
151.0,152.0,151.5,75883.14331565308,873506497.3312892,79.71734228407199,1
