galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,mixed_formula_id,mixed_case_status,mixed_case_caveat,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,189.86753096942365,0.11596630139229235,0.025102745562427933,187.46928652165323,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,187.76268228285906,0.11095168074512163,0.024017251374144795,185.4942070989996,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,185.90179958008932,0.10635290409320325,0.023021773215356037,183.74944516142432,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,183.93465723569014,0.10148561290827077,0.021968170826328483,181.90308380225122,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,15.68,162.0,6.0,117.54869276176576,187.33128715477463,189.9039745094725,182.14469072788967,0.09762461742759984,0.021132397105813775,180.20983715455614,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,16.37,164.0,5.0,114.53626268566649,185.7225326397423,188.44406453744952,180.3872514854677,0.09409597292123258,0.020368566025921422,178.54068531293808,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,17.19,166.0,5.0,111.23102503348603,183.93291338243915,186.87628269379215,178.437487552436,0.09022062693930369,0.01952968591176091,176.6864822097833,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,17.88,166.0,5.0,108.57719751402684,182.43308067325452,185.59961425638457,176.8136873444035,0.08719874721628906,0.018875552108264977,175.13700961278707,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,18.58,166.0,5.0,106.10852274911755,181.03902172900663,184.45838501038313,175.30754378945133,0.08433316873604497,0.018255252188244267,173.70003190351804,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,19.39,166.0,5.0,103.59573070353817,179.67369927722612,183.40823268630876,173.8325793787291,0.0812437776069092,0.017586504469929338,172.2972454298857,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,20.09,168.0,5.0,101.5419823028879,178.5247125807357,182.554765024668,172.59991275571903,0.07875069735159645,0.017046837699803405,171.1224478144315,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,20.79,172.0,5.0,99.55126980606526,177.3594781033363,181.7067042856233,171.35928091267954,0.07640609386586814,0.016539311081808398,169.93629033294903,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,21.48,173.0,5.0,97.796003650456,176.36856723715874,181.0365942502915,170.30786868417567,0.07422774216616501,0.016067772300226074,168.93409393483856,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,22.3,171.0,5.0,96.00005505206754,175.43812498052307,180.4893007070894,169.32469142600044,0.07179522417722797,0.01554121519338388,168.00378346744367,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,22.99,170.0,5.0,94.6452644351528,174.77284378590178,180.150326660186,168.62762328577182,0.06986857327361684,0.015124161041959624,167.3475893210567,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,23.69,172.0,5.0,93.46625128890106,174.27639796507236,179.9803547810016,168.1128141365287,0.06801687668614412,0.014723331941297858,166.8706345430926,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,24.39,173.0,5.0,92.66651471810084,174.19300287431352,180.19633943618277,168.03323074778044,0.06626080749284623,0.014343202907085986,166.82381098442733,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,25.2,176.0,5.0,91.64455232036435,173.92830425976595,180.2974853817498,167.77493046132264,0.0643386849697572,0.013927128995461493,166.60252253011154,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,25.9,178.0,5.0,90.40273292329164,173.2079020093131,179.9421148191226,167.04847364614773,0.0627652322077295,0.013586530184725379,165.9097881580542,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,26.59,180.0,6.0,89.18344829619451,172.4563937072638,179.56079574004715,166.29482646635972,0.06128781106236296,0.013266718940808685,165.18805002496433,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,27.41,180.0,8.0,87.74860380655637,171.5219150399405,179.07802015464898,165.3626480720491,0.05962002742570516,0.01290570071584541,164.29212246199327,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,28.1,180.0,5.0,86.52238421356637,170.66250076795836,178.61202156456392,164.50738139490986,0.05828540496134847,0.01261680051171358,163.4663088132893,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,28.8,180.0,5.0,85.39209723387755,169.89535169493118,178.2383983221232,163.75260085389442,0.05699114741522199,0.012336637934459695,162.73938797236454,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,29.61,178.0,5.0,84.15713475398267,169.05393355663907,177.85249257296894,162.93214452413204,0.05556345330078001,0.012027590895229083,161.94933980203348,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,30.31,174.0,5.0,83.25187103002551,168.50388313856828,177.68029451319774,162.4107431432425,0.0543860466551536,0.011772722549047302,161.4519044437292,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,31.01,170.0,10.0,81.92052642653123,167.34136167387393,176.96614568962613,161.2571155215835,0.053257507750915256,0.011528432400700126,160.32490010983236,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,159.5067357894428,0.0,0.0,159.5067357894428,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,188.4348783517028,0.0,0.0,188.4348783517028,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,10.07,235.0,4.0,160.5556657362175,212.26654213448657,215.55701860167673,210.23235887689714,0.0,0.0,210.23235887689714,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,12.58,235.0,4.0,165.48979711752625,224.6834576868467,227.91606160968783,222.85675815522404,0.0,0.0,222.85675815522404,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,15.1,230.0,2.0,160.7081856969333,227.36393445306896,230.32301879850743,225.7194198219553,0.04577565353600669,0.0031304201503105917,225.36584458523626,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,17.61,231.0,2.0,156.73541798202473,229.85745315937857,232.6989805415634,228.4059872439307,0.2586628509403413,0.017688953366520672,226.37684241613226,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,20.13,232.0,2.0,153.661250971089,232.47567979957643,235.34551917823083,231.20657121763753,0.6133650156013284,0.041945664474755,226.30557010365538,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,22.65,225.0,7.0,150.19248017127887,234.0745129315577,237.0938666139261,232.96069082615355,0.9384972540917403,0.06418020253733847,225.3609993171879,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,25.16,224.0,7.0,141.6895341936023,229.93289266420095,233.3132426168066,228.9263950607293,1.0,0.0683861377937124,220.96009119818484,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,27.68,229.0,2.0,137.05893057367695,229.0819380720924,232.9499906637435,228.1798371534189,1.0,0.0683861377937124,220.2395124145969,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,30.2,218.0,2.0,135.9406033898629,231.5275966238275,235.85693328859335,230.72441959697696,1.0,0.0683861377937124,222.6955471092451,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,32.71,214.0,2.0,130.19747635803083,228.5058717009564,233.6092326334268,227.7673358529192,1.0,0.0683861377937124,219.84136555628635,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,35.23,213.0,2.0,127.72858744227932,228.7414341844729,234.53349162577376,228.06697015488186,1.0,0.0683861377937124,220.13057302259978,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,37.75,211.0,2.0,122.46015086549582,225.36401527865476,232.1484879706559,224.73363775209626,1.0,0.0683861377937124,216.91323571416933,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,40.26,217.0,2.0,119.73971897411484,224.63462986524263,232.27847877443844,224.0483289874923,1.0,0.0683861377937124,216.25177469266663,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,42.78,216.0,3.0,115.40623055104088,221.6291435522813,230.37298317156615,221.07520880952433,1.0,0.0683861377937124,213.3821147502528,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,45.29,215.0,3.0,112.60664345410532,220.23728973669077,229.97373377607803,219.7149160899284,1.0,0.0683861377937124,212.06915822857954,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,47.81,217.0,5.0,109.9054944031462,218.745683309751,229.51115795182355,218.25077044546856,1.0,0.0683861377937124,210.65596271199678,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC5907,50.33,214.0,5.0,109.03524246774523,219.49054012344249,231.05972266187916,219.0246053841867,1.0,0.0683861377937124,211.40286932617792,NGC5907_EXPDISK_PROJECTION_MIXED_FREEZE_V1,FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,prior_projection_endpoint_not_reused_as_mixed_evidence,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,2.67,221.0,20.0,251.97887713060393,265.1063502896858,268.68016137678785,264.5561224375929,0.0,0.0,264.5561224375929,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,3.21,237.0,13.0,264.4347516496272,279.37949567561077,283.3354109425094,278.7012037401586,0.0,0.0,278.7012037401586,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,3.74,249.0,8.0,275.6652313586173,292.27896660661895,296.57393052515783,291.4795850720429,0.0,0.0,291.4795850720429,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,4.27,250.0,5.0,275.8196327856304,294.5692263182532,299.18902747990677,293.6240850440843,0.0,0.0,293.6240850440843,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,4.81,253.0,5.0,273.4442633700696,294.476840639228,299.3825532452616,293.37628425625417,0.0,0.0,293.37628425625417,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,5.35,257.0,5.0,274.51298426486136,297.5784078309312,302.7317801837498,296.33719902557476,0.0001952020454222301,6.156771020953473e-05,296.3280764837622,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,5.88,257.0,5.0,269.34129562694244,294.7904266308157,300.1320321160266,293.3891475859498,0.0012516136251732996,0.00039476525362371664,293.33123194898667,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,6.41,257.0,5.0,265.180273078523,292.9437152227955,298.4314013474768,291.3877502934189,0.003093123030261819,0.0009755866131303877,291.245578615553,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,7.48,257.0,5.0,254.02275984643583,286.682263941798,292.3088850467704,284.8047695158391,0.008706881663754619,0.0027461944158588603,284.41343602784366,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,8.55,255.0,5.0,238.60471041033537,276.58648775475706,282.10138021726743,274.36415812761106,0.016206938018162007,0.00511175003892892,273.66201919031096,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,9.62,248.0,6.0,229.3329927201928,272.0314350972189,277.3849455878154,269.5161240790683,0.02499424132627025,0.007883309847263193,268.45168254013794,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,10.66,247.0,6.0,221.4913601475236,268.5630334204705,273.69520581173396,265.78880141338317,0.03433649557999624,0.010829903984394564,264.34564987893685,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,11.74,246.0,6.0,213.95827869002872,265.3823795937849,270.23757831730217,262.36389706594576,0.044519307141699604,0.014041614138318267,260.5153787770855,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,12.83,244.0,6.0,208.71575223255192,264.12481596053533,268.73539224142775,260.9057164550347,0.05499607201146951,0.017346038649035868,258.6329772645556,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,13.91,242.0,4.0,203.5184651819092,262.7214467049677,267.07473992008397,259.32597584800624,0.06532759184944802,0.020604652143750204,256.64040929088185,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,15.0,238.0,3.0,197.96862685789384,260.8713114139759,264.9530276967796,257.3152977250659,0.07549371558131616,0.02381109887192907,254.2333611231531,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,16.08,236.0,3.0,193.13934407572165,259.4737463623457,263.3176316000102,255.78643285554006,0.08512730819243576,0.026849582597215794,252.3291890920333,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
