channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,ESO048-017,ESO4801G7,0.62,0.01
3.6um,ESO481-014,ESO48101G4,0.57,0.01
3.6um,ESO481-018,ESO48101G8,0.83,0.0
3.6um,ESO481-030,ESO48103G0,0.16,0.03
3.6um,ESO482-005,ESO48200G5,0.3,0.01
3.6um,ESO482-011,ESO48201G1,0.2,0.01
3.6um,ESO482-013,ESO48201G3,0.2,0.02
3.6um,ESO482-035,ESO48203G5,0.34,0.02
3.6um,ESO482-046,ESO48204G6,0.51,0.01
3.6um,ESO483-008,ESO48300G8,0.09,0.03
3.6um,ESO483-013,ESO48301G3,0.16,0.03
3.6um,ESO485-021,ESO48502G1,0.32,0.01
3.6um,ESO486-003,ESO48600G3,0.4,0.02
3.6um,ESO486-021,ESO48602G1,0.33,0.05
3.6um,ESO501-079,ESO50107G9,0.54,0.05
3.6um,ESO501-080,ESO50108G0,0.54,0.1
3.6um,ESO502-016,ESO50201G6,0.33,0.03
3.6um,ESO502-020,ESO50202G0,0.37,0.02
3.6um,ESO502-023,ESO50202G3,0.42,0.01
3.6um,ESO503-022,ESO50302G2,0.46,0.03
3.6um,ESO504-010,ESO50401G0,0.31,0.02
3.6um,ESO504-024,ESO50402G4,0.39,0.02
3.6um,ESO504-028,ESO50402G8,0.2,0.01
3.6um,ESO505-002,ESO50500G2,0.4,0.01
3.6um,ESO505-003,ESO50500G3,0.48,0.06
3.6um,ESO505-008,ESO50500G8,0.57,0.04
3.6um,ESO505-009,ESO50500G9,0.54,0.01
3.6um,ESO505-013,ESO50501G3,0.38,0.01
3.6um,ESO505-023,ESO50502G3,0.29,0.02
3.6um,ESO506-018,ESO50601G8,0.17,0.02
3.6um,ESO506-029,ESO50602G9,0.53,0.02
3.6um,ESO506-033,ESO50603G3,0.25,0.07
3.6um,ESO507-065,ESO50706G5,0.11,0.03
3.6um,ESO508-007,ESO50800G7,0.23,0.01
3.6um,ESO508-011,ESO50801G1,0.54,0.02
3.6um,ESO508-015,ESO50801G5,0.38,0.01
3.6um,ESO508-019,ESO50801G9,0.21,0.01
3.6um,ESO508-024,ESO50802G4,0.17,0.01
3.6um,ESO508-030,ESO50803G0,0.21,0.02
3.6um,ESO508-034,ESO50803G4,0.19,0.03
3.6um,ESO508-051,ESO50805G1,0.2,0.02
3.6um,ESO509-026,ESO50902G6,0.32,0.02
3.6um,ESO509-074,ESO50907G4,0.58,0.01
3.6um,ESO510-026,ESO51002G6,0.11,0.03
3.6um,ESO510-058,ESO51005G8,0.31,0.02
3.6um,ESO510-059,ESO51005G9,0.39,0.02
3.6um,ESO532-014,ESO53201G4,0.31,0.02
3.6um,ESO532-022,ESO53202G2,0.3,0.02
3.6um,ESO532-032,ESO53203G2,0.17,0.03
3.6um,ESO533-004,ESO53300G4,0.17,0.07
3.6um,ESO533-028,ESO53302G8,0.19,0.08
3.6um,ESO536-003,ESO53600G3,0.21,0.05
3.6um,ESO539-007,ESO53900G7,0.19,0.01
3.6um,ESO540-016,ESO54001G6,0.42,0.02
3.6um,ESO540-031,ESO54003G1,0.28,0.01
3.6um,ESO054-021,ESO5402G1,0.42,0.04
3.6um,ESO541-004,ESO54100G4,0.67,0.01
3.6um,ESO541-005,ESO54100G5,0.45,0.01
3.6um,ESO544-027,ESO54402G7,0.24,0.05
3.6um,ESO544-030,ESO54403G0,0.31,0.03
3.6um,ESO545-002,ESO54500G2,0.23,0.02
3.6um,ESO545-003,ESO54500G3,0.19,0.02
3.6um,ESO545-005,ESO54500G5,0.27,0.03
3.6um,ESO545-016,ESO54501G6,0.28,0.02
3.6um,ESO546-034,ESO54603G4,0.16,0.02
3.6um,ESO547-005,ESO54700G5,0.34,0.02
3.6um,ESO547-012,ESO54701G2,0.22,0.03
3.6um,ESO547-020,ESO54702G0,0.18,0.02
3.6um,ESO548-005,ESO54800G5,0.19,0.02
3.6um,ESO548-009,ESO54800G9,0.16,0.02
3.6um,ESO548-016,ESO54801G6,0.53,0.05
3.6um,ESO548-021,ESO54802G1,0.24,0.01
3.6um,ESO548-023,ESO54802G3,0.15,0.02
3.6um,ESO548-025,ESO54802G5,0.19,0.04
3.6um,ESO548-032,ESO54803G2,0.17,0.02
3.6um,ESO548-063,ESO54806G3,0.11,0.03
3.6um,ESO548-082,ESO54808G2,0.14,0.02
3.6um,ESO549-002,ESO54900G2,0.17,0.04
3.6um,ESO549-018,ESO54901G8,0.25,0.02
3.6um,ESO549-035,ESO54903G5,0.17,0.04
3.6um,ESO550-005,ESO55000G5,0.25,0.01
3.6um,ESO550-024,ESO55002G4,0.43,0.01
3.6um,ESO551-016,ESO55101G6,0.31,0.01
3.6um,ESO551-031,ESO55103G1,0.27,0.03
3.6um,ESO553-017,ESO55301G7,0.24,0.03
3.6um,ESO567-048,ESO56704G8,0.24,0.01
3.6um,ESO569-014,ESO56901G4,0.72,0.01
3.6um,ESO570-019,ESO57001G9,0.21,0.03
3.6um,ESO572-012,ESO57201G2,0.26,0.02
3.6um,ESO572-018,ESO57201G8,0.18,0.01
3.6um,ESO572-022,ESO57202G2,0.23,0.01
3.6um,ESO572-024,ESO57202G4,0.2,0.02
3.6um,ESO572-030,ESO57203G0,0.24,0.01
3.6um,ESO572-034,ESO57203G4,0.23,0.04
3.6um,ESO572-049,ESO57204G9,0.24,0.01
3.6um,ESO573-003,ESO57300G3,0.23,0.01
3.6um,ESO575-061,ESO57506G1,0.32,0.02
3.6um,ESO576-001,ESO57600G1,0.14,0.02
3.6um,ESO576-003,ESO57600G3,0.19,0.01
3.6um,ESO576-005,ESO57600G5,0.22,0.01
3.6um,ESO576-008,ESO57600G8,0.15,0.04
3.6um,ESO576-011,ESO57601G1,0.62,0.01
3.6um,ESO576-017,ESO57601G7,0.13,0.02
3.6um,ESO576-026,ESO57602G6,0.15,0.02
3.6um,ESO576-032,ESO57603G2,0.28,0.02
3.6um,ESO576-040,ESO57604G0,0.2,0.02
3.6um,ESO576-050,ESO57605G0,0.52,0.01
3.6um,ESO576-059,ESO57605G9,0.23,0.01
3.6um,ESO577-038,ESO57703G8,0.13,0.02
3.6um,ESO580-022,ESO58002G2,0.21,0.03
3.6um,ESO580-029,ESO58002G9,0.48,0.03
3.6um,ESO580-030,ESO58003G0,0.19,0.03
3.6um,ESO580-034,ESO58003G4,0.21,0.01
3.6um,ESO580-041,ESO58004G1,0.2,0.03
3.6um,ESO581-025,ESO58102G5,0.77,0.01
3.6um,ESO582-004,ESO58200G4,0.23,0.02
3.6um,ESO601-007,ESO60100G7,0.19,0.01
3.6um,ESO601-025,ESO60102G5,0.2,0.01
3.6um,ESO601-031,ESO60103G1,0.19,0.03
3.6um,ESO602-003,ESO60200G3,0.15,0.02
3.6um,ESO602-015,ESO60201G5,0.14,0.02
3.6um,ESO602-030,ESO60203G0,0.17,0.04
3.6um,ESO603-031,ESO60303G1,0.14,0.04
3.6um,ESO605-015,ESO60501G5,0.17,0.03
3.6um,ESO079-003,ESO7900G3,1.0,2.54
3.6um,ESO079-005,ESO7900G5,0.44,0.09
3.6um,ESO079-007,ESO7900G7,0.46,0.07
3.6um,ESO085-014,ESO8501G4,0.93,0.01
3.6um,ESO085-030,ESO8503G0,0.19,0.26
3.6um,ESO085-047,ESO8504G7,0.4,0.01
3.6um,IC0101,IC101,0.13,0.05
3.6um,IC1014,IC1014,0.24,0.03
3.6um,IC1024,IC1024,0.22,0.1
3.6um,IC1029,IC1029,0.9,0.02
3.6um,IC1048,IC1048,0.37,0.05
3.6um,IC1055,IC1055,0.25,0.04
3.6um,IC1066,IC1066,0.33,0.04
3.6um,IC1067,IC1067,0.29,0.03
3.6um,IC1125,IC1125,0.16,0.02
3.6um,IC1151,IC1151,0.26,0.02
3.6um,IC1158,IC1158,0.18,0.02
3.6um,IC1197,IC1197,0.48,0.02
3.6um,IC1210,IC1210,0.13,0.3
3.6um,IC1251,IC1251,0.46,0.07
3.6um,IC1265,IC1265,0.5,0.03
3.6um,IC1438,IC1438,0.16,0.04
3.6um,IC1447,IC1447,0.27,0.03
3.6um,IC1532,IC1532,0.6,0.06
3.6um,IC1553,IC1553,0.28,0.09
3.6um,IC1555,IC1555,0.49,0.04
3.6um,IC1558,IC1558,0.65,0.01
3.6um,IC1574,IC1574,0.26,0.01
3.6um,IC1596,IC1596,0.15,0.04
3.6um,IC1613,IC1613,0.76,0.01
3.6um,IC0163,IC163,0.16,0.03
3.6um,IC0167,IC167,0.14,0.02
3.6um,IC1711,IC1711,0.12,0.06
3.6um,IC1727,IC1727,0.53,0.01
3.6um,IC1826,IC1826,0.46,0.05
3.6um,IC1870,IC1870,0.34,0.02
3.6um,IC1892,IC1892,0.49,0.02
3.6um,IC1898,IC1898,0.5,0.01
3.6um,IC1913,IC1913,0.54,0.11
3.6um,IC1914,IC1914,0.42,0.04
3.6um,IC1933,IC1933,0.36,0.07
3.6um,IC1952,IC1952,0.53,0.02
3.6um,IC1953,IC1953,0.47,0.02
3.6um,IC1954,IC1954,0.93,0.02
3.6um,IC1959,IC1959,0.84,0.0
3.6um,IC1962,IC1962,0.27,0.02
3.6um,IC1970,IC1970,0.99,0.0
3.6um,IC1986,IC1986,0.59,0.06
3.6um,IC1993,IC1993,0.61,0.01
3.6um,IC2000,IC2000,0.77,0.01
3.6um,IC2006,IC2006,0.22,0.09
3.6um,IC2007,IC2007,0.16,0.03
3.6um,IC2032,IC2032,0.58,0.02
3.6um,IC2035,IC2035,0.23,0.15
3.6um,IC2040,IC2040,0.11,0.02
3.6um,IC2051,IC2051,0.9,0.01
3.6um,IC2056,IC2056,0.14,0.13
3.6um,IC2058,IC2058,0.97,0.0
3.6um,IC2085,IC2085,0.72,0.16
3.6um,IC0210,IC210,0.34,0.06
3.6um,IC2135,IC2135,0.65,0.01
3.6um,IC0217,IC217,0.2,0.02
3.6um,IC0223,IC223,0.38,0.04
3.6um,IC2233,IC2233,0.36,0.01
3.6um,IC2361,IC2361,0.14,0.03
3.6um,IC2389,IC2389,0.56,0.16
3.6um,IC2461,IC2461,0.26,0.05
3.6um,IC2574,IC2574,0.49,0.01
3.6um,IC2604,IC2604,0.16,0.03
3.6um,IC2627,IC2627,0.27,0.04
3.6um,IC2763,IC2763,0.12,0.03
3.6um,IC2764,IC2764,0.19,0.04
3.6um,IC2828,IC2828,0.24,0.04
