channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,NGC4405,NGC4405,0.15,0.06
3.6um,NGC4406,NGC4406,0.96,0.0
3.6um,NGC4409,NGC4409,0.23,0.04
3.6um,NGC4411A,NGC4411A,0.18,0.02
3.6um,NGC4411B,NGC4411B,0.2,0.02
3.6um,NGC4412,NGC4412,0.19,0.04
3.6um,NGC4413,NGC4413,0.2,0.04
3.6um,NGC4414,NGC4414,0.15,0.09
3.6um,NGC4416,NGC4416,0.19,0.03
3.6um,NGC4419,NGC4419,0.74,0.01
3.6um,NGC4423,NGC4423,0.17,0.02
3.6um,NGC4424,NGC4424,0.16,0.04
3.6um,NGC4428,NGC4428,0.15,0.05
3.6um,NGC4430,NGC4430,0.19,0.01
3.6um,NGC4434,NGC4434,0.1,0.06
3.6um,NGC4437,NGC4437,0.59,0.01
3.6um,NGC4438,NGC4438,1.0,0.0
3.6um,NGC4442,NGC4442,0.87,0.01
3.6um,NGC4445,NGC4445,0.18,0.07
3.6um,NGC4448,NGC4448,0.09,0.08
3.6um,NGC4449,NGC4449,0.97,0.0
3.6um,NGC4450,NGC4450,0.77,0.01
3.6um,NGC4451,NGC4451,0.16,0.06
3.6um,NGC4454,NGC4454,0.15,0.04
3.6um,NGC4455,NGC4455,0.17,0.02
3.6um,NGC4457,NGC4457,0.19,0.06
3.6um,NGC4460,NGC4460,0.99,0.0
3.6um,NGC4461,NGC4461,0.25,0.05
3.6um,NGC4462,NGC4462,0.25,0.05
3.6um,NGC4470,NGC4470,0.15,0.03
3.6um,NGC4472,NGC4472,0.37,0.01
3.6um,NGC4480,NGC4480,0.37,0.03
3.6um,NGC4485,NGC4485,0.36,0.02
3.6um,NGC4487,NGC4487,0.15,0.01
3.6um,NGC4488,NGC4488,0.15,0.03
3.6um,NGC4489,NGC4489,0.13,0.03
3.6um,NGC4490,NGC4490,0.94,0.0
3.6um,NGC4491,NGC4491,0.14,0.03
3.6um,NGC4492,NGC4492,0.16,0.03
3.6um,NGC4494,NGC4494,0.81,0.01
3.6um,NGC4496A,NGC4496A,0.4,0.01
3.6um,NGC4498,NGC4498,0.25,0.01
3.6um,NGC0045,NGC45,0.52,0.0
3.6um,NGC0450,NGC450,0.5,0.02
3.6um,NGC4501,NGC4501,0.76,0.01
3.6um,NGC4502,NGC4502,0.13,0.03
3.6um,NGC4503,NGC4503,0.19,0.04
3.6um,NGC4504,NGC4504,0.62,0.01
3.6um,NGC4506,NGC4506,0.15,0.03
3.6um,NGC4517A,NGC4517A,0.19,0.01
3.6um,NGC4519,NGC4519,0.33,0.01
3.6um,NGC4522,NGC4522,0.31,0.02
3.6um,NGC4523,NGC4523,0.17,0.02
3.6um,NGC4525,NGC4525,0.15,0.01
3.6um,NGC4527,NGC4527,0.62,0.02
3.6um,NGC4528,NGC4528,0.12,0.06
3.6um,NGC4531,NGC4531,0.13,0.03
3.6um,NGC4532,NGC4532,0.28,0.05
3.6um,NGC4533,NGC4533,0.21,0.02
3.6um,NGC4534,NGC4534,0.88,0.01
3.6um,NGC4535,NGC4535,0.19,0.01
3.6um,NGC4536,NGC4536,0.23,0.02
3.6um,NGC4539,NGC4539,0.18,0.03
3.6um,NGC4540,NGC4540,0.17,0.02
3.6um,NGC4544,NGC4544,0.23,0.07
3.6um,NGC4545,NGC4545,0.36,0.07
3.6um,NGC4546,NGC4546,0.69,0.04
3.6um,NGC4548,NGC4548,0.45,0.02
3.6um,NGC4550,NGC4550,0.57,0.02
3.6um,NGC4559,NGC4559,0.97,0.0
3.6um,NGC4561,NGC4561,0.18,0.03
3.6um,NGC4562,NGC4562,0.34,0.02
3.6um,NGC4565,NGC4565,0.87,0.0
3.6um,NGC4567,NGC4567,0.35,0.02
3.6um,NGC4568,NGC4568,0.67,0.02
3.6um,NGC4569,NGC4569,0.91,0.0
3.6um,NGC4571,NGC4571,0.15,0.01
3.6um,NGC4572,NGC4572,0.54,0.16
3.6um,NGC4579,NGC4579,0.74,0.02
3.6um,NGC4580,NGC4580,0.16,0.07
3.6um,NGC4584,NGC4584,0.11,0.03
3.6um,NGC4586,NGC4586,0.19,0.07
3.6um,NGC4591,NGC4591,0.11,0.03
3.6um,NGC4592,NGC4592,0.51,0.01
3.6um,NGC4593,NGC4593,0.34,0.03
3.6um,NGC4594,NGC4594,0.61,0.03
3.6um,NGC4595,NGC4595,0.19,0.04
3.6um,NGC4596,NGC4596,0.66,0.02
3.6um,NGC4597,NGC4597,0.13,0.01
3.6um,NGC4599,NGC4599,0.12,0.05
3.6um,NGC4602,NGC4602,0.16,0.04
3.6um,NGC4604,NGC4604,0.13,0.05
3.6um,NGC4605,NGC4605,0.9,0.01
3.6um,NGC4606,NGC4606,0.28,0.02
3.6um,NGC4607,NGC4607,0.27,0.03
3.6um,NGC4618,NGC4618,0.94,0.01
3.6um,NGC4625,NGC4625,0.33,0.08
3.6um,NGC4628,NGC4628,0.18,0.07
3.6um,NGC4629,NGC4629,0.11,0.02
3.6um,NGC4630,NGC4630,0.24,0.03
3.6um,NGC4631,NGC4631,0.82,0.05
3.6um,NGC4632,NGC4632,0.23,0.02
3.6um,NGC4633,NGC4633,0.17,0.02
3.6um,NGC4634,NGC4634,0.46,0.02
3.6um,NGC4635,NGC4635,0.15,0.01
3.6um,NGC4636,NGC4636,0.97,0.0
3.6um,NGC4639,NGC4639,0.57,0.01
3.6um,NGC4641,NGC4641,0.17,0.05
3.6um,NGC4642,NGC4642,0.12,0.03
3.6um,NGC4643,NGC4643,0.09,0.07
3.6um,NGC4647,NGC4647,1.0,0.0
3.6um,NGC4651,NGC4651,0.17,0.05
3.6um,NGC4653,NGC4653,0.3,0.01
3.6um,NGC4654,NGC4654,0.82,0.01
3.6um,NGC4656,NGC4656,0.28,0.0
3.6um,NGC4658,NGC4658,0.32,0.06
3.6um,NGC4659,NGC4659,0.21,0.05
3.6um,NGC4666,NGC4666,0.29,0.01
3.6um,NGC4668,NGC4668,0.12,0.02
3.6um,NGC4680,NGC4680,0.15,0.07
3.6um,NGC4682,NGC4682,0.49,0.02
3.6um,NGC4684,NGC4684,0.65,0.02
3.6um,NGC4688,NGC4688,0.45,0.01
3.6um,NGC4689,NGC4689,0.74,0.01
3.6um,NGC4691,NGC4691,0.64,0.02
3.6um,NGC4694,NGC4694,0.15,0.07
3.6um,NGC4698,NGC4698,0.77,0.01
3.6um,NGC4699,NGC4699,0.2,0.02
3.6um,NGC0470,NGC470,0.4,0.05
3.6um,NGC4700,NGC4700,0.53,0.02
3.6um,NGC4701,NGC4701,0.23,0.09
3.6um,NGC4707,NGC4707,0.44,0.01
3.6um,NGC4710,NGC4710,0.2,0.06
3.6um,NGC4713,NGC4713,0.21,0.02
3.6um,NGC4722,NGC4722,0.12,0.03
3.6um,NGC4723,NGC4723,0.15,0.04
3.6um,NGC4725,NGC4725,0.98,0.0
3.6um,NGC0473,NGC473,0.12,0.04
3.6um,NGC4731,NGC4731,0.18,0.0
3.6um,NGC4733,NGC4733,0.12,0.03
3.6um,NGC4736,NGC4736,0.12,0.08
3.6um,NGC0474,NGC474,0.22,0.03
3.6um,NGC4746,NGC4746,0.22,0.08
3.6um,NGC4747,NGC4747,0.3,0.01
3.6um,NGC4749,NGC4749,0.34,0.18
3.6um,NGC4750,NGC4750,0.18,0.15
3.6um,NGC4753,NGC4753,0.14,0.02
3.6um,NGC4754,NGC4754,0.83,0.01
3.6um,NGC4758,NGC4758,0.37,0.03
3.6um,NGC4762,NGC4762,0.99,0.0
3.6um,NGC4765,NGC4765,0.17,0.05
3.6um,NGC4771,NGC4771,0.62,0.02
3.6um,NGC4772,NGC4772,0.68,0.02
3.6um,NGC4775,NGC4775,0.15,0.03
3.6um,NGC4779,NGC4779,0.17,0.04
3.6um,NGC4781,NGC4781,0.22,0.02
3.6um,NGC4789A,NGC4789A,0.7,0.02
3.6um,NGC4790,NGC4790,0.24,0.05
3.6um,NGC4791,NGC4791,0.19,0.06
3.6um,NGC4793,NGC4793,0.36,0.04
3.6um,NGC4795,NGC4795,0.24,0.04
3.6um,NGC4799,NGC4799,0.16,0.08
3.6um,NGC4800,NGC4800,0.17,0.12
3.6um,NGC4802,NGC4802,0.24,0.05
3.6um,NGC4806,NGC4806,0.17,0.05
3.6um,NGC4808,NGC4808,0.19,0.05
3.6um,NGC4809,NGC4809,0.16,0.02
3.6um,NGC4814,NGC4814,0.24,0.09
3.6um,NGC4818,NGC4818,0.51,0.03
3.6um,NGC4826,NGC4826,0.99,0.0
3.6um,NGC4845,NGC4845,0.16,0.02
3.6um,NGC0485,NGC485,0.22,0.02
3.6um,NGC4856,NGC4856,0.19,0.02
3.6um,NGC4866,NGC4866,0.75,0.01
3.6um,NGC0488,NGC488,0.29,0.02
3.6um,NGC4880,NGC4880,0.12,0.02
3.6um,NGC0489,NGC489,0.11,0.07
3.6um,NGC4897,NGC4897,0.56,0.01
3.6um,NGC4899,NGC4899,0.13,0.03
3.6um,NGC4900,NGC4900,0.18,0.03
3.6um,NGC4902,NGC4902,0.2,0.02
3.6um,NGC4904,NGC4904,0.16,0.02
3.6um,NGC4920,NGC4920,0.19,0.04
3.6um,NGC4928,NGC4928,0.16,0.07
3.6um,NGC0493,NGC493,0.51,0.01
3.6um,NGC4941,NGC4941,0.14,0.05
3.6um,NGC4942,NGC4942,0.18,0.03
3.6um,NGC4948,NGC4948,0.16,0.04
3.6um,NGC4948A,NGC4948A,0.18,0.01
3.6um,NGC4951,NGC4951,0.58,0.02
3.6um,NGC4958,NGC4958,0.5,0.02
3.6um,NGC4961,NGC4961,0.14,0.08
3.6um,NGC4965,NGC4965,0.49,0.03
3.6um,NGC4980,NGC4980,0.45,0.02
3.6um,NGC4981,NGC4981,0.59,0.01
3.6um,NGC4984,NGC4984,0.49,0.09
3.6um,NGC4995,NGC4995,0.49,0.04
3.6um,NGC5002,NGC5002,0.18,0.01
3.6um,NGC5005,NGC5005,0.22,0.03
3.6um,NGC5012,NGC5012,0.26,0.02
3.6um,NGC5014,NGC5014,0.29,0.07
3.6um,NGC5016,NGC5016,0.14,0.02
3.6um,NGC5018,NGC5018,0.55,0.02
3.6um,NGC5022,NGC5022,0.4,0.02
3.6um,NGC5023,NGC5023,0.77,0.0
3.6um,NGC5033,NGC5033,0.93,0.0
3.6um,NGC5042,NGC5042,0.44,0.02
3.6um,NGC5054,NGC5054,0.45,0.01
3.6um,NGC5055,NGC5055,0.56,0.01
3.6um,NGC5068,NGC5068,0.35,0.01
3.6um,NGC5073,NGC5073,0.32,0.01
3.6um,NGC5078,NGC5078,0.17,0.14
3.6um,NGC5079,NGC5079,0.41,0.02
3.6um,NGC5084,NGC5084,0.65,0.01
3.6um,NGC5085,NGC5085,0.25,0.01
3.6um,NGC5088,NGC5088,0.15,0.03
3.6um,NGC5101,NGC5101,0.44,0.01
3.6um,NGC5103,NGC5103,0.28,0.11
3.6um,NGC5105,NGC5105,0.15,0.02
3.6um,NGC5107,NGC5107,0.41,0.02
3.6um,NGC5109,NGC5109,0.48,0.17
3.6um,NGC5112,NGC5112,0.97,0.02
3.6um,NGC5116,NGC5116,0.12,0.02
3.6um,NGC5117,NGC5117,0.32,0.01
3.6um,NGC5122,NGC5122,0.21,0.1
3.6um,NGC5134,NGC5134,0.65,0.02
3.6um,NGC0514,NGC514,0.4,0.01
3.6um,NGC5145,NGC5145,0.2,0.18
3.6um,NGC5147,NGC5147,0.13,0.02
3.6um,NGC5169,NGC5169,0.2,0.05
3.6um,NGC5170,NGC5170,0.86,0.01
3.6um,NGC5173,NGC5173,0.14,0.12
3.6um,NGC0518,NGC518,0.26,0.05
3.6um,NGC5194,NGC5194,0.38,0.03
3.6um,NGC5195,NGC5195,0.28,0.05
3.6um,NGC0520,NGC520,0.29,0.02
3.6um,NGC5204,NGC5204,1.0,2.04
3.6um,NGC5205,NGC5205,0.14,0.18
3.6um,NGC5216,NGC5216,0.19,0.05
3.6um,NGC5218,NGC5218,0.24,0.1
3.6um,NGC0522,NGC522,0.29,0.01
3.6um,NGC5229,NGC5229,0.48,0.11
3.6um,NGC5236,NGC5236,0.32,0.01
3.6um,NGC5238,NGC5238,0.21,0.01
3.6um,NGC5240,NGC5240,0.12,0.1
3.6um,NGC5247,NGC5247,0.24,0.01
3.6um,NGC5248,NGC5248,0.76,0.01
3.6um,NGC5253,NGC5253,0.77,0.01
3.6um,NGC5254,NGC5254,0.68,0.01
3.6um,NGC5264,NGC5264,0.58,0.01
3.6um,NGC5273,NGC5273,0.19,0.06
3.6um,NGC5289,NGC5289,0.32,0.06
3.6um,NGC5290,NGC5290,0.33,0.06
3.6um,NGC5297,NGC5297,0.37,0.02
3.6um,NGC5300,NGC5300,0.58,0.01
3.6um,NGC5301,NGC5301,0.72,0.09
3.6um,NGC5304,NGC5304,0.21,0.05
3.6um,NGC5311,NGC5311,0.19,0.08
3.6um,NGC5313,NGC5313,0.59,0.08
3.6um,NGC0532,NGC532,0.11,0.04
3.6um,NGC5320,NGC5320,0.19,0.04
3.6um,NGC5326,NGC5326,0.2,0.14
3.6um,NGC5334,NGC5334,0.66,0.01
3.6um,NGC5336,NGC5336,0.17,0.07
3.6um,NGC5337,NGC5337,0.16,0.03
3.6um,NGC5338,NGC5338,0.43,0.03
3.6um,NGC5339,NGC5339,0.13,0.02
3.6um,NGC5346,NGC5346,0.45,0.07
3.6um,NGC5347,NGC5347,0.19,0.05
3.6um,NGC5348,NGC5348,0.33,0.0
3.6um,NGC5350,NGC5350,0.3,0.05
3.6um,NGC5353,NGC5353,0.24,0.17
3.6um,NGC5354,NGC5354,0.95,0.01
3.6um,NGC5355,NGC5355,0.29,0.16
3.6um,NGC5356,NGC5356,0.6,0.01
3.6um,NGC5360,NGC5360,0.2,0.03
3.6um,NGC5362,NGC5362,0.28,0.06
3.6um,NGC5363,NGC5363,0.7,0.01
3.6um,NGC5364,NGC5364,0.29,0.01
3.6um,NGC5371,NGC5371,0.87,0.01
3.6um,NGC5375,NGC5375,0.22,0.04
3.6um,NGC5376,NGC5376,0.61,0.09
3.6um,NGC5377,NGC5377,0.99,0.0
3.6um,NGC5383,NGC5383,0.19,0.03
3.6um,NGC5403,NGC5403,0.33,0.07
3.6um,NGC5422,NGC5422,0.99,0.0
3.6um,NGC5425,NGC5425,0.24,0.18
3.6um,NGC5426,NGC5426,0.28,0.03
3.6um,NGC5427,NGC5427,0.43,0.01
3.6um,NGC5430,NGC5430,0.35,0.18
3.6um,NGC5443,NGC5443,0.18,0.05
3.6um,NGC5448,NGC5448,0.93,0.0
3.6um,NGC5452,NGC5452,0.36,0.08
3.6um,NGC5457,NGC5457,0.82,0.01
3.6um,NGC5464,NGC5464,0.18,0.04
3.6um,NGC5468,NGC5468,0.28,0.02
3.6um,NGC5470,NGC5470,0.46,0.02
3.6um,NGC5472,NGC5472,0.16,0.05
3.6um,NGC5473,NGC5473,0.16,0.09
3.6um,NGC5474,NGC5474,0.54,0.04
3.6um,NGC5476,NGC5476,0.12,0.03
3.6um,NGC5477,NGC5477,0.42,0.02
3.6um,NGC5480,NGC5480,0.25,0.07
3.6um,NGC5481,NGC5481,0.26,0.07
3.6um,NGC5486,NGC5486,0.42,0.05
3.6um,NGC5492,NGC5492,0.18,0.04
3.6um,NGC5496,NGC5496,0.23,0.04
3.6um,NGC0055,NGC55,0.97,0.01
3.6um,NGC5506,NGC5506,0.23,0.1
3.6um,NGC5507,NGC5507,0.14,0.06
3.6um,NGC5520,NGC5520,0.3,0.09
3.6um,NGC5523,NGC5523,0.38,0.06
3.6um,NGC5526,NGC5526,0.96,0.04
3.6um,NGC5529,NGC5529,0.51,0.04
3.6um,NGC5534,NGC5534,0.19,0.06
3.6um,NGC5560,NGC5560,0.31,0.03
3.6um,NGC5566,NGC5566,0.47,0.01
3.6um,NGC5569,NGC5569,0.3,0.03
3.6um,NGC5574,NGC5574,0.19,0.09
3.6um,NGC5576,NGC5576,0.19,0.07
3.6um,NGC5577,NGC5577,0.32,0.03
3.6um,NGC5584,NGC5584,0.48,0.01
3.6um,NGC5585,NGC5585,1.0,0.0
3.6um,NGC5587,NGC5587,0.56,0.07
3.6um,NGC5595,NGC5595,0.21,0.04
3.6um,NGC5597,NGC5597,0.26,0.04
3.6um,NGC5600,NGC5600,0.23,0.05
3.6um,NGC5602,NGC5602,0.08,0.19
3.6um,NGC5604,NGC5604,0.16,0.05
3.6um,NGC5608,NGC5608,0.44,0.02
3.6um,NGC5624,NGC5624,0.38,0.13
3.6um,NGC5630,NGC5630,0.42,0.08
3.6um,NGC5631,NGC5631,0.24,0.08
3.6um,NGC5633,NGC5633,0.15,0.16
3.6um,NGC5636,NGC5636,0.39,0.04
3.6um,NGC5645,NGC5645,0.22,0.03
3.6um,NGC5660,NGC5660,0.31,0.05
3.6um,NGC5661,NGC5661,0.15,0.04
3.6um,NGC5665,NGC5665,0.25,0.05
3.6um,NGC5667,NGC5667,0.27,0.17
3.6um,NGC5668,NGC5668,0.18,0.03
3.6um,NGC5669,NGC5669,0.32,0.03
3.6um,NGC5673,NGC5673,0.21,0.23
3.6um,NGC5676,NGC5676,0.22,0.05
3.6um,NGC5678,NGC5678,0.96,0.01
3.6um,NGC5689,NGC5689,0.75,0.02
3.6um,NGC5690,NGC5690,0.74,0.01
3.6um,NGC5691,NGC5691,0.23,0.02
3.6um,NGC5693,NGC5693,0.42,0.03
3.6um,NGC5701,NGC5701,0.13,0.05
3.6um,NGC5707,NGC5707,0.27,0.1
3.6um,NGC5708,NGC5708,0.22,0.15
3.6um,NGC5713,NGC5713,0.51,0.08
3.6um,NGC5714,NGC5714,0.95,0.0
3.6um,NGC5719,NGC5719,0.24,0.13
3.6um,NGC5728,NGC5728,0.91,0.01
3.6um,NGC5729,NGC5729,0.64,0.02
3.6um,NGC5730,NGC5730,0.45,0.09
3.6um,NGC5731,NGC5731,0.4,0.17
3.6um,NGC5740,NGC5740,0.18,0.08
3.6um,NGC5744,NGC5744,0.2,0.05
3.6um,NGC5746,NGC5746,0.98,0.0
3.6um,NGC5750,NGC5750,0.15,0.07
3.6um,NGC5756,NGC5756,0.7,0.02
3.6um,NGC5757,NGC5757,0.19,0.08
3.6um,NGC5762,NGC5762,0.15,0.06
3.6um,NGC5768,NGC5768,0.18,0.09
3.6um,NGC5770,NGC5770,0.18,0.13
3.6um,NGC5774,NGC5774,0.24,0.02
3.6um,NGC5775,NGC5775,0.25,0.09
3.6um,NGC5777,NGC5777,0.99,0.01
3.6um,NGC0578,NGC578,0.51,0.01
3.6um,NGC5781,NGC5781,0.18,0.04
3.6um,NGC5783,NGC5783,0.39,0.1
3.6um,NGC5789,NGC5789,0.41,0.07
3.6um,NGC5792,NGC5792,0.66,0.01
3.6um,NGC5798,NGC5798,0.36,0.05
3.6um,NGC5806,NGC5806,0.67,0.02
3.6um,NGC5809,NGC5809,0.12,0.04
3.6um,NGC5821,NGC5821,0.31,0.16
3.6um,NGC5832,NGC5832,0.21,0.04
3.6um,NGC0584,NGC584,0.76,0.01
3.6um,NGC5846,NGC5846,0.78,0.01
3.6um,NGC5850,NGC5850,0.35,0.01
3.6um,NGC5854,NGC5854,0.7,0.02
3.6um,NGC5861,NGC5861,0.78,0.01
3.6um,NGC5864,NGC5864,0.52,0.02
3.6um,NGC5866B,NGC5866B,0.9,0.02
3.6um,NGC5878,NGC5878,0.33,0.06
3.6um,NGC5879,NGC5879,1.0,2.37
3.6um,NGC5885,NGC5885,0.76,0.01
3.6um,NGC5892,NGC5892,0.67,0.02
3.6um,NGC5894,NGC5894,0.53,0.02
3.6um,NGC5899,NGC5899,0.29,0.06
3.6um,NGC0059,NGC59,0.23,0.04
3.6um,NGC5900,NGC5900,0.51,0.17
3.6um,NGC5907,NGC5907,1.0,3.75
3.6um,NGC5913,NGC5913,0.17,0.06
3.6um,NGC5915,NGC5915,0.22,0.04
3.6um,NGC5916,NGC5916,0.7,0.02
3.6um,NGC5916A,NGC5916A,0.21,0.03
3.6um,NGC5921,NGC5921,0.93,0.0
3.6um,NGC5930,NGC5930,0.34,0.09
3.6um,NGC5937,NGC5937,0.22,0.1
3.6um,NGC5949,NGC5949,0.12,0.12
3.6um,NGC5950,NGC5950,0.3,0.11
3.6um,NGC5951,NGC5951,0.89,0.0
3.6um,NGC5953,NGC5953,0.25,0.12
3.6um,NGC5954,NGC5954,0.42,0.07
3.6um,NGC5956,NGC5956,0.2,0.08
3.6um,NGC5957,NGC5957,0.24,0.06
3.6um,NGC5958,NGC5958,0.24,0.09
3.6um,NGC5962,NGC5962,0.31,0.06
3.6um,NGC5963,NGC5963,0.99,0.0
3.6um,NGC5964,NGC5964,0.51,0.02
3.6um,NGC5970,NGC5970,0.66,0.03
3.6um,NGC5981,NGC5981,0.32,0.22
3.6um,NGC5984,NGC5984,0.99,0.0
3.6um,NGC5985,NGC5985,0.98,0.0
3.6um,NGC0600,NGC600,0.31,0.01
3.6um,NGC6010,NGC6010,0.16,0.09
3.6um,NGC6012,NGC6012,0.24,0.07
3.6um,NGC6014,NGC6014,0.16,0.05
3.6um,NGC6015,NGC6015,0.98,0.0
3.6um,NGC6063,NGC6063,0.2,0.03
3.6um,NGC6070,NGC6070,0.39,0.02
3.6um,NGC6106,NGC6106,0.28,0.05
3.6um,NGC6118,NGC6118,0.42,0.01
3.6um,NGC0613,NGC613,0.26,0.04
3.6um,NGC6140,NGC6140,0.35,0.05
3.6um,NGC0615,NGC615,0.61,0.01
3.6um,NGC6155,NGC6155,0.17,0.21
3.6um,NGC6168,NGC6168,0.41,0.13
3.6um,NGC6181,NGC6181,0.32,0.11
3.6um,NGC6207,NGC6207,0.99,0.0
3.6um,NGC6217,NGC6217,0.14,0.11
3.6um,NGC6236,NGC6236,0.3,0.05
3.6um,NGC6239,NGC6239,0.24,0.16
3.6um,NGC0625,NGC625,0.79,0.0
3.6um,NGC6255,NGC6255,0.98,0.0
3.6um,NGC6267,NGC6267,0.25,0.06
3.6um,NGC6278,NGC6278,0.2,0.17
3.6um,NGC0628,NGC628,0.65,0.01
3.6um,NGC0063,NGC63,0.15,0.07
3.6um,NGC6339,NGC6339,0.24,0.09
3.6um,NGC6340,NGC6340,0.28,0.06
3.6um,NGC6395,NGC6395,0.33,0.1
3.6um,NGC6412,NGC6412,0.22,0.05
3.6um,NGC6434,NGC6434,0.29,0.12
3.6um,NGC6503,NGC6503,0.99,0.0
3.6um,NGC0658,NGC658,0.18,0.03
3.6um,NGC0660,NGC660,0.3,0.02
3.6um,NGC0672,NGC672,0.44,0.01
3.6um,NGC0676,NGC676,0.62,0.02
3.6um,NGC0678,NGC678,0.6,0.02
3.6um,NGC0680,NGC680,0.14,0.08
3.6um,NGC0681,NGC681,0.41,0.02
3.6um,NGC0685,NGC685,0.75,0.04
3.6um,NGC6861E,NGC6861E,0.4,0.03
3.6um,NGC6870,NGC6870,0.55,0.02
3.6um,NGC6887,NGC6887,0.43,0.02
3.6um,NGC6889,NGC6889,0.45,0.05
3.6um,NGC6902,NGC6902,0.65,0.01
3.6um,NGC6902B,NGC6902B,0.15,0.02
3.6um,NGC0691,NGC691,0.31,0.02
3.6um,NGC6923,NGC6923,0.58,0.02
3.6um,NGC6925,NGC6925,0.83,0.01
3.6um,NGC0693,NGC693,0.17,0.06
3.6um,NGC0007,NGC7,0.52,0.01
3.6um,NGC0701,NGC701,0.16,0.03
3.6um,NGC7051,NGC7051,0.15,0.09
3.6um,NGC7059,NGC7059,0.49,0.06
3.6um,NGC7064,NGC7064,1.0,0.0
3.6um,NGC7070,NGC7070,0.21,0.03
3.6um,NGC7079,NGC7079,0.2,0.05
3.6um,NGC7090,NGC7090,0.78,0.01
3.6um,NGC7091,NGC7091,0.2,0.02
3.6um,NGC7098,NGC7098,0.17,0.07
3.6um,NGC7107,NGC7107,0.32,0.03
3.6um,NGC7140,NGC7140,0.65,0.01
3.6um,NGC7151,NGC7151,0.63,0.04
3.6um,NGC7154,NGC7154,0.32,0.04
3.6um,NGC7162,NGC7162,0.74,0.01
3.6um,NGC7162A,NGC7162A,0.42,0.01
3.6um,NGC7163,NGC7163,0.31,0.04
3.6um,NGC7167,NGC7167,0.28,0.02
3.6um,NGC7171,NGC7171,0.19,0.03
3.6um,NGC7179,NGC7179,0.19,0.08
3.6um,NGC0718,NGC718,0.14,0.06
3.6um,NGC7180,NGC7180,0.14,0.04
3.6um,NGC7183,NGC7183,0.17,0.03
3.6um,NGC7184,NGC7184,0.22,0.02
3.6um,NGC7188,NGC7188,0.17,0.03
3.6um,NGC7191,NGC7191,0.21,0.13
3.6um,NGC7205,NGC7205,0.35,0.03
3.6um,NGC7213,NGC7213,0.14,0.02
3.6um,NGC7218,NGC7218,0.2,0.04
3.6um,NGC7219,NGC7219,0.21,0.12
3.6um,NGC0723,NGC723,0.15,0.09
3.6um,NGC7241,NGC7241,0.24,0.1
3.6um,NGC7247,NGC7247,0.21,0.07
3.6um,NGC7254,NGC7254,0.21,0.05
3.6um,NGC7280,NGC7280,0.18,0.03
3.6um,NGC7290,NGC7290,0.18,0.05
3.6um,NGC7307,NGC7307,0.35,0.02
3.6um,NGC7314,NGC7314,0.22,0.02
3.6um,NGC7328,NGC7328,0.17,0.05
3.6um,NGC7347,NGC7347,0.18,0.05
3.6um,NGC7361,NGC7361,0.66,0.01
3.6um,NGC7368,NGC7368,0.32,0.16
3.6um,NGC7371,NGC7371,0.11,0.03
3.6um,NGC7378,NGC7378,0.19,0.05
3.6um,NGC7412,NGC7412,0.28,0.01
3.6um,NGC7416,NGC7416,0.13,0.02
3.6um,NGC7418,NGC7418,0.23,0.01
3.6um,NGC7418A,NGC7418A,0.26,0.02
3.6um,NGC7421,NGC7421,0.19,0.02
3.6um,NGC7424,NGC7424,0.63,0.01
3.6um,NGC7437,NGC7437,0.18,0.01
3.6um,NGC7448,NGC7448,0.2,0.07
3.6um,NGC7456,NGC7456,0.25,0.01
3.6um,NGC7462,NGC7462,0.57,0.02
3.6um,NGC7463,NGC7463,0.37,0.03
3.6um,NGC7465,NGC7465,0.19,0.12
3.6um,NGC7479,NGC7479,0.73,0.01
3.6um,NGC7496,NGC7496,0.22,0.03
3.6um,NGC7497,NGC7497,0.52,0.01
3.6um,NGC7513,NGC7513,0.24,0.03
3.6um,NGC7531,NGC7531,0.26,0.03
3.6um,NGC7537,NGC7537,0.21,0.04
3.6um,NGC7541,NGC7541,0.75,0.01
3.6um,NGC0755,NGC755,0.49,0.01
3.6um,NGC7552,NGC7552,0.99,0.0
3.6um,NGC7582,NGC7582,0.21,0.04
3.6um,NGC7590,NGC7590,0.19,0.05
3.6um,NGC7599,NGC7599,0.28,0.01
3.6um,NGC7606,NGC7606,0.12,0.02
3.6um,NGC7625,NGC7625,0.19,0.16
3.6um,NGC7661,NGC7661,0.59,0.04
3.6um,NGC7689,NGC7689,0.29,0.05
3.6um,NGC7690,NGC7690,0.24,0.17
3.6um,NGC7694,NGC7694,0.16,0.03
3.6um,NGC7709,NGC7709,0.15,0.04
3.6um,NGC7713,NGC7713,0.82,0.01
3.6um,NGC7714,NGC7714,0.34,0.05
3.6um,NGC7715,NGC7715,0.77,0.02
3.6um,NGC7716,NGC7716,0.19,0.05
3.6um,NGC0772,NGC772,0.69,0.01
3.6um,NGC7721,NGC7721,0.47,0.01
3.6um,NGC7723,NGC7723,0.62,0.01
3.6um,NGC7724,NGC7724,0.12,0.02
3.6um,NGC7727,NGC7727,0.63,0.02
3.6um,NGC7731,NGC7731,0.41,0.08
3.6um,NGC7732,NGC7732,0.44,0.05
3.6um,NGC7741,NGC7741,0.76,0.01
3.6um,NGC7742,NGC7742,0.15,0.1
3.6um,NGC7743,NGC7743,0.32,0.03
3.6um,NGC7750,NGC7750,0.13,0.05
3.6um,NGC7755,NGC7755,0.22,0.02
