ungc_name,ungc_distance_mpc,theta1,simbad_name,ned_name
UGC01104,7.55,0.5,UGC01104,UGC01104
MESSIER033,0.85,1.7,MESSIER033,MESSIER033
KKH6,3.73,-0.5,[KKH2001] 6,[KKH2001] 6
NGC0625,3.89,-0.3,NGC0625,NGC0625
NGC0628,7.31,-0.3,NGC0628,NGC0628
UGC01171,7.38,2.2,UGC01171,UGC01171
DDO013,9.04,-1.4,DDO013,DDO013
AGC112521,6.52,-0.9,AGC112521,AGC112521
KK13,7.2,0.7,[KK98a] 13,[KK98a] 13
KDG010,7.87,0.0,KDG010,KDG010
KK14,7.2,1.8,[KK98a] 14,[KK98a] 14
ESO245-005,4.43,-0.6,ESO245-005,ESO245-005
KK15,7.2,2.0,[KK98a] 15,[KK98a] 15
IC1727,7.2,4.0,IC1727,IC1727
NGC0672,7.2,3.8,NGC0672,NGC0672
UGC01281,4.94,-1.1,UGC01281,UGC01281
Phoenix,0.44,0.7,Phoenix,Phoenix
KK16,5.47,-1.5,[KK98a] 16,[KK98a] 16
KK17,4.9,1.1,[KK98a] 17,[KK98a] 17
NGC0784,4.97,-0.5,NGC0784,NGC0784
UGC1561,7.2,-0.7,UGC1561,UGC1561
Cas1,3.3,0.5,Cas1,Cas1
UGC01703,4.19,-1.3,UGC01703,UGC01703
NGC0855,9.73,-1.0,NGC0855,NGC0855
Segue 2,0.03,3.8,NAME Segue 2,NAME Segue 2
NGC0891,9.77,-0.9,NGC0891,NGC0891
KKH11,3.0,1.3,[KKH2001] 11,[KKH2001] 11
[KK2000] 03,4.1,-0.8,[KK2000] 03,[KK2000] 03
DDO019,9.3,0.3,DDO019,DDO019
d0226+3325,9.3,3.7,[KKH2007] dJ0226+3325,[KKH2007] dJ0226+3325
NGC0925,9.29,0.9,NGC0925,NGC0925
Halogas,9.3,2.8,,
KKH12,3.0,1.9,[KKH2001] 12,[KKH2001] 12
DDO022,9.3,0.2,DDO022,DDO022
DDO025,9.3,1.2,DDO025,DDO025
DDO024,9.8,1.0,DDO024,DDO024
MB1,3.0,4.6,[MB95] 1,[MB95] 1
Maffei1,3.01,2.6,Maffei1,Maffei1
ESO115-021,4.99,-1.5,ESO115-021,ESO115-021
Fornax,0.14,2.1,,
Maffei2,2.8,2.4,Maffei2,Maffei2
UGC02172,9.3,0.3,UGC02172,UGC02172
AGC122226,8.56,-1.2,AGC122226,AGC122226
Dw2,3.0,2.8,Dwingeloo 2,Dwingeloo 2
MB3,3.0,3.0,[MB95] 3,[MB95] 3
ESO154-023,5.55,-1.5,ESO154-023,ESO154-023
Dw1,2.8,2.7,Dwingeloo 1,Dwingeloo 1
ESO199-007,6.56,-1.2,ESO199-007,ESO199-007
NGC1156,7.8,-0.3,NGC1156,NGC1156
LV J0300+2546,7.8,1.6,[KMK2013] LV J0300+2546,[KMK2013] LV J0300+2546
KKH18,4.43,-1.4,[KKH2001] 18,[KKH2001] 18
ESO300-014,9.8,-0.1,ESO300-014,ESO300-014
ESO300-016,8.8,1.7,ESO300-016,ESO300-016
NGC1291,8.8,-1.3,NGC1291,NGC1291
NGC1313,4.07,-0.9,NGC1313,NGC1313
NGC1311,5.2,-1.2,NGC1311,NGC1311
UGC02684,6.49,-0.1,UGC02684,UGC02684
KK27,3.98,1.6,[KK98a] 27,[KK98a] 27
UGC02716,6.4,-0.8,UGC02716,UGC02716
UGC02773,5.4,-1.6,UGC02773,UGC02773
IC1959,6.05,-1.5,IC1959,IC1959
PGC013294,7.98,-0.2,6dFGS gJ033556.8-451129,6dFGS gJ033556.8-451129
NGC1400,24.5,-2.3,NGC1400,NGC1400
KKH22,3.5,1.1,[KKH2001] 22,[KKH2001] 22
KK35,3.16,2.4,[KK98a] 35,[KK98a] 35
IC0342,3.28,0.1,IC0342,IC0342
UGC02905,5.83,-2.1,UGC02905,UGC02905
UGCA086,2.96,1.1,UGCA086,UGCA086
IC2038,19.2,1.9,IC2038,IC2038
NGC1533,19.4,0.2,NGC1533,NGC1533
ESO483-013,7.4,-1.6,ESO483-013,ESO483-013
CamA,3.93,0.0,CAMEL GALAXY,CAMEL GALAXY
NGC1592,9.1,-1.5,NGC1592,NGC1592
NGC1569,3.06,0.9,NGC1569,NGC1569
UGCA092,3.01,1.6,UGCA092,UGCA092
NGC1560,3.45,1.0,NGC1560,NGC1560
NGC1637,9.29,-2.1,NGC1637,NGC1637
CamB,3.34,0.9,CAM B,CAM B
NGC1705,5.11,-1.8,NGC1705,NGC1705
HIPASS J0457-42,7.2,-1.5,HIPASS J0457-42,HIPASS J0457-42
NGC1744,10.0,0.1,NGC1744,NGC1744
ESO486-021,10.0,0.8,ESO486-021,ESO486-021
NGC1800,8.0,-1.7,NGC1800,NGC1800
UGCA105,3.15,0.3,UGCA105,UGCA105
LMC,0.05,3.5,LMC,LMC
UGC03303,7.14,-2.2,UGC03303,UGC03303
ESO553-046,5.07,-2.0,ESO553-046,ESO553-046
KK49,5.15,-2.2,[KK98a] 49,[KK98a] 49
Orion,6.46,-2.1,Orion,Orion
A0554+07,5.5,-1.4,Anon 0554+07,Anon 0554+07
KKH34,4.61,-0.7,[KKH2001] 34,[KKH2001] 34
ESO364-029,7.59,0.0,ESO364-029,ESO364-029
HIPASS J0607-34,7.4,1.6,HIPASS J0607-34,HIPASS J0607-34
NGC2188,7.4,0.8,NGC2188,NGC2188
ESO121-020,6.05,-0.1,ESO121-020,ESO121-020
LV J0616-5745,6.0,0.6,[KMK2013] LV J0616-5745,[KMK2013] LV J0616-5745
UGCA127sat,8.5,3.9,NAME UGCA 127 sat,NAME UGCA 127 sat
UGCA127,8.5,2.7,UGCA127,UGCA127
WHI B0619-07,8.4,1.5,WHI B0619-07,WHI B0619-07
ESO489-056,4.99,-2.1,ESO489-056,ESO489-056
HIPASS J0630+08,3.55,-1.9,HIPASS J0630+08,HIPASS J0630+08
UGC03475,20.0,-2.8,UGC03475,UGC03475
UGC03476,7.01,-2.1,UGC03476,UGC03476
ESO490-017,4.23,-2.1,ESO490-017,ESO490-017
CGMW1-260,10.8,-1.2,CGMW1-260,CGMW1-260
UGC03501,15.5,-1.9,UGC03501,UGC03501
KK55,7.65,-1.9,[KK98a] 55,[KK98a] 55
Carina,0.1,2.6,CARINA dSph,CARINA dSph
IC2171,9.9,1.6,IC2171,IC2171
NGC2283,10.0,1.3,NGC2283,NGC2283
KKSG9,10.0,2.4,[KKS2000] 9,[KKS2000] 9
KKH37,3.39,0.0,[KKH2001] 37,[KKH2001] 37
KKH38,19.3,-2.6,[KKH2001] 38,[KKH2001] 38
UGC03600,7.24,-1.9,UGC03600,UGC03600
HIZSS003,1.67,-1.1,HIZSS003,HIZSS003
FG202,4.9,-1.9,ARGO DWARF IRREGULAR,ARGO DWARF IRREGULAR
HIPASS J0705-20,7.23,-0.7,HIPASS J0705-20,HIPASS J0705-20
ESO558-011,8.4,-1.3,ESO558-011,ESO558-011
UGC03698,7.24,-1.4,UGC03698,UGC03698
NGC2337,7.87,-1.8,NGC2337,NGC2337
UGC03755,7.41,-2.2,UGC03755,UGC03755
UGC03817,8.55,-1.6,UGC03817,UGC03817
HIZSS008,7.43,-0.1,HIZSS008,HIZSS008
DDO043,5.73,-1.6,DDO043,DDO043
NGC2366,3.19,1.0,NGC2366,NGC2366
HIZSS012,7.2,0.0,HIZSS012,HIZSS012
ESO059-001,4.57,-1.6,ESO059-001,ESO059-001
DDO044,3.19,2.3,DDO044,DDO044
AGC174585,6.1,-2.1,AGC174585,AGC174585
HIZSS014,7.35,-0.1,HIZSS014,HIZSS014
NGC2403,3.18,0.2,NGC2403,NGC2403
LV J0737+4724,15.7,-1.8,[KMK2013] LV J0737+4724,[KMK2013] LV J0737+4724
DDO046,6.85,-1.4,DDO046,DDO046
DDO047,8.05,1.0,DDO047,DDO047
KK65,8.02,1.6,[KK98a] 65,[KK98a] 65
HIZSS021,3.0,-1.8,HIZSS021,HIZSS021
KKH40,6.98,-0.2,[KKH2001] 40,[KKH2001] 40
CGCG 262-028,7.1,-0.7,MCG+09-13-056,MCG+09-13-056
AGC174605,6.0,-2.1,AGC174605,AGC174605
UGC04115,7.73,-1.7,UGC04115,UGC04115
HIPASS J0801-21,6.34,-1.5,HIPASS J0801-21,HIPASS J0801-21
NGC2500,12.4,-0.8,NGC2500,NGC2500
LV J0812+4836,12.42,1.3,[KMK2013] LV J0812+4836,[KMK2013] LV J0812+4836
NGC2537,12.2,1.9,NGC2537,NGC2537
IC2233,12.2,2.6,IC2233,IC2233
NGC2541,12.4,0.3,NGC2541,NGC2541
HolmII,3.39,0.7,Holmberg II,Holmberg II
NGC2552,12.4,0.3,NGC2552,NGC2552
ESO006-001,6.7,-2.0,ESO006-001,ESO006-001
ESO495-008,17.3,-0.2,ESO495-008,ESO495-008
KDG052,3.55,0.8,KDG052,KDG052
KUG 0821+321,8.15,-0.3,KUG 0821+321,KUG 0821+321
CGMW2-3473,7.4,-0.9,CGMW2-3473,CGMW2-3473
DDO052,10.28,-1.2,DDO052,DDO052
DDO053,3.56,0.8,DDO053,DDO053
ESO495-021,7.96,-1.2,ESO495-021,ESO495-021
UGC04483,3.21,0.6,UGC04483,UGC04483
ESO496-010,7.8,-0.3,ESO496-010,ESO496-010
AGC182595,6.1,-1.1,AGC182595,AGC182595
UMa II,0.03,3.9,UMA II GALAXY,UMA II GALAXY
NGC2683,7.73,0.0,NGC2683,NGC2683
KK69,7.7,3.3,[KK98a] 69,[KK98a] 69
KK70,7.7,2.9,[KK98a] 70,[KK98a] 70
UGC04704,15.2,-2.3,UGC04704,UGC04704
LSBC D564-08,8.67,-0.3,ESDO 564-08,ESDO 564-08
ESO497-004,19.0,-0.9,ESO497-004,ESO497-004
HIPASS J0905-36,7.93,-1.3,HIPASS J0905-36,HIPASS J0905-36
UGC04787,20.3,-1.9,UGC04787,UGC04787
KKH46,5.6,-1.9,[KKH2001] 46,[KKH2001] 46
LSBC D634-03,9.55,-0.7,ESDO 634-03,ESDO 634-03
KK71,9.8,2.0,[KK98a] 71,[KK98a] 71
DDO056,9.8,1.8,DDO056,DDO056
KK72,9.8,3.9,[KK98a] 72,[KK98a] 72
NGC2784 dw01,9.8,5.0,NAME NGC 2784 DW1,NAME NGC 2784 DW1
NGC2784,9.82,3.1,NGC2784,NGC2784
KK73,9.8,4.8,[KK98a] 73,[KK98a] 73
UGCA153,21.9,-1.7,UGCA153,UGCA153
LV J0913+1937,4.43,-1.7,[KMK2013] LV J0913+1937,[KMK2013] LV J0913+1937
AGC198507,21.7,-2.5,AGC198507,AGC198507
UGC04879,1.36,-0.7,UGC04879,UGC04879
HIPASS J0916-23b,10.3,1.5,HIPASS J0916-23b,HIPASS J0916-23b
NGC2835,10.3,0.5,NGC2835,NGC2835
NGC2787,7.48,-1.7,NGC2787,NGC2787
LSBC D565-06,9.08,0.7,ESDO 565-06,ESDO 565-06
UGC04932,20.6,-1.7,UGC04932,UGC04932
DDO062,18.6,-1.5,DDO062,DDO062
AGC198508,10.4,-0.8,AGC198508,AGC198508
ESO565-003,7.52,-1.3,ESO565-003,ESO565-003
MCG +09-16-010,7.35,-1.1,MCG +09-16-010,MCG +09-16-010
UGC04998,8.24,-0.4,UGC04998,UGC04998
LV J0926+3343,19.7,-1.5,[KMK2013] LV J0926+3343,[KMK2013] LV J0926+3343
NGC2915,3.78,-1.1,NGC2915,NGC2915
[CKT2009]d0926+70,3.93,1.3,[CKT2009] dJ0926+70,[CKT2009] dJ0926+70
UGC05047,19.68,-1.5,UGC05047,UGC05047
KDG056,8.9,1.7,KDG056,KDG056
NGC2903-HI-1,8.9,3.3,[IHS2009] N2903-HI-1,[IHS2009] N2903-HI-1
NGC2903,8.87,1.7,NGC2903,NGC2903
ESO373-007,8.3,-1.2,ESO373-007,ESO373-007
UGC05086,8.9,4.1,UGC05086,UGC05086
[CKT2009]d0934+70,3.66,2.5,[CKT2009] dJ0934+70,[CKT2009] dJ0934+70
CGCG 035-007,13.0,-1.6,MCG+01-25-003,MCG+01-25-003
LeoT,0.42,0.7,LEO T,LEO T
LV J0935-1348,7.3,-1.3,[KMK2013] LV J0935-1348,[KMK2013] LV J0935-1348
[CKT2009]d0939+71,3.63,2.3,[CKT2009] dJ0939+71,[CKT2009] dJ0939+71
LV J0939-2507,6.15,-1.9,[KMK2013] LV J0939-2507,[KMK2013] LV J0939-2507
KISSB023,19.8,-1.0,KISSB023,KISSB023
KUG 0937+480,7.88,-0.8,KUG 0937+480,KUG 0937+480
KDG058,10.0,-0.7,KDG058,KDG058
HolmI,3.84,1.7,Holmberg I,Holmberg I
UGC05186,8.3,-1.0,UGC05186,UGC05186
LV J0944-2254,6.05,-1.6,[KMK2013] LV J0944-2254,[KMK2013] LV J0944-2254
[CKT2009]d0944+69,3.98,1.3,[CKT2009] dJ0944+69,[CKT2009] dJ0944+69
[CKT2009]d0944+71,3.39,1.8,[CKT2009] dJ0944+71,[CKT2009] dJ0944+71
IC0559,9.4,-1.1,IC0559,IC0559
F8D1,3.77,2.2,NAME F8D1,NAME F8D1
UGC05209,6.56,-1.1,UGC05209,UGC05209
FM1,3.4,2.1,[FM2000b] cand 1,[FM2000b] cand 1
RKK1610,14.9,-2.3,RKK1610,RKK1610
NGC2976,3.56,2.9,NGC2976,NGC2976
AGC191803,14.9,-1.1,AGC191803,AGC191803
KK77,3.48,2.2,[KK98a] 77,[KK98a] 77
KK78,7.1,2.8,[KK98a] 78,[KK98a] 78
DDO064,7.11,1.6,DDO064,DDO064
UGC05288,6.85,-1.5,UGC05288,UGC05288
NGC3037,8.1,-1.1,NGC3037,NGC3037
BK3N,4.02,1.2,BK3N,BK3N
LV J0954+3620,15.4,-1.7,[KMK2013] LV J0954+3620,[KMK2013] LV J0954+3620
KKSG15,9.7,0.9,[KKS2000] 15,[KKS2000] 15
[CKT2009]d0955+70,3.93,1.5,[CKT2009] dJ0955+70,[CKT2009] dJ0955+70
MESSIER081,3.63,2.5,MESSIER081,MESSIER081
MESSIER082,3.53,2.8,MESSIER082,MESSIER082
LV J0956-0929,5.18,-2.0,[KMK2013] LV J0956-0929,[KMK2013] LV J0956-0929
DDO068,9.8,-0.9,DDO068,DDO068
KDG061,3.6,4.0,KDG061,KDG061
ClumpI,3.6,4.2,[MI2009] Clump I,[MI2009] Clump I
A0952+69,3.87,2.0,Anon 0952+69,Anon 0952+69
HolmIX,3.61,5.1,Holmberg IX,Holmberg IX
[CKT2009]d0958+66,4.04,1.0,[CKT2009] dJ0958+66,[CKT2009] dJ0958+66
LeoA,0.81,-0.1,LEO DWARF GALAXY,LEO DWARF GALAXY
[CKT2009]d0959+68,3.6,4.0,[CKT2009] dJ0959+68,[CKT2009] dJ0959+68
KKSG16,9.7,1.3,[KKS2000] 16,[KKS2000] 16
SexB,1.36,-0.8,SEX B,SEX B
KKH57,3.91,0.9,[KKH2001] 57,[KKH2001] 57
LV J1000+5022,7.97,-0.9,[KMK2013] LV J1000+5022,[KMK2013] LV J1000+5022
LV J1000+3032,7.1,-0.6,[KMK2013] LV J1000+3032,[KMK2013] LV J1000+3032
ClumpIII,3.6,3.9,[MI2009] Clump III,[MI2009] Clump III
MCG -01-26-009,9.7,1.8,MCG -01-26-009,MCG -01-26-009
KKSG17,9.7,2.3,[KKS2000] 17,[KKS2000] 17
UGCA193,9.7,1.5,UGCA193,UGCA193
NGC3109,1.32,0.2,NGC3109,NGC3109
NGC3077,3.82,3.2,NGC3077,NGC3077
GARLAND,3.82,6.0,GARLAND,GARLAND
ESO499-038,15.3,-1.8,ESO499-038,ESO499-038
NGC3104,16.0,-2.0,NGC3104,NGC3104
Antlia,1.32,2.3,ANTLIA DWARF GALAXY,ANTLIA DWARF GALAXY
BK5N,3.78,2.6,BK5N,BK5N
UGC05427,7.11,-1.2,UGC05427,UGC05427
KDG063,3.5,2.0,KDG063,KDG063
NGC3115,9.68,2.3,NGC3115,NGC3115
UGC05423,8.71,-1.2,UGC05423,UGC05423
KDG065,9.7,4.9,KDG065,KDG065
KKSG18,9.7,3.9,[KKS2000] 18,[KKS2000] 18
[CKT2009]d1006+67,3.87,1.6,[CKT2009] dJ1006+67,[CKT2009] dJ1006+67
KDG064,3.7,2.7,KDG064,KDG064
Segue 1,0.02,4.3,NAME Segue 1,NAME Segue 1
UGC05456,5.6,-1.9,UGC05456,UGC05456
KKH58,18.4,-1.6,[KKH2001] 58,[KKH2001] 58
IKN,3.75,2.5,IKN,IKN
LeoI,0.25,1.4,LEO I dSph,LEO I dSph
[CKT2009]d1009+70,9.0,-1.0,[CKT2009] dJ1009+70,[CKT2009] dJ1009+70
SexA,1.32,-0.8,SEX A,SEX A
UGC05497,3.7,1.4,UGC05497,UGC05497
SexDSph,0.09,2.7,Sex dSph,Sex dSph
[CKT2009]d1014+68,4.57,0.0,[CKT2009] dJ1014+68,[CKT2009] dJ1014+68
[CKT2009]d1015+69,4.07,1.3,[CKT2009] dJ1015+69,[CKT2009] dJ1015+69
KUG 1013+414,11.12,2.7,KUG 1013+414,KUG 1013+414
NGC3184,11.12,0.6,NGC3184,NGC3184
LV J1018+4109,11.1,3.4,[KMK2013] LV J1018+4109,[KMK2013] LV J1018+4109
HIJASS J1021+6842,3.7,2.3,HIJASS J1021+68,HIJASS J1021+68
HS117,3.96,1.2,[LSK86] 117,[LSK86] 117
LV J1021+0054,6.78,-1.5,[KMK2013] LV J1021+0054,[KMK2013] LV J1021+0054
LeoP,2.0,-1.3,LEO P,LEO P
AGC731448,13.5,-1.3,AGC731448,AGC731448
KKSG19,5.11,-1.8,[KKS2000] 19,[KKS2000] 19
NGC3239,7.9,-1.1,NGC3239,NGC3239
DDO078,3.72,1.9,DDO078,DDO078
UGC05672,11.4,-1.1,UGC05672,UGC05672
IC2574,4.02,1.0,IC2574,IC2574
LV J1028+4240,7.55,-1.3,[KMK2013] LV J1028+4240,[KMK2013] LV J1028+4240
[CKT2009]d1028+70,4.0,2.0,[CKT2009] dJ1028+70,[CKT2009] dJ1028+70
AGC749315,21.5,-1.8,AGC749315,AGC749315
DDO082,4.0,1.1,DDO082,DDO082
LV J1030+0607,7.8,-1.3,[KMK2013] LV J1030+0607,[KMK2013] LV J1030+0607
AGC205156,10.43,0.3,AGC205156,AGC205156
AGC731457,9.2,-1.3,AGC731457,AGC731457
NGC3274,7.98,-1.2,NGC3274,NGC3274
BK6N,3.85,1.2,BK6N,BK6N
UMa I,0.1,2.5,UMa I,UMa I
AGC202248,10.4,0.7,AGC202248,AGC202248
ESO501-023,7.0,-1.1,ESO501-023,ESO501-023
LeG03,10.4,0.2,[KK2004] LeG 3,[KK2004] LeG 3
KUG 1033+366B,8.1,-0.9,KUG 1033+366B,KUG 1033+366B
NGC3299,10.4,0.8,NGC3299,NGC3299
DDO083,10.9,-1.4,DDO083,DDO083
AGC205165,10.4,0.2,AGC205165,AGC205165
AGC200499,10.4,0.9,AGC200499,AGC200499
AGC208397,26.2,-3.0,AGC208397,AGC208397
UGC05797,7.0,-1.5,UGC05797,UGC05797
LeG04,10.4,1.9,[KK2004] LeG 4,[KK2004] LeG 4
LeG05,10.4,1.3,[KK2004] LeG 5,[KK2004] LeG 5
LeG06,10.4,0.8,[KK2004] LeG 6,[KK2004] LeG 6
AGC208399,20.9,-2.3,AGC208399,AGC208399
UGC05812,10.4,1.5,UGC05812,UGC05812
[CKT2009]d1041+70,3.91,1.2,[CKT2009] dJ1041+70,[CKT2009] dJ1041+70
FS04,10.4,1.8,FS04,FS04
LeG09,10.4,2.0,[KK2004] LeG 9,[KK2004] LeG 9
DDO084,8.11,-1.5,DDO084,DDO084
AGC205268,10.4,,LEDA 1439163,LEDA 1439163
ESO376-016,7.1,-0.7,ESO376-016,ESO376-016
NGC3344,6.85,-1.6,NGC3344,NGC3344
LeG10,10.4,2.4,[KK2004] LeG 10,[KK2004] LeG 10
NGC3351,10.05,1.1,NGC3351,NGC3351
LeG11,10.4,0.3,[KK2004] LeG 11,[KK2004] LeG 11
LeG12,10.4,2.5,[KK2004] LeG 12,[KK2004] LeG 12
AGC205445,10.4,1.1,SDSS J104435.27+135622.7,SDSS J104435.27+135622.7
LeG13,10.4,3.1,[KK2004] LeG 13,[KK2004] LeG 13
LeG14,10.4,1.9,[KK2004] LeG 14,[KK2004] LeG 14
KK93,10.4,1.3,[KK98a] 93,[KK98a] 93
LeG16,10.4,4.5,[KK2004] LeG 16,[KK2004] LeG 16
LeG17,10.4,2.9,[KK2004] LeG 17,[KK2004] LeG 17
NGC3368,10.42,1.1,NGC3368,NGC3368
LeG18,10.4,3.2,[KK2004] LeG 18,[KK2004] LeG 18
LeG19,10.4,2.1,[KK2004] LeG 19,[KK2004] LeG 19
KK94,10.4,2.3,[KK98a] 94,[KK98a] 94
LeG21,10.4,2.8,[KK2004] LeG 21,[KK2004] LeG 21
DDO088,7.73,-1.0,DDO088,DDO088
ESO318-013,6.5,-0.6,ESO318-013,ESO318-013
NGC3377,10.91,1.4,NGC3377,NGC3377
NGC3379,11.12,1.5,NGC3379,NGC3379
NGC3384,11.38,1.7,NGC3384,NGC3384
UGC05923,22.3,-2.6,UGC05923,UGC05923
Willman1,0.04,3.7,Willman1,Willman1
DDO087,7.45,-1.0,DDO087,DDO087
LeG22,10.4,2.3,[KK2004] LeG 22,[KK2004] LeG 22
LeG23,10.4,3.7,[KK2004] LeG 23,[KK2004] LeG 23
UGC05944,11.07,2.1,UGC05944,UGC05944
KK96,10.4,2.0,[KK98a] 96,[KK98a] 96
NGC3412,10.4,1.3,NGC3412,NGC3412
NGC3413,12.02,-1.6,NGC3413,NGC3413
LeG26,10.4,2.3,[KK2004] LeG 26,[KK2004] LeG 26
AGC205540,10.4,2.0,SDSS J105131.35+140653.2,SDSS J105131.35+140653.2
KKH65,10.0,-1.4,[KKH2001] 65,[KKH2001] 65
AGC205544,10.4,0.9,SDSS J105204.79+150149.7,SDSS J105204.79+150149.7
LV J1052+3628,9.2,3.4,[KMK2013] LV J1052+3628,[KMK2013] LV J1052+3628
UGC05983,9.2,4.9,UGC05983,UGC05983
AGC202456,10.4,1.5,SDSS J105219.51+110235.6,SDSS J105219.51+110235.6
LeG27,10.4,1.2,[KK2004] LeG 27,[KK2004] LeG 27
NGC3432,9.2,3.1,NGC3432,NGC3432
LV J1052+3639,9.2,4.7,[KMK2013] LV J1052+3639,[KMK2013] LV J1052+3639
KDG073,3.7,1.4,KDG073,KDG073
LeG28,10.4,1.1,[KK2004] LeG 28,[KK2004] LeG 28
UGC06014,10.4,0.8,UGC06014,UGC06014
LSBC D640-12,10.4,1.0,ESDO 640-12,ESDO 640-12
LSBC D640-13,10.4,1.0,ESDO 640-13,ESDO 640-13
HS1053+3624,9.2,1.2,HS1053+3624,HS1053+3624
ESO215-009,5.25,-1.2,ESO215-009,ESO215-009
VV747,9.2,0.9,VV747,VV747
CGCG 095-078,7.37,-0.9,LEDA 32971,LEDA 32971
LSBC D640-14,10.4,0.8,ESDO 640-14,ESDO 640-14
AGC205278,10.4,0.6,AGC205278,AGC205278
NGC3489,12.08,-0.2,NGC3489,NGC3489
LeG33,10.4,1.1,[KK2004] LeG 33,[KK2004] LeG 33
LSBC D640-08,10.4,0.4,ESDO 640-08,ESDO 640-08
CGCG 066-109,10.4,0.4,LEDA 33447,LEDA 33447
KKSG20,10.7,3.9,[KKS2000] 20,[KKS2000] 20
MRK0036,8.02,-1.4,MRK0036,MRK0036
UGC06145,10.7,1.5,UGC06145,UGC06145
NGC3521sat,10.7,4.7,,
NGC3521,10.7,2.2,NGC3521,NGC3521
KKSG22,10.7,1.9,[KKS2000] 22,[KKS2000] 22
NGC3556,9.9,-1.3,NGC3556,NGC3556
DDO092,9.9,0.9,DDO092,DDO092
LeoII,0.21,1.6,Leo II dSph,Leo II dSph
NGC3593,10.8,0.8,NGC3593,NGC3593
AGC202256,11.0,1.5,AGC202256,AGC202256
IC2684,10.3,2.6,IC2684,IC2684
NGC3621,6.7,-1.7,NGC3621,NGC3621
AGC215354,10.42,1.7,,
NGC3627,10.28,1.1,NGC3627,NGC3627
AGC213436,10.3,3.1,SDSS J112224.02+125846.4,SDSS J112224.02+125846.4
KKH67,10.0,-0.5,[KKH2001] 67,[KKH2001] 67
IC2787,10.3,2.3,IC2787,IC2787
IC2791,10.3,2.5,AGC 213440,AGC 213440
UGC06456,4.35,-0.1,UGC06456,UGC06456
KDG078,9.0,-0.7,KDG078,KDG078
LeoV,0.18,1.8,LEO V,LEO V
HIPASS J1131-31,6.7,0.7,,
LeoIV,0.16,2.0,LEO IV,LEO IV
