Name,R.A.,Dec.,Distance,Stellar Mass,Star Formation Rate,ALMA,VLT/MUSE,HST
,(degrees),(degrees),(Mpc),log10(M/M☉),log10(SFR/M☉/yr),CO(2-1),Optical IFU,Optical imaging
NGC4941,196.0547,-5.5516,14.0,10.07,-0.56,TRUE,FALSE,FALSE
NGC4951,196.2821,-6.4938,12.0,9.56,-0.69,TRUE,FALSE,FALSE
NGC5042,198.8797,-23.9835,12.6,9.57,-0.35,TRUE,FALSE,FALSE
NGC5068,199.7287,-21.0390,5.2,9.40,-0.44,TRUE,TRUE,TRUE
NGC5134,201.3273,-21.1341,18.5,10.32,-0.32,TRUE,FALSE,FALSE
NGC5128,201.3587,-43.0161,3.6,10.98,0.14,TRUE,FALSE,FALSE
NGC5248,204.3834,8.8852,12.7,10.22,0.10,TRUE,FALSE,TRUE
NGC5530,214.6136,-43.3893,11.8,10.11,-0.62,TRUE,FALSE,FALSE
NGC5643,218.1696,-44.1745,11.8,10.39,-0.06,TRUE,FALSE,FALSE
NGC6300,259.2474,-62.8202,13.1,10.56,0.00,TRUE,FALSE,FALSE
NGC6744,287.4419,-63.8575,11.6,11.10,0.63,TRUE,FALSE,TRUE
IC5273,344.8613,-37.7029,14.7,9.75,-0.24,TRUE,FALSE,FALSE
NGC7456,345.5432,-39.5694,7.9,9.03,-1.05,TRUE,FALSE,FALSE
NGC7496,347.4470,-43.4280,18.7,10.04,0.02,TRUE,TRUE,TRUE
IC5332,353.6145,-36.1015,9.9,9.69,-0.37,TRUE,TRUE,TRUE
